,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-08 13:06:19,2022-03-04,HRL,Snee James P,"COB, Pres, CEO",F - Tax,$51.73,-40963,325562,-11%,"-$2,119,016",,,,,HRL
1,D,2022-03-08 13:06:19,2022-03-04,HRL,Snee James P,"COB, Pres, CEO",M - OptEx,$26.38,59600,325562,+22%,"+$1,572,248",,,,,HRL
2,D,2022-03-08 13:05:34,2022-03-07,HRL,Marconi Luis G,Group VP,M - OptEx,$37.76,15000,33739,+80%,"+$566,325",,,,,HRL
3,DM,2022-03-08 13:05:34,2022-03-04,HRL,Marconi Luis G,Group VP,S - Sale+OE,$51.97,-18493,33739,-35%,"-$961,009",,,,,HRL
4,,2022-03-08 13:03:22,2022-03-04,HRL,Nestegard Susan K,Dir,S - Sale,$51.43,-7183,96615,-7%,"-$369,432",,,,,HRL
5,D,2022-03-08 13:02:41,2022-03-04,HRL,Coffey Mark A,Group VP,M - OptEx,$15.49,12500,61340,+26%,"+$193,625",,,,,HRL
6,D,2022-03-08 13:02:41,2022-03-04,HRL,Coffey Mark A,Group VP,S - Sale+OE,$50.07,-12500,61340,-17%,"-$625,875",,,,,HRL
7,D,2022-03-08 13:01:47,2022-03-04,HRL,Neufeldt Swen,Group VP,M - OptEx,$26.38,14800,25844,+134%,"+$390,424",,,,,HRL
8,D,2022-03-08 13:01:47,2022-03-04,HRL,Neufeldt Swen,Group VP,S - Sale+OE,$51.44,-14686,25844,-36%,"-$755,470",,,,,HRL
9,D,2022-03-08 13:01:06,2022-03-04,HRL,Connor Patrick J,Group VP,M - OptEx,$26.38,22800,27681,+467%,"+$601,464",,,,,HRL
10,D,2022-03-08 13:01:06,2022-03-04,HRL,Connor Patrick J,Group VP,S - Sale+OE,$51.63,-22800,27681,-45%,"-$1,177,269",,,,,HRL
11,,2022-02-03 17:02:11,2022-02-01,HRL,Bhatt Prama,Dir,A - Grant,$0.00,3396,11426,+42%,+$0,,,,,HRL
12,,2022-02-03 17:01:35,2022-02-01,HRL,Bhojwani Gary C,Dir,A - Grant,$0.00,3396,42872,+9%,+$0,,,,,HRL
13,,2022-02-03 17:00:44,2022-02-01,HRL,Crews Terrell K,Dir,A - Grant,$0.00,3396,106983,+3%,+$0,,,,,HRL
14,,2022-02-03 17:00:44,2021-12-18,HRL,Crews Terrell K,Dir,G - Gift,$0.00,-6000,106983,-5%,-$0,,,,,HRL
15,,2022-02-03 16:58:13,2022-02-01,HRL,Lacy Stephen M,Dir,A - Grant,$0.00,3396,73351,+5%,+$0,,,,,HRL
16,D,2022-02-03 16:57:13,2022-02-01,HRL,Snee James P,"COB, Pres, CEO",A - Grant,$0.00,37148,306521,+14%,+$0,,,,,HRL
17,D,2022-02-03 16:57:13,2021-12-22,HRL,Snee James P,"COB, Pres, CEO",G - Gift,$0.00,-7157,306521,-2%,-$0,,,,,HRL
18,,2022-02-03 16:55:18,2022-02-01,HRL,Murano Elsa A,Dir,A - Grant,$0.00,3396,110169,+3%,+$0,,,,,HRL
19,,2022-02-03 16:54:26,2022-02-01,HRL,Nestegard Susan K,Dir,A - Grant,$0.00,3396,103798,+3%,+$0,,,,,HRL
20,,2022-02-03 16:53:47,2022-02-01,HRL,Newlands William A,Dir,A - Grant,$0.00,3396,18565,+22%,+$0,,,,,HRL
21,,2022-02-03 16:53:09,2022-02-01,HRL,Policinski Christopher J.,Dir,A - Grant,$0.00,3396,79428,+4%,+$0,,,,,HRL
22,,2022-02-03 16:52:10,2022-02-01,HRL,Prado Becerra Jose Luis,Dir,A - Grant,$0.00,3396,18015,+23%,+$0,,,,,HRL
23,,2022-02-03 16:51:23,2022-02-01,HRL,Smith Sally J,Dir,A - Grant,$0.00,3396,55931,+6%,+$0,,,,,HRL
24,,2022-02-03 16:50:23,2022-02-01,HRL,White Steven Andrew,Dir,A - Grant,$0.00,3396,54754,+7%,+$0,,,,,HRL
25,D,2022-01-12 12:13:30,2021-12-16,HRL,Jamison Gary,"VP, Treasurer",G - Gift,$0.00,-2061,22867,-8%,-$0,,,,,HRL
26,D,2022-01-12 12:13:30,2022-01-10,HRL,Jamison Gary,"VP, Treasurer",M - OptEx,$15.49,8000,22867,+54%,"+$123,920",,,,,HRL
27,D,2022-01-12 12:13:30,2022-01-10,HRL,Jamison Gary,"VP, Treasurer",S - Sale+OE,$50.30,-8000,22867,-26%,"-$402,432",,,,,HRL
28,D,2022-01-10 14:52:44,2022-01-07,HRL,Murano Elsa A,Dir,F - Tax,$49.85,-5896,106773,-5%,"-$293,916",,,,,HRL
29,D,2022-01-10 14:52:44,2022-01-07,HRL,Murano Elsa A,Dir,M - OptEx,$14.49,13200,106773,+14%,"+$191,202",,,,,HRL
30,D,2021-12-20 17:18:32,2021-12-17,HRL,Haynes Jana L,"VP, Controller",M - OptEx,$35.93,14100,24793,+132%,"+$506,624",,,,,HRL
31,D,2021-12-20 17:18:32,2021-12-17,HRL,Haynes Jana L,"VP, Controller",S - Sale+OE,$49.14,-14100,24793,-36%,"-$692,874",,,,,HRL
32,D,2021-12-09 17:28:23,2021-12-07,HRL,Brady Deanna T,EVP,A - Grant,$0.00,8839,68589,+15%,+$0,,,,,HRL
33,D,2021-12-09 17:27:59,2021-12-07,HRL,Haynes Jana L,"VP, Controller",A - Grant,$0.00,5893,24793,+31%,+$0,,,,,HRL
34,D,2021-12-09 17:27:13,2021-12-07,HRL,Coffey Mark A,Group VP,A - Grant,$0.00,4243,61146,+7%,+$0,,,,,HRL
35,D,2021-12-09 17:26:37,2021-12-07,HRL,Connor Patrick J,Group VP,A - Grant,$0.00,2947,27616,+12%,+$0,,,,,HRL
36,D,2021-12-09 17:25:48,2021-12-07,HRL,Frank Jeffrey R,Group VP,A - Grant,$0.00,2122,15901,+15%,+$0,,,,,HRL
37,D,2021-12-09 17:24:43,2021-12-07,HRL,Hogan Janet L.,SVP,A - Grant,$0.00,4478,13977,+47%,+$0,,,,,HRL
