,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-05-18 18:20:58,2022-05-17,IRM,Rakowich Walter C,Dir,S - Sale,$53.60,-1320,31907,-4%,"-$70,752",,,,,IRM
1,,2022-04-15 17:12:55,2022-04-14,IRM,Tomovcsik John,"EVP, COO",S - Sale,$56.11,-6218,56000,-10%,"-$348,892",,,,,IRM
2,D,2022-03-31 16:41:57,2022-03-29,IRM,Evens Deirdre,"EVP, GM, Asset Lifestyle Mgmt",S - Sale+OE,$55.00,-29037,67687,-30%,"-$1,597,035",,,,,IRM
3,D,2022-03-11 16:37:44,2022-03-10,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$50.72,-614,295650,0%,"-$31,142",,,,,IRM
4,,2022-03-11 16:33:06,2022-03-09,IRM,Baker-Greene Edward,"EVP, CHRO",S - Sale,$51.31,-6000,2612,-70%,"-$307,860",,,,,IRM
5,D,2022-03-03 19:52:21,2022-03-02,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$49.67,-7724,285035,-3%,"-$383,651",,,,,IRM
6,DM,2022-03-03 19:46:00,2022-03-01,IRM,Evens Deirdre,"EVP, GM, Asset Lifestyle Mgmt",S - Sale+OE,$50.00,-10486,67687,-13%,"-$524,300",,,,,IRM
7,D,2022-03-03 19:41:25,2022-03-02,IRM,Borges Daniel,"SVP, Chief Accounting Officer",S - Sale+OE,$49.67,-584,0,-100%,"-$29,007",,,,,IRM
8,D,2022-03-01 19:41:03,2022-02-25,IRM,Borges Daniel,"SVP, Chief Accounting Officer",S - Sale+OE,$46.52,-2470,0,-100%,"-$114,904",,,,,IRM
9,,2022-03-01 19:37:37,2022-02-25,IRM,Meaney William L,"Pres, CEO",S - Sale,$48.06,-58024,277311,-17%,"-$2,788,343",,,,,IRM
10,D,2022-02-28 21:20:49,2022-02-25,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale+OE,$46.52,-500,50635,-1%,"-$23,260",,,,,IRM
11,,2022-01-13 21:46:20,2022-01-12,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$46.38,-500,38941,-1%,"-$23,190",,,,,IRM
12,D,2021-12-29 16:14:45,2021-12-27,IRM,Tomovcsik John,"EVP, COO",S - Sale+OE,$52.06,-31919,40653,-44%,"-$1,661,737",,,,,IRM
13,D,2021-12-29 16:12:50,2021-12-28,IRM,Evens Deirdre,"EVP, GM, Rec, Info Mgmt NA",S - Sale+OE,$52.61,-32087,57203,-36%,"-$1,688,033",,,,,IRM
14,D,2021-12-20 21:06:04,2021-12-16,IRM,Evens Deirdre,"EVP, GM, Rec, Info Mgmt NA",S - Sale+OE,$50.48,-39441,57203,-41%,"-$1,990,784",,,,,IRM
15,D,2021-12-20 21:04:35,2021-12-16,IRM,Tomovcsik John,"EVP, COO",S - Sale+OE,$50.72,-23716,40653,-37%,"-$1,202,876",,,,,IRM
16,,2021-12-17 20:26:40,2021-12-15,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$48.41,-500,39441,-1%,"-$24,205",,,,,IRM
17,,2021-11-18 17:45:23,2021-11-17,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$47.53,-500,39941,-1%,"-$23,765",,,,,IRM
18,,2021-11-01 17:08:53,2021-10-29,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$46.38,-517,40441,-1%,"-$23,978",,,,,IRM
19,,2021-09-17 16:37:47,2021-09-15,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$45.59,-499,40958,-1%,"-$22,749",,,,,IRM
20,D,2021-09-10 17:19:24,2021-09-09,IRM,Borges Daniel,"SVP, Chief Accounting Officer",S - Sale+OE,$48.20,-1860,0,-100%,"-$89,652",,,,,IRM
21,D,2021-09-07 17:09:25,2021-09-02,IRM,Tomovcsik John,"EVP, COO",S - Sale+OE,$48.72,-29037,40457,-42%,"-$1,414,683",,,,,IRM
22,,2021-08-12 20:41:12,2021-08-11,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$46.13,-600,41457,-1%,"-$27,678",,,,,IRM
23,,2021-07-15 17:17:16,2021-07-14,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$44.00,-600,42057,-1%,"-$26,400",,,,,IRM
24,,2021-06-30 21:14:50,2021-06-28,IRM,Borges Daniel,"SVP, Chief Accounting Officer",S - Sale,$43.16,-1684,0,-100%,"-$72,681",,,,,IRM
25,,2021-06-25 16:07:21,2021-06-23,IRM,Halvorsen Kris,Dir,S - Sale,$43.45,-2000,34458,-5%,"-$86,893",,,,,IRM
26,,2021-06-17 19:59:29,2021-06-16,IRM,Allerton Jennifer,Dir,S - Sale,$45.95,-3500,12812,-21%,"-$160,825",,,,,IRM
27,,2021-06-17 19:58:11,2021-06-15,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$45.80,-720,42657,-2%,"-$32,976",,,,,IRM
28,,2021-05-25 18:28:25,2021-05-21,IRM,Rakowich Walter C,Dir,S - Sale,$42.86,-1573,29927,-5%,"-$67,420",,,,,IRM
29,D,2021-05-25 18:26:38,2021-05-24,IRM,Cloutier Ernest W,"EVP, GM, RIM",S - Sale+OE,$43.81,-24965,75097,-25%,"-$1,093,667",,,,,IRM
30,,2021-05-14 16:48:42,2021-05-12,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$41.95,-625,43377,-1%,"-$26,219",,,,,IRM
31,D,2021-05-12 16:24:41,2021-05-10,IRM,Cloutier Ernest W,"EVP, GM, RIM",S - Sale+OE,$41.98,-44199,75097,-37%,"-$1,855,655",,,,,IRM
32,,2021-05-04 21:23:05,2021-04-30,IRM,Tomovcsik John,"EVP, COO",S - Sale,$40.29,-1000,40000,-2%,"-$40,290",,,,,IRM
33,D,2021-05-04 21:22:06,2021-04-29,IRM,Cloutier Ernest W,"EVP, GM, RIM",S - Sale+OE,$39.96,-56223,85097,-40%,"-$2,246,899",,,,,IRM
34,,2021-04-15 20:19:09,2021-04-14,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$37.76,-625,44002,-1%,"-$23,600",,,,,IRM
35,,2021-04-14 17:08:40,2021-04-12,IRM,Tomovcsik John,"EVP, COO",S - Sale,$37.70,-1359,41000,-3%,"-$51,234",,,,,IRM
36,,2021-03-25 17:58:02,2021-03-24,IRM,Deninger Paul F,Dir,S - Sale,$36.60,-1798,64172,-3%,"-$65,807",,,,,IRM
37,,2021-03-24 16:07:45,2021-03-22,IRM,Deninger Paul F,Dir,S - Sale,$36.45,-7202,65970,-10%,"-$262,521",,,,,IRM
38,D,2021-03-11 19:46:19,2021-03-10,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$36.77,-589,219289,0%,"-$21,658",,,,,IRM
