,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-05-02 16:11:20,2022-04-29,LEVI,Jaffe Seth,"EVP, GC",S - Sale+OE,$18.69,-12769,148299,-8%,"-$238,653",,,,,LEVI
1,D,2022-04-04 16:04:16,2022-03-31,LEVI,Jaffe Seth,"EVP, GC",S - Sale+OE,$20.23,-13280,148299,-8%,"-$268,654",,,,,LEVI
2,D,2022-03-01 18:10:52,2022-02-28,LEVI,Jaffe Seth,"EVP, GC",S - Sale+OE,$22.35,-13811,148299,-9%,"-$308,676",,,,,LEVI
3,,2022-02-10 21:18:41,2022-02-09,LEVI,Sey Jennifer A.,Brand Pres,S - Sale,$24.00,-28432,5972,-83%,"-$682,368",,,,,LEVI
4,D,2022-02-01 21:08:54,2022-01-31,LEVI,Jaffe Seth,"EVP, GC",S - Sale+OE,$21.67,-14602,148299,-9%,"-$316,425",,,,,LEVI
5,,2021-11-30 18:38:11,2021-11-26,LEVI,Friedman David A,Dir,S - Sale,$26.81,-4167,73236,-5%,"-$111,717",,,,,LEVI
6,,2021-11-16 16:36:37,2021-11-15,LEVI,Pineda Patricia Salas,Dir,S - Sale,$27.50,-23796,151693,-14%,"-$654,390",,,,,LEVI
7,D,2021-11-10 21:56:23,2021-11-09,LEVI,Ellison Seth M.,"EVP, Chief Commercial Officer",S - Sale+OE,$27.02,-29390,39989,-42%,"-$794,118",,,,,LEVI
8,,2021-10-20 21:02:48,2021-10-18,LEVI,Friedman David A,Dir,S - Sale,$24.80,-33333,77333,-30%,"-$826,658",,,,,LEVI
9,A,2021-10-20 21:02:00,2021-10-15,LEVI,Friedman David A,Dir,S - Sale,$24.95,-16666,110666,-13%,"-$415,817",,,,,LEVI
10,,2021-10-18 21:36:42,2021-10-15,LEVI,Friedman David A,Dir,S - Sale,$24.95,-25000,102332,-20%,"-$623,750",,,,,LEVI
11,M,2021-10-12 16:32:01,2021-10-06,LEVI,Jaffe Seth,"EVP, GC",S - Sale,$24.44,-40124,116454,-26%,"-$980,596",,,,,LEVI
12,,2021-09-17 17:52:02,2021-09-15,LEVI,Friedman David A,Dir,S - Sale,$26.40,-25000,127332,-16%,"-$660,000",,,,,LEVI
13,,2021-09-13 19:04:30,2021-09-10,LEVI,Ellison Seth M.,"EVP, Chief Commercial Officer",S - Sale,$27.00,-23135,53695,-30%,"-$624,645",,,,,LEVI
14,,2021-08-18 21:16:42,2021-08-16,LEVI,Friedman David A,Dir,S - Sale,$27.62,-25000,152332,-14%,"-$690,500",,,,,LEVI
15,,2021-07-16 18:05:47,2021-07-14,LEVI,Ming Jenny J,Dir,S - Sale,$30.00,-14546,74968,-16%,"-$436,380",,,,,LEVI
16,,2021-07-16 17:28:43,2021-07-14,LEVI,Friedman David A,Dir,S - Sale,$30.00,-16668,171877,-9%,"-$500,040",,,,,LEVI
17,D,2021-07-16 12:49:17,2021-07-15,LEVI,Eisenhardt Elizabeth H,10%,S - Sale+OE,$30.04,-36,18,-67%,"-$1,081",,,,,LEVI
18,DM,2021-07-16 12:30:16,2021-07-14,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$29.80,-345341,0,-100%,"-$10,292,659",,,,,LEVI
19,DM,2021-07-16 12:25:41,2021-07-14,LEVI,Haas Margaret E.,10%,S - Sale+OE,$29.80,-103601,0,-100%,"-$3,087,759",,,,,LEVI
20,D,2021-07-16 12:21:42,2021-07-15,LEVI,Haas Jennifer C.,10%,S - Sale+OE,$30.04,-14,0,-100%,-$420,,,,,LEVI
21,DM,2021-07-16 12:18:12,2021-07-14,LEVI,Haas Bradley J.,10%,S - Sale+OE,$29.80,-126454,0,-100%,"-$3,768,879",,,,,LEVI
22,D,2021-07-13 17:49:36,2021-07-09,LEVI,Eisenhardt Elizabeth H,10%,S - Sale+OE,$28.89,-101760,50880,-67%,"-$2,939,460",,,,,LEVI
23,DM,2021-07-12 13:23:45,2021-07-08,LEVI,Haas Bradley J.,10%,S - Sale+OE,$28.72,-45702,0,-100%,"-$1,312,705",,,,,LEVI
24,DM,2021-07-09 12:13:34,2021-07-08,LEVI,Eisenhardt Elizabeth H,10%,S - Sale+OE,$28.06,-66388,20925,-76%,"-$1,862,637",,,,,LEVI
25,DM,2021-07-08 18:15:47,2021-07-06,LEVI,Haas Bradley J.,10%,S - Sale+OE,$28.15,-36779,0,-100%,"-$1,035,481",,,,,LEVI
26,D,2021-07-06 18:25:07,2021-07-06,LEVI,Eisenhardt Elizabeth H,10%,S - Sale+OE,$28.22,-59786,29893,-67%,"-$1,687,053",,,,,LEVI
27,D,2021-07-06 17:51:12,2021-07-01,LEVI,Haas Bradley J.,10%,S - Sale+OE,$28.00,-402,0,-100%,"-$11,258",,,,,LEVI
