,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-10 16:52:51,2022-03-09,MOGA.,Trabert Mark Joseph,VP,S - Sale+OE,$84.00,-5000,3650,-58%,"-$420,000",,,,,MOG.A
1,D,2021-06-25 14:38:48,2021-06-04,MOGA.,Roche Patrick J,VP,S - Sale+OE,$90.10,-2200,15110,-13%,"-$198,220",,,,,MOG.A
2,D,2021-06-01 16:56:32,2021-05-27,MOGA.,Roche Patrick J,VP,S - Sale+OE,$89.48,-990,12492,-7%,"-$88,584",,,,,MOG.A
3,D,2020-09-17 16:12:32,2020-09-15,MOGA.,Balkin Timothy P,Former Treasurer,S - Sale+OE,$60.78,-300,3546,-8%,"-$18,233",,,,,MOG.A
4,D,2020-09-11 16:11:33,2020-09-10,MOGA.,Roche Patrick J,VP,S - Sale+OE,$60.43,-340,9661,-3%,"-$20,545",,,,,MOG.A
5,D,2020-02-14 16:18:37,2020-02-14,MOGA.,Balkin Timothy P,Treasurer,S - Sale+OE,$93.57,-500,3846,-12%,"-$46,784",,,,,MOG.A
6,D,2020-02-12 14:43:29,2020-02-11,MOGA.,Athoe Maureen Mary,VP,S - Sale+OE,$94.00,-2341,6495,-26%,"-$220,054",,,,,MOG.A
7,D,2020-02-07 17:27:39,2020-02-07,MOGA.,Roche Patrick J,VP,S - Sale+OE,$93.87,-520,9211,-5%,"-$48,812",,,,,MOG.A
8,D,2019-11-14 21:04:17,2019-11-13,MOGA.,Burghardt R. Eric,VP,S - Sale+OE,$91.76,-4245,4188,-50%,"-$389,521",,,,,MOG.A
9,D,2019-09-18 16:34:21,2019-09-13,MOGA.,Roche Patrick J,VP,S - Sale+OE,$89.03,-705,5465,-11%,"-$62,765",,,,,MOG.A
10,D,2019-09-16 16:34:26,2019-09-11,MOGA.,Burghardt R. Eric,VP,S - Sale+OE,$88.29,-500,4870,-9%,"-$44,147",,,,,MOG.A
11,D,2019-09-13 21:45:38,2019-09-11,MOGA.,Balkin Timothy P,Treasurer,S - Sale+OE,$88.43,-125,2151,-5%,"-$11,054",,,,,MOG.A
12,,2019-08-14 16:30:01,2019-08-12,MOGA.,Reichelderfer Brenda,Dir,P - Purchase,$77.41,650,3736,+21%,"+$50,314",,,,,MOG.A
13,D,2019-08-08 21:00:53,2019-08-06,MOGA.,Lawrence Richard Bradley,Dir,P - Purchase,$77.44,1000,5086,+24%,"+$77,437",,,,,MOG.A
14,D,2019-03-08 11:43:41,2019-03-06,MOGA.,Roche Patrick J,VP,S - Sale+OE,$90.08,-300,6170,-5%,"-$27,024",,,,,MOG.A
15,D,2019-02-21 16:45:09,2019-02-19,MOGA.,Fishback Donald R,CFO,S - Sale+OE,$94.50,-3000,48848,-6%,"-$283,500",,,,,MOG.A
16,D,2019-02-19 17:46:00,2019-02-15,MOGA.,Roche Patrick J,VP,S - Sale+OE,$93.20,-500,5749,-8%,"-$46,602",,,,,MOG.A
17,D,2019-02-19 15:38:21,2019-02-15,MOGA.,Balkin Timothy P,Treasurer,S - Sale+OE,$94.80,-370,2087,-15%,"-$35,075",,,,,MOG.A
18,D,2019-02-08 14:25:34,2019-02-07,MOGA.,Szakmary Gary Andrew,VP,S - Sale+OE,$91.15,-135,1165,-10%,"-$12,305",,,,,MOG.A
19,D,2018-11-30 15:24:49,2018-11-30,MOGA.,Fishback Donald R,CFO,S - Sale+OE,$85.00,-2000,47971,-4%,"-$170,000",,,,,MOG.A
20,D,2018-11-29 14:57:32,2018-11-27,MOGA.,Roche Patrick J,VP,S - Sale+OE,$81.69,-230,4254,-5%,"-$18,790",,,,,MOG.A
21,D,2018-11-19 12:08:50,2018-11-15,MOGA.,Aubrecht Richard A,VP,S - Sale+OE,$80.63,-11900,127289,-9%,"-$959,497",,,,,MOG.A
