,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2020-06-22 16:15:17,2020-06-18,MR,Rucker Matthew,"EVP, COO",F - Tax,$4.88,-2938,94031,-3%,"-$14,337",,,,,MR
1,,2020-06-22 16:14:08,2020-06-18,MR,Reinhart John K.,"Pres, CEO",F - Tax,$4.88,-7305,328213,-2%,"-$35,648",,,,,MR
2,,2020-06-22 16:14:08,2020-06-18,MR,Reinhart John K.,"Pres, CEO",G - Gift,$0.00,-45390,328213,+16%,-$0,,,,,MR
3,,2020-06-22 16:12:17,2020-06-18,MR,Loos Timothy J.,"SVP Accounting, Finance",F - Tax,$4.88,-822,26218,-3%,"-$4,011",,,,,MR
4,,2020-06-22 16:10:53,2020-06-18,MR,Johnston Paul M,"EVP, GC",F - Tax,$4.88,-2759,85393,-3%,"-$13,464",,,,,MR
5,,2020-06-22 16:09:50,2020-06-18,MR,Hodges Michael L,"EVP, CFO",F - Tax,$4.88,-3246,72587,-4%,"-$15,840",,,,,MR
6,,2020-06-22 16:08:23,2020-06-19,MR,Swanson Douglas E Jr,Dir,A - Grant,$0.00,11667,14083419,0%,+$0,,,,,MR
7,,2020-06-22 16:07:19,2020-06-19,MR,Phillips D Martin,Dir,A - Grant,$0.00,11667,14083419,0%,+$0,,,,,MR
8,,2020-06-22 16:05:53,2020-06-19,MR,Paterson Richard D,Dir,A - Grant,$0.00,11667,31775,+58%,+$0,,,,,MR
9,,2020-06-22 16:04:26,2020-06-19,MR,Burroughs Mark E Jr,Dir,A - Grant,$0.00,11667,34615,+51%,+$0,,,,,MR
10,,2020-06-22 16:03:08,2020-06-19,MR,Albert Randall M,Dir,A - Grant,$0.00,11667,31908,+58%,+$0,,,,,MR
11,D,2020-06-03 18:20:29,2020-06-01,MR,Tolmachev Oleg E,Former EVP & COO,F - Tax,$6.12,-18022,134206,-12%,"-$110,295",,,,,MR
12,D,2020-06-03 18:20:29,2020-06-01,MR,Tolmachev Oleg E,Former EVP & COO,M - OptEx,$0.00,24791,134206,+23%,+$0,,,,,MR
13,D,2020-06-01 16:45:09,2020-05-28,MR,Loos Timothy J.,"SVP Accounting, Finance",A - Grant,$0.00,9570,27040,+55%,+$0,,,,,MR
14,D,2020-06-01 16:43:41,2020-05-28,MR,Johnston Paul M,"EVP, GC",A - Grant,$0.00,29608,88152,+51%,+$0,,,,,MR
15,D,2020-06-01 16:42:09,2020-05-28,MR,Rucker Matthew,"EVP, Resource Planning, Dev.",A - Grant,$0.00,31524,96969,+48%,+$0,,,,,MR
16,D,2020-06-01 16:33:56,2020-05-28,MR,Hodges Michael L,"EVP, CFO",A - Grant,$0.00,34833,75833,+85%,+$0,,,,,MR
17,D,2020-06-01 16:32:20,2020-05-28,MR,Reinhart John K.,"Pres, CEO",A - Grant,$0.00,78469,335518,+31%,+$0,,,,,MR
18,,2020-03-02 17:07:40,2020-02-28,MR,Tolmachev Oleg E,"EVP, COO",F - Tax,$3.06,-3180,127437,-2%,"-$9,731",,,,,MR
19,M,2020-02-25 16:14:36,2020-02-23,MR,Tolmachev Oleg E,"EVP, COO",D - Sale to issuer,$3.63,-2502,130617,-2%,"-$9,082",,,,,MR
20,M,2020-02-25 16:12:59,2020-02-23,MR,Loos Timothy J.,"SVP Accounting, Finance",F - Tax,$3.63,-274,17470,-2%,-$995,,,,,MR
21,D,2020-02-10 16:16:30,2020-02-06,MR,Loos Timothy J.,"SVP Accounting, Finance",F - Tax,$7.94,-270,17744,-1%,"-$2,144",,,,,MR
22,D,2020-02-10 16:16:30,2020-02-06,MR,Loos Timothy J.,"SVP Accounting, Finance",M - OptEx,$0.00,912,17744,+5%,+$0,,,,,MR
23,D,2020-02-10 16:14:02,2020-02-06,MR,Tolmachev Oleg E,"EVP, COO",F - Tax,$7.94,-2855,133119,-2%,"-$22,669",,,,,MR
24,D,2020-02-10 16:14:02,2020-02-06,MR,Tolmachev Oleg E,"EVP, COO",M - OptEx,$0.00,9632,133119,+8%,+$0,,,,,MR
25,,2019-12-16 18:11:47,2019-12-13,MR,Jennings Michael,Dir,D - Sale to issuer,$0.00,-6666,10412,-39%,-$0,,,,,MR
