,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-05-09 16:07:01,2022-05-05,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,S - Sale+OE,$15.08,-3750,180147,-2%,"-$56,555",,,,,NPTN
1,,2022-04-14 19:07:17,2022-04-13,NPTN,Jenks Timothy Storrs,CEO,S - Sale,$15.16,-17040,502990,-3%,"-$258,246",,,,,NPTN
2,,2022-03-29 14:14:56,2022-03-28,NPTN,Jenks Timothy Storrs,CEO,S - Sale,$15.16,-16045,522030,-3%,"-$243,281",,,,,NPTN
3,,2022-02-15 19:29:32,2022-02-14,NPTN,Jenks Timothy Storrs,CEO,S - Sale,$15.50,-17009,538075,-3%,"-$263,634",,,,,NPTN
4,D,2021-12-13 16:45:37,2021-12-09,NPTN,Li Yanbing,Dir,S - Sale+OE,$15.33,-38842,8586,-82%,"-$595,270",,,,,NPTN
5,D,2021-11-08 18:30:25,2021-11-04,NPTN,Sophie Michael J,Dir,S - Sale+OE,$15.04,-17388,11662,-60%,"-$261,516",,,,,NPTN
6,D,2021-11-08 18:24:26,2021-11-04,NPTN,Cheung Chiyue,COO,S - Sale+OE,$15.04,-92000,0,-100%,"-$1,383,680",,,,,NPTN
7,,2021-11-08 18:20:11,2021-11-04,NPTN,Eby Elizabeth Lynne,"SVP, CFO",S - Sale,$15.04,-50000,366334,-12%,"-$752,000",,,,,NPTN
8,,2021-11-08 18:14:50,2021-11-04,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,S - Sale,$15.04,-48587,166897,-23%,"-$730,748",,,,,NPTN
9,,2021-11-08 18:05:35,2021-11-04,NPTN,Jenks Timothy Storrs,CEO,S - Sale,$15.04,-129261,459198,-22%,"-$1,944,085",,,,,NPTN
10,,2021-08-24 16:42:52,2021-08-20,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,S - Sale,$8.20,-27072,215484,-11%,"-$221,920",,,,,NPTN
11,D,2021-08-03 18:23:30,2021-08-02,NPTN,Cheung Chiyue,COO,S - Sale+OE,$9.41,-12667,0,-100%,"-$119,232",,,,,NPTN
