,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-10-21 16:14:20,2021-10-20,ODC,Selig Allan H,Dir,P - Purchase,$34.91,1000,49000,+2%,"+$34,910",,,,,ODC
1,,2021-04-23 17:54:39,2021-04-21,ODC,Selig Allan H,Dir,P - Purchase,$35.16,1000,46000,+2%,"+$35,160",,,,,ODC
2,D,2021-03-12 17:26:11,2021-03-11,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$37.62,-4486,0,-100%,"-$168,785",,,,,ODC
3,DM,2021-03-10 17:59:37,2021-03-08,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$37.63,-11599,0,-100%,"-$436,497",,,,,ODC
4,,2021-01-21 17:55:28,2021-01-20,ODC,Selig Allan H,Dir,P - Purchase,$33.73,1000,45000,+2%,"+$33,730",,,,,ODC
5,,2020-10-19 16:47:52,2020-10-15,ODC,Selig Allan H,Dir,P - Purchase,$36.63,1000,42000,+2%,"+$36,627",,,,,ODC
6,DM,2020-10-14 17:12:39,2020-10-12,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$37.50,-274,0,-100%,"-$10,275",,,,,ODC
7,DM,2020-10-08 18:39:15,2020-10-06,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$37.54,-684,0,-100%,"-$25,677",,,,,ODC
8,DM,2020-09-22 18:06:07,2020-09-18,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$37.88,-2400,0,-100%,"-$90,920",,,,,ODC
9,D,2020-08-14 17:33:20,2020-08-12,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$37.53,-159,0,-100%,"-$5,967",,,,,ODC
10,,2020-06-12 16:17:59,2020-06-11,ODC,Selig Allan H,Dir,P - Purchase,$34.09,1000,41000,+3%,"+$34,092",,,,,ODC
11,DM,2020-05-04 18:27:00,2020-04-30,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$36.59,-2353,0,-100%,"-$86,094",,,,,ODC
12,DM,2020-04-29 18:36:28,2020-04-27,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$35.92,-10688,0,-100%,"-$383,920",,,,,ODC
13,DM,2020-04-24 18:32:58,2020-04-22,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$35.06,-7357,0,-100%,"-$257,903",,,,,ODC
14,,2020-04-15 16:15:29,2020-04-14,ODC,Selig Allan H,Dir,P - Purchase,$33.41,1000,40000,+3%,"+$33,410",,,,,ODC
15,,2019-10-21 16:45:45,2019-10-17,ODC,Selig Allan H,Dir,P - Purchase,$33.82,1000,39000,+3%,"+$33,820",,,,,ODC
16,,2019-07-11 16:24:02,2019-07-10,ODC,Hindsley Paul,Dir,P - Purchase,$33.25,212,3000,+8%,"+$7,049",,,,,ODC
17,,2019-06-26 17:34:23,2019-06-24,ODC,Hindsley Paul,Dir,P - Purchase,$30.29,2788,2788,New,"+$84,447",,,,,ODC
18,,2019-01-14 17:06:51,2018-10-24,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale,$30.26,-1300,11132,-10%,"-$39,338",,,,,ODC
19,,2019-01-03 18:10:42,2019-01-03,ODC,Sullivan Mary Beth,"VP, HR",P - Purchase,$26.16,200,9500,+2%,"+$5,232",,,,,ODC
20,,2018-12-18 16:24:39,2018-12-17,ODC,Selig Allan H,Dir,P - Purchase,$25.90,1000,38000,+3%,"+$25,900",,,,,ODC
21,,2018-10-25 16:19:15,2018-10-23,ODC,Cole J Steven,Dir,P - Purchase,$30.22,2000,30000,+7%,"+$60,440",,,,,ODC
22,M,2018-10-23 17:11:59,2018-10-19,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale,$30.05,-4133,12432,-25%,"-$124,207",,,,,ODC
23,,2018-10-23 17:08:14,2018-10-23,ODC,Chube Ellen-Blair,Dir,P - Purchase,$29.99,660,660,New,"+$19,793",,,,,ODC
24,,2018-10-19 17:35:43,2018-10-19,ODC,Sullivan Mary Beth,"VP, HR",P - Purchase,$29.22,200,6300,+3%,"+$5,844",,,,,ODC
25,DM,2018-10-18 17:19:26,2018-10-16,ODC,Jaffee Daniel S,"COB, Pres, CEO, 10%",S - Sale+OE,$31.67,-8435,16565,-34%,"-$267,100",,,,,ODC
26,,2018-10-17 16:51:49,2018-10-16,ODC,Selig Allan H,Dir,P - Purchase,$30.67,1000,35000,+3%,"+$30,667",,,,,ODC
27,,2018-06-13 16:33:51,2018-06-12,ODC,Selig Allan H,Dir,P - Purchase,$42.08,1000,34000,+3%,"+$42,080",,,,,ODC
