,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2021-11-04 16:22:48,2021-11-02,OOMA,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,$24.00,-675,48574,-1%,"-$16,200",,,,,OOMA
1,D,2021-11-01 17:21:19,2021-10-29,OOMA,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,$22.04,-3817,48574,-7%,"-$84,130",,,,,OOMA
2,D,2021-06-16 20:05:13,2021-06-15,OOMA,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,$24.20,-363,56182,-1%,"-$8,785",,,,,OOMA
3,,2021-06-14 17:51:32,2021-06-10,OOMA,Narula Ravi,CFO,S - Sale,$22.06,-57000,207634,-22%,"-$1,257,699",,,,,OOMA
4,D,2021-06-14 17:50:00,2021-06-10,OOMA,Gustke James A.,VP of Marketing,S - Sale+OE,$23.08,-5900,120573,-5%,"-$136,163",,,,,OOMA
5,M,2021-06-14 17:46:27,2021-06-10,OOMA,Stang Eric B,"CEO, Pres",S - Sale,$23.15,-60000,852072,-7%,"-$1,388,872",,,,,OOMA
6,M,2021-06-10 16:38:17,2021-06-08,OOMA,Stang Eric B,"CEO, Pres",S - Sale,$21.02,-45000,912072,-5%,"-$946,000",,,,,OOMA
7,D,2021-06-10 16:36:48,2021-06-08,OOMA,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,$21.00,-150,57758,0%,"-$3,150",,,,,OOMA
8,DM,2021-06-10 16:35:14,2021-06-08,OOMA,Gustke James A.,VP of Marketing,S - Sale+OE,$20.60,-10900,120573,-8%,"-$224,494",,,,,OOMA
9,D,2021-06-01 16:44:08,2021-05-27,OOMA,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,$18.57,-5297,58349,-8%,"-$98,350",,,,,OOMA
10,M,2021-06-01 16:42:28,2021-05-27,OOMA,Stang Eric B,"CEO, Pres",S - Sale,$19.05,-35000,951640,-4%,"-$666,629",,,,,OOMA
11,,2021-06-01 16:40:23,2021-05-27,OOMA,Narula Ravi,CFO,S - Sale,$17.79,-4750,266216,-2%,"-$84,486",,,,,OOMA
12,D,2021-06-01 16:37:10,2021-05-27,OOMA,Gustke James A.,VP of Marketing,S - Sale+OE,$18.74,-9497,125113,-7%,"-$178,020",,,,,OOMA
13,A,2021-04-05 20:00:00,2019-12-18,OOMA,Gustke James A.,VP of Marketing,S - Sale,$12.88,-2730,120218,-2%,"-$35,159",,,,,OOMA
14,A,2021-04-05 19:59:04,2019-12-18,OOMA,Yeh Jenny C,"VP, GC, Sec.",S - Sale,$12.88,-3247,35777,-8%,"-$41,817",,,,,OOMA
15,,2021-03-12 20:16:57,2021-03-12,OOMA,Gustke James A.,VP of Marketing,S - Sale,$18.00,-1403,128285,-1%,"-$25,256",,,,,OOMA
