,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-05-17 17:01:36,2022-05-16,PEI,Aristone Joseph J.,EVP - Leasing,P - Purchase,$0.52,5000,148658,+3%,"+$2,612",,,,,PEI
1,,2022-05-12 17:30:14,2022-05-11,PEI,Coradino Joseph F,CEO,P - Purchase,$0.39,10000,666677,+2%,"+$3,899",,,,,PEI
2,,2021-12-20 18:31:17,2021-12-17,PEI,Demarco Michael J.,Dir,S - Sale,$1.03,-100000,55682,-64%,"-$102,500",,,,,PEI
3,,2021-08-16 16:05:22,2021-08-12,PEI,Aristone Joseph J.,EVP - Leasing,S - Sale,$1.94,-4403,122307,-3%,"-$8,542",,,,,PEI
4,,2021-06-11 16:05:50,2021-06-10,PEI,Ioannou Andrew M.,"EVP - Finance, Acquisitions",S - Sale,$3.09,-13940,109555,-11%,"-$43,075",,,,,PEI
5,,2021-06-11 16:05:44,2021-06-10,PEI,Coradino Joseph F,CEO,S - Sale,$3.05,-275000,598997,-31%,"-$838,750",,,,,PEI
6,,2021-06-11 16:05:38,2021-06-10,PEI,Ventresca Mario C. Jr.,EVP - CFO,S - Sale,$3.25,-26000,159701,-14%,"-$84,500",,,,,PEI
7,M,2021-04-23 17:23:36,2021-04-16,PEI,Demarco Michael J.,Dir,S - Sale,$1.00,-6100,155682,-4%,"-$6,100",,,,,PEI
8,M,2021-04-23 17:23:36,2021-04-19,PEI,Demarco Michael J.,Dir,P - Purchase,$1.79,6100,155682,+4%,"+$10,894",,,,,PEI
9,,2021-03-23 16:05:08,2021-03-19,PEI,Roberts John Joseph,Dir,P - Purchase,$2.28,783,192248,0%,"+$1,785",,,,,PEI
10,M,2019-09-23 18:32:43,2019-05-10,PEI,Roberts John Joseph,Dir,P - Purchase,$6.46,20000,88858,+29%,"+$129,200",,,,,PEI
11,,2019-09-23 18:20:30,2019-09-20,PEI,Epps Joanne A.,Dir,P - Purchase,$5.70,2000,28214,+8%,"+$11,400",,,,,PEI
12,,2019-09-20 19:56:09,2019-09-19,PEI,Demarco Michael J.,Dir,P - Purchase,$5.53,10000,53460,+23%,"+$55,257",,,,,PEI
13,,2019-09-19 20:51:45,2019-09-18,PEI,Ventresca Mario C. Jr.,EVP - Operations,P - Purchase,$5.24,10000,118085,+9%,"+$52,447",,,,,PEI
14,,2019-09-19 20:43:39,2019-09-18,PEI,Alburger George J Jr,Dir,P - Purchase,$5.29,10000,50408,+25%,"+$52,900",,,,,PEI
15,,2019-09-19 20:37:24,2019-09-18,PEI,Ioannou Andrew M.,"EVP - Finance, Acquisitions",P - Purchase,$5.25,2000,94314,+2%,"+$10,500",,,,,PEI
16,,2019-09-19 20:04:32,2019-09-17,PEI,Aristone Joseph J.,EVP - Leasing,P - Purchase,$5.46,5000,88566,+6%,"+$27,300",,,,,PEI
17,,2019-09-19 19:44:45,2019-09-17,PEI,Crowell Heather,"EVP - Strategy, Communication",P - Purchase,$5.33,1500,56705,+3%,"+$7,995",,,,,PEI
18,,2019-09-19 19:38:02,2019-09-17,PEI,Coradino Joseph F,CEO,P - Purchase,$5.33,11200,563168,+2%,"+$59,741",,,,,PEI
19,,2019-09-19 19:27:49,2019-09-17,PEI,Korman Leonard I,Dir,P - Purchase,$5.29,30000,530705,+6%,"+$158,772",,,,,PEI
20,,2019-09-18 19:11:26,2019-09-17,PEI,Most Lisa M.,"SVP,GC, Secretary",P - Purchase,$5.32,1500,57443,+3%,"+$7,976",,,,,PEI
21,,2019-09-18 18:11:28,2019-09-18,PEI,Pizzi Charles P,Dir,P - Purchase,$5.34,10000,58459,+21%,"+$53,399",,,,,PEI
22,,2019-09-18 17:59:37,2019-09-17,PEI,Pasquerilla Mark E,Dir,P - Purchase,$5.46,10000,175731,+6%,"+$54,600",,,,,PEI
23,,2019-09-18 17:36:51,2019-08-26,PEI,Korman Leonard I,Dir,P - Purchase,$4.77,30000,500705,+6%,"+$143,214",,,,,PEI
