,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-05-17 07:48:23,2022-05-16,PFE,Damico Jennifer B.,"SVP, Controller",S - Sale+OE,$50.50,-4000,15064,-21%,"-$202,000",,,,,PFE
1,,2022-05-16 21:23:00,2022-05-13,PFE,Sahni Payal,EVP,S - Sale,$49.84,-1408,27370,-5%,"-$70,175",,,,,PFE
2,,2022-05-13 17:38:47,2022-05-12,PFE,Carapezzi William R Jr,EVP,S - Sale,$50.00,-32908,41060,-44%,"-$1,645,400",,,,,PFE
3,,2022-05-13 17:19:30,2022-05-12,PFE,Lankler Douglas M,EVP,S - Sale,$49.41,-38273,80484,-32%,"-$1,891,069",,,,,PFE
4,D,2022-05-12 16:34:07,2022-05-11,PFE,Dolsten Mikael,"Pres R, D",S - Sale+OE,$49.32,-63902,335159,-16%,"-$3,151,547",,,,,PFE
5,,2021-12-06 17:18:54,2021-12-02,PFE,Mackenzie Alexander R,EVP,S - Sale,$54.26,-41360,97629,-30%,"-$2,244,194",,,,,PFE
6,,2021-12-06 17:18:50,2021-12-03,PFE,Johnson Rady A,EVP,S - Sale,$53.42,-19000,61558,-24%,"-$1,015,042",,,,,PFE
7,,2021-11-30 16:30:36,2021-11-26,PFE,Lankler Douglas M,EVP,S - Sale,$54.37,-40000,67985,-37%,"-$2,174,786",,,,,PFE
8,,2021-11-30 16:30:35,2021-11-26,PFE,Susman Sally,EVP,S - Sale,$54.52,-44308,90316,-33%,"-$2,415,578",,,,,PFE
9,D,2021-11-15 17:40:30,2021-11-11,PFE,Dolsten Mikael,"Pres R, D",S - Sale+OE,$50.29,-59664,281645,-17%,"-$3,000,647",,,,,PFE
10,D,2021-11-15 17:32:19,2021-11-12,PFE,Hwang Angela,Group Pres,S - Sale+OE,$49.60,-26170,36167,-42%,"-$1,298,002",,,,,PFE
11,,2021-11-12 18:08:08,2021-11-11,PFE,Young John D,Group Pres,S - Sale,$50.06,-150000,316875,-32%,"-$7,508,732",,,,,PFE
12,D,2021-08-16 20:12:45,2021-08-13,PFE,Damico Jennifer B.,"SVP, Controller",S - Sale+OE,$48.30,-1661,9769,-15%,"-$80,226",,,,,PFE
13,D,2021-08-02 19:02:32,2021-07-30,PFE,Damico Jennifer B.,"SVP, Controller",S - Sale+OE,$42.86,-2500,11430,-18%,"-$107,150",,,,,PFE
14,,2021-05-07 16:10:01,2021-05-05,PFE,Damico Jennifer B.,"SVP, Controller",S - Sale,$40.82,-2500,13748,-15%,"-$102,050",,,,,PFE
15,,2020-11-10 17:55:14,2020-11-09,PFE,Susman Sally,EVP,S - Sale,$41.94,-43662,108804,-29%,"-$1,831,184",,,,,PFE
16,,2020-11-10 17:55:10,2020-11-09,PFE,Bourla Albert,"COB, CEO",S - Sale,$41.94,-132508,81812,-62%,"-$5,557,386",,,,,PFE
17,,2020-08-10 08:07:38,2020-08-06,PFE,Blaylock Ronald E,Dir,P - Purchase,$38.55,13000,13000,New,"+$501,085",,,,,PFE
18,,2020-06-08 16:29:28,2020-06-05,PFE,Damico Jennifer B.,"SVP, Controller",S - Sale,$36.13,-2181,7542,-22%,"-$78,800",,,,,PFE
19,,2020-05-19 17:37:10,2020-05-18,PFE,Dolsten Mikael,"Pres R, D",S - Sale,$37.78,-95353,176623,-35%,"-$3,602,681",,,,,PFE
20,,2020-05-01 15:56:26,2020-04-29,PFE,Lankler Douglas M,EVP,S - Sale,$37.85,-65000,79837,-45%,"-$2,460,372",,,,,PFE
21,D,2020-05-01 15:56:18,2020-04-29,PFE,Rogers Dawn,EVP,S - Sale+OE,$38.13,-13000,14641,-47%,"-$495,690",,,,,PFE
22,D,2020-05-01 15:56:13,2020-04-29,PFE,Johnson Rady A,EVP,S - Sale+OE,$38.36,-13125,69310,-16%,"-$503,475",,,,,PFE
23,D,2020-05-01 15:56:09,2020-04-29,PFE,Damico Jennifer B.,"SVP, Controller",S - Sale+OE,$38.35,-2181,9647,-18%,"-$83,641",,,,,PFE
24,,2020-01-31 08:06:02,2020-01-30,PFE,Gottlieb Scott,Dir,P - Purchase,$37.00,1000,4000,+33%,"+$36,997",,,,,PFE
25,,2019-08-26 09:27:52,2019-08-23,PFE,Gottlieb Scott,Dir,P - Purchase,$34.72,3000,3000,New,"+$104,160",,,,,PFE
26,,2019-07-03 16:06:00,2019-07-02,PFE,Damelio Frank A,EVP,S - Sale,$44.09,-153184,337392,-31%,"-$6,753,385",,,,,PFE
27,,2019-06-21 16:08:41,2019-06-20,PFE,Mackenzie Alexander R,EVP,S - Sale,$44.00,-30000,89508,-25%,"-$1,320,000",,,,,PFE
28,,2019-04-02 15:05:48,2019-04-01,PFE,Mackenzie Alexander R,EVP,S - Sale,$42.83,-15000,119430,-11%,"-$642,503",,,,,PFE
29,D,2019-03-18 18:37:35,2019-03-15,PFE,Johnson Rady A,EVP,S - Sale+OE,$41.13,-8700,64960,-12%,"-$357,831",,,,,PFE
30,,2019-03-06 16:03:13,2019-03-04,PFE,Read Ian C,Exec COB,S - Sale,$43.17,-530078,1120644,-32%,"-$22,882,702",,,,,PFE
31,,2019-03-06 16:03:09,2019-03-04,PFE,Read Ian C,Exec COB,S - Sale,$43.29,-50788,1639280,-3%,"-$2,198,474",,,,,PFE
