,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-04-29 16:48:09,2022-04-27,PG,Moeller Jon R,"Pres, CEO",S - Sale,$159.30,-81,219568,0%,"-$12,903",,,,,PG
1,,2022-04-27 08:33:35,2022-04-26,PG,Janzaruk Matthew W.,SVP - Chief Accounting Officer,S - Sale,$162.43,-334,6801,-5%,"-$54,252",,,,,PG
2,D,2022-04-26 16:26:32,2022-04-25,PG,Taylor David S,Exec COB,S - Sale+OE,$162.83,-30000,286877,-9%,"-$4,884,810",,,,,PG
3,D,2022-04-22 16:24:09,2022-04-21,PG,Taylor David S,Exec COB,S - Sale+OE,$164.52,-60000,286877,-17%,"-$9,871,458",,,,,PG
4,,2022-04-22 16:22:39,2022-04-21,PG,Keith R. Alexandra,CEO - Beauty,S - Sale,$163.50,-8189,51613,-14%,"-$1,338,902",,,,,PG
5,D,2022-04-21 16:23:20,2022-04-21,PG,Francisco Ma. Fatima,"CEO - Baby, Fem, Family Care",S - Sale+OE,$164.10,-18000,28294,-39%,"-$2,953,849",,,,,PG
6,D,2022-03-03 14:54:17,2022-03-01,PG,Moeller Jon R,"Pres, CEO",S - Sale+OE,$153.51,-3546,219497,-2%,"-$544,351",,,,,PG
7,,2022-03-03 10:07:17,2022-03-01,PG,Janzaruk Matthew W.,SVP - Chief Accounting Officer,S - Sale,$153.51,-155,7135,-2%,"-$23,794",,,,,PG
8,D,2022-03-03 10:04:12,2022-03-01,PG,Majoras Deborah P,"GC, Secy",S - Sale+OE,$153.51,-1927,37150,-5%,"-$295,815",,,,,PG
9,D,2022-03-03 09:57:05,2022-03-01,PG,Taylor David S,Exec COB,S - Sale+OE,$153.51,-12953,286613,-4%,"-$1,988,431",,,,,PG
10,D,2022-03-03 09:54:05,2022-03-01,PG,Tastad Carolyn M,CEO - Health Care,S - Sale+OE,$153.51,-3730,36703,-9%,"-$572,597",,,,,PG
11,D,2022-03-03 09:50:41,2022-03-01,PG,Schulten Andre,CFO,S - Sale+OE,$153.51,-1335,29843,-4%,"-$204,938",,,,,PG
12,D,2022-03-03 09:47:55,2022-03-01,PG,Keith R. Alexandra,CEO - Beauty,S - Sale+OE,$153.51,-6831,59709,-10%,"-$1,048,634",,,,,PG
13,D,2022-02-03 17:54:18,2022-02-02,PG,Taylor David S,Exec COB,S - Sale+OE,$162.00,-30095,299023,-9%,"-$4,875,390",,,,,PG
14,D,2022-02-01 18:54:18,2022-01-31,PG,Taylor David S,Exec COB,S - Sale+OE,$160.01,-25000,299023,-8%,"-$4,000,325",,,,,PG
15,D,2022-02-01 18:51:52,2022-01-31,PG,Moeller Jon R,"Pres, CEO",S - Sale+OE,$160.01,-105620,222810,-32%,"-$16,899,850",,,,,PG
16,D,2022-01-28 17:44:04,2022-01-28,PG,Moeller Jon R,"Pres, CEO",S - Sale+OE,$160.58,-281271,222810,-56%,"-$45,165,710",,,,,PG
17,D,2022-01-21 16:53:20,2022-01-20,PG,Jejurikar Shailesh,COO,S - Sale+OE,$161.13,-49337,41853,-54%,"-$7,949,671",,,,,PG
18,D,2022-01-21 16:52:03,2022-01-20,PG,Pritchard Marc S.,Chief Brand Officer,S - Sale+OE,$161.13,-51837,183170,-22%,"-$8,352,496",,,,,PG
19,D,2022-01-21 16:50:50,2022-01-20,PG,Taylor David S,Exec COB,S - Sale+OE,$164.07,-50000,299023,-14%,"-$8,203,700",,,,,PG
