,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2018-07-23 16:40:34,2018-07-23,RMP,Vagt Robert F,Dir,D - Sale to issuer,$0.00,-8920,0,-100%,-$0,,,,,RMP
1,,2018-07-23 16:39:19,2018-07-23,RMP,Leland D Mark,Dir,D - Sale to issuer,$0.00,-69465,0,-100%,-$0,,,,,RMP
2,,2018-07-23 16:38:34,2018-07-23,RMP,Lytal James H,Dir,D - Sale to issuer,$0.00,-33720,0,-100%,-$0,,,,,RMP
3,,2018-07-23 16:37:49,2018-07-23,RMP,Hildebrandt Stephanie C,Dir,D - Sale to issuer,$0.00,-27442,0,-100%,-$0,,,,,RMP
4,,2018-07-23 16:35:38,2018-07-23,RMP,Eqt Corp,10%,D - Sale to issuer,$0.00,-28757246,0,-100%,-$0,,,,,RMP
5,,2018-06-04 16:50:41,2018-05-31,RMP,Vagt Robert F,Dir,A - Grant,$0.00,8920,8920,New,+$0,,,,,RMP
6,,2018-06-04 16:45:14,2018-05-31,RMP,Hildebrandt Stephanie C,Dir,A - Grant,$0.00,8920,27442,+48%,+$0,,,,,RMP
7,,2018-06-04 16:41:26,2018-05-31,RMP,Leland D Mark,Dir,A - Grant,$0.00,9190,69465,+15%,+$0,,,,,RMP
8,,2018-06-04 16:38:58,2018-05-31,RMP,Lytal James H,Dir,A - Grant,$0.00,9190,33720,+37%,+$0,,,,,RMP
9,D,2018-02-20 17:03:18,2018-02-15,RMP,Eqt Corp,10%,C - Converted deriv,$0.00,28753623,28757246,-50%,$0,,,,,RMP
10,,2017-06-02 16:08:09,2017-05-31,RMP,Lytal James H,Dir,A - Grant,$0.00,6964,24530,+40%,+$0,,,,,RMP
11,,2017-06-02 16:06:57,2017-05-31,RMP,Leland D Mark,Dir,A - Grant,$0.00,6964,60275,+13%,+$0,,,,,RMP
12,,2017-06-02 16:06:42,2017-05-31,RMP,Hildebrandt Stephanie C,Dir,A - Grant,$0.00,6760,18522,+57%,+$0,,,,,RMP
13,,2016-12-20 20:41:51,2016-12-19,RMP,Wingo Robert R.,See Remarks,F - Tax,$22.98,-7634,29108,-21%,"-$175,429",4.0,6.0,5.0,,RMP
14,,2016-12-20 20:40:17,2016-12-19,RMP,Rice Daniel J. IV,CEO,F - Tax,$22.98,-4772,11380,-30%,"-$109,661",4.0,6.0,5.0,,RMP
15,,2016-12-20 20:39:03,2016-12-19,RMP,Lisenby Grayson T.,See Remarks,F - Tax,$22.98,-4145,27007,-13%,"-$95,252",4.0,6.0,5.0,,RMP
16,,2016-12-20 20:38:22,2016-12-19,RMP,Jordan William E.,See Remarks,F - Tax,$22.98,-6631,22611,-23%,"-$152,380",4.0,6.0,5.0,,RMP
17,,2016-12-20 20:38:03,2016-12-19,RMP,Rogers James Wilmot,See Remarks,F - Tax,$22.98,-4772,24380,-16%,"-$109,661",4.0,6.0,5.0,,RMP
18,,2016-11-08 16:30:20,2016-11-07,RMP,Rogers James Wilmot,See Remarks,P - Purchase,$21.10,4000,29152,+16%,"+$84,400",1.0,-2.0,5.0,20.0,RMP
19,,2016-06-02 20:16:25,2016-06-01,RMP,Lytal James H,Dir,A - Grant,$0.00,9295,17566,+112%,+$0,0.0,-2.0,7.0,12.0,RMP
20,,2016-06-02 20:13:26,2016-06-01,RMP,Leland D Mark,Dir,A - Grant,$0.00,9295,53311,+21%,+$0,0.0,-2.0,7.0,12.0,RMP
21,,2016-06-02 20:13:16,2016-06-01,RMP,Hildebrandt Stephanie C,Dir,A - Grant,$0.00,9021,11762,+329%,+$0,0.0,-2.0,7.0,12.0,RMP
22,,2016-03-18 17:15:21,2016-03-16,RMP,Hildebrandt Stephanie C,Dir,A - Grant,$0.00,2741,2741,New,+$0,-1.0,-2.0,4.0,51.0,RMP
23,,2015-08-21 16:23:49,2015-08-20,RMP,Lisenby Grayson T.,See Remarks,P - Purchase,$15.90,3500,31152,+13%,"+$55,650",-6.0,3.0,-4.0,-27.0,RMP
24,,2015-08-11 18:24:30,2015-08-10,RMP,Rogers James Wilmot,See Remarks,P - Purchase,$16.40,3000,25152,+14%,"+$49,200",3.0,4.0,-2.0,-39.0,RMP
25,,2015-08-05 19:31:46,2015-08-03,RMP,Lytal James H,Dir,A - Grant,$0.00,8271,8271,New,+$0,0.0,-3.0,-1.0,-36.0,RMP
26,,2015-06-05 17:15:35,2015-06-03,RMP,Leland D Mark,Dir,A - Grant,$0.00,9925,44016,+29%,+$0,1.0,2.0,4.0,-13.0,RMP
27,,2015-05-21 18:37:48,2015-05-21,RMP,Rogers James Wilmot,See Remarks,P - Purchase,$16.62,5000,22152,+29%,"+$83,080",2.0,3.0,3.0,-9.0,RMP
28,M,2015-05-19 19:29:13,2015-05-15,RMP,Lisenby Grayson T.,See Remarks,P - Purchase,$16.53,6000,27652,+28%,"+$99,180",1.0,1.0,4.0,-13.0,RMP
29,,2015-03-17 17:54:02,2015-03-16,RMP,Jordan William E.,See Remarks,P - Purchase,$13.92,2500,29243,+9%,"+$34,800",0.0,0.0,18.0,10.0,RMP
30,,2014-12-22 16:32:35,2014-12-19,RMP,Leland D Mark,Dir,A - Grant,$0.00,9091,34091,+36%,+$0,-3.0,-1.0,-14.0,7.0,RMP
31,,2014-12-22 16:32:35,2014-12-22,RMP,Leland D Mark,Dir,P - Purchase,$16.50,25000,34091,+275%,"+$412,500",-3.0,-1.0,-14.0,7.0,RMP
32,,2014-12-22 16:32:26,2014-12-19,RMP,Wingo Robert R.,See Remarks,A - Grant,$0.00,24243,36743,+194%,+$0,-3.0,-1.0,-14.0,7.0,RMP
33,,2014-12-22 16:32:26,2014-12-22,RMP,Wingo Robert R.,See Remarks,P - Purchase,$16.50,12500,36743,+52%,"+$206,250",-3.0,-1.0,-14.0,7.0,RMP
34,,2014-12-22 16:28:52,2014-12-19,RMP,Jordan William E.,See Remarks,A - Grant,$0.00,24243,26743,+970%,+$0,-3.0,-1.0,-14.0,7.0,RMP
35,,2014-12-22 16:28:52,2014-12-22,RMP,Jordan William E.,See Remarks,P - Purchase,$16.50,2500,26743,+10%,"+$41,250",-3.0,-1.0,-14.0,7.0,RMP
36,,2014-12-22 16:27:21,2014-12-19,RMP,Rogers James Wilmot,See Remarks,A - Grant,$0.00,15152,17152,+758%,+$0,-3.0,-1.0,-14.0,7.0,RMP
37,,2014-12-22 16:27:21,2014-12-18,RMP,Rogers James Wilmot,See Remarks,P - Purchase,$17.26,2000,17152,+13%,"+$34,514",-3.0,-1.0,-14.0,7.0,RMP
38,,2014-12-22 16:25:30,2014-12-19,RMP,Rice Daniel J. IV,CEO,A - Grant,$0.00,15152,16152,>999%,+$0,-3.0,-1.0,-14.0,7.0,RMP
39,,2014-12-22 16:25:30,2014-12-22,RMP,Rice Daniel J. IV,CEO,P - Purchase,$16.50,1000,16152,+7%,"+$16,500",-3.0,-1.0,-14.0,7.0,RMP
40,,2014-12-22 16:24:02,2014-12-19,RMP,Lisenby Grayson T.,See Remarks,A - Grant,$0.00,15152,21652,+233%,+$0,-3.0,-1.0,-14.0,7.0,RMP
41,,2014-12-22 16:24:02,2014-12-22,RMP,Lisenby Grayson T.,See Remarks,P - Purchase,$16.50,6500,21652,+43%,"+$107,250",-3.0,-1.0,-14.0,7.0,RMP
