,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-04-11 16:33:08,2022-04-08,RRC,Ginn Dori,"SVP, Principal Accting Officer",S - Sale,$32.60,-10000,437136,-2%,"-$326,000",,,,,RRC
1,,2021-11-10 16:24:10,2021-11-08,RRC,Poole David P,"SVP, GC",S - Sale,$24.50,-12453,889636,-1%,"-$305,099",,,,,RRC
2,,2021-09-17 16:42:04,2021-09-16,RRC,Ginn Dori,"SVP, Principal Accting Officer",S - Sale,$19.45,-20000,383801,-5%,"-$389,000",,,,,RRC
3,,2021-05-21 17:01:53,2021-05-20,RRC,Ginn Dori,"SVP, Principal Accting Officer",S - Sale,$14.01,-25328,403801,-6%,"-$354,845",,,,,RRC
4,,2021-05-21 17:00:48,2021-05-20,RRC,Poole David P,"SVP, GC",S - Sale,$14.04,-82087,908755,-8%,"-$1,152,799",,,,,RRC
5,,2021-05-21 16:57:17,2021-05-20,RRC,Degner Dennis,"SVP, COO",S - Sale,$14.01,-41680,533229,-7%,"-$583,937",,,,,RRC
6,,2021-05-21 16:56:09,2021-05-20,RRC,Scucchi Mark,"SVP, CFO",S - Sale,$13.88,-67864,503168,-12%,"-$942,142",,,,,RRC
7,,2021-05-21 16:55:10,2021-05-20,RRC,Ventura Jeffrey L,"Pres, CEO",S - Sale,$14.01,-105000,2225754,-5%,"-$1,471,050",,,,,RRC
8,,2020-03-30 10:18:37,2020-03-27,RRC,Funk James M,Dir,P - Purchase,$2.16,25000,116152,+27%,"+$54,000",,,,,RRC
9,,2020-03-12 14:45:19,2020-03-12,RRC,Gray Steven D,Dir,P - Purchase,$2.11,100000,198856,+101%,"+$210,800",,,,,RRC
10,,2020-03-11 11:08:17,2020-03-10,RRC,Palko Steffen E,Dir,P - Purchase,$2.20,903128,1000000,+932%,"+$1,982,366",,,,,RRC
11,,2020-03-11 10:08:17,2020-03-10,RRC,Scucchi Mark,"SVP, CFO",P - Purchase,$2.13,15000,458941,+3%,"+$31,905",,,,,RRC
12,,2019-12-11 10:49:17,2019-12-09,RRC,Gray Steven D,Dir,P - Purchase,$3.82,30000,98856,+44%,"+$114,600",,,,,RRC
13,,2019-08-29 11:50:51,2019-08-27,RRC,Dorman Margaret K,Dir,P - Purchase,$3.40,20500,57233,+56%,"+$69,700",,,,,RRC
14,,2019-08-13 12:20:47,2019-08-12,RRC,Scucchi Mark,"SVP, CFO",P - Purchase,$4.36,12955,171915,+8%,"+$56,482",,,,,RRC
15,A,2019-08-13 12:19:49,2019-08-01,RRC,Scucchi Mark,"SVP, CFO",P - Purchase,$5.69,8791,158960,+6%,"+$49,999",,,,,RRC
16,,2019-08-02 16:48:01,2019-08-01,RRC,Scucchi Mark,"SVP, CFO",P - Purchase,$5.27,9483,159652,+6%,"+$49,976",,,,,RRC
17,,2019-08-02 16:48:01,2019-07-31,RRC,Scucchi Mark,"SVP, CFO",S - Sale,$5.69,-3126,159652,-2%,"-$17,787",,,,,RRC
18,,2019-08-02 16:31:57,2019-07-31,RRC,Poole David P,"SVP, GC",S - Sale,$5.69,-5843,269530,-2%,"-$33,247",,,,,RRC
19,A,2019-05-07 14:51:58,2019-05-02,RRC,Gray Steven D,Dir,P - Purchase,$8.77,20000,47804,+72%,"+$175,390",,,,,RRC
20,,2019-05-03 10:46:49,2019-05-02,RRC,Gray Steven D,Dir,P - Purchase,$8.77,20000,40000,+100%,"+$175,390",,,,,RRC
21,,2019-05-01 12:14:40,2019-04-30,RRC,Scucchi Mark,"SVP, CFO",P - Purchase,$9.04,11100,153277,+8%,"+$100,344",,,,,RRC
22,,2019-03-12 12:31:48,2019-03-11,RRC,Funk James M,Dir,P - Purchase,$9.80,10000,70100,+17%,"+$97,997",,,,,RRC
23,,2019-03-04 14:17:58,2019-03-01,RRC,Gray Steven D,Dir,P - Purchase,$10.95,20000,27804,+256%,"+$218,924",,,,,RRC
24,,2018-09-21 16:51:51,2018-09-06,RRC,Sailingstone Capital Partners LLC,10%,P - Purchase,$14.90,483,68893,+1%,"+$7,197",,,,,RRC
25,,2018-07-10 16:30:51,2018-07-09,RRC,Ventura Jeffrey L,"Pres, CEO",S - Sale,$17.54,-8767,1066414,-1%,"-$153,773",,,,,RRC
26,,2018-07-10 16:29:50,2018-07-09,RRC,Poole David P,"SVP, GC",S - Sale,$17.54,-3829,163539,-2%,"-$67,161",,,,,RRC
27,,2018-07-03 16:48:23,2018-06-01,RRC,Ginn Dori,"SVP, Principal Accting Officer",S - Sale,$16.38,-1434,63191,-2%,"-$23,489",,,,,RRC
