,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-08-18 12:52:53,2022-08-17,SG,Ayele Wouleta,CTO,S - Sale,$20.02,-9259,140741,-6%,"-$185,402",,,,,SG
1,,2022-08-18 12:50:25,2022-08-17,SG,Shlossman Daniel,CMO,S - Sale,$20.03,-13462,248270,-5%,"-$269,577",,,,,SG
2,,2022-08-18 12:39:42,2022-08-17,SG,Gemperle Adrienne,Chief People Officer,S - Sale,$20.03,-13148,157772,-8%,"-$263,289",,,,,SG
3,,2022-08-17 14:31:28,2022-08-16,SG,Carr Chris,COO,S - Sale,$19.67,-20301,200619,-9%,"-$399,321",,,,,SG
4,,2022-08-17 14:30:03,2022-08-16,SG,McPhail James,Chief Development Officer,S - Sale,$19.68,-25578,187422,-12%,"-$503,273",,,,,SG
5,,2022-08-17 14:28:19,2022-08-16,SG,Reback Mitch,CFO,S - Sale,$19.68,-20525,913071,-2%,"-$403,850",,,,,SG
6,M,2022-08-16 16:14:33,2022-08-12,SG,Shlossman Daniel,Chief Digital Officer,S - Sale,$20.00,-4000,261732,-2%,"-$80,000",,,,,SG
7,,2022-06-17 17:18:21,2022-06-15,SG,Singer Bradley E,Dir,A - Grant,$0.00,10735,304288,+4%,+$0,,,,,SG
8,,2022-06-17 17:16:05,2022-06-15,SG,Moon Youngme E,Dir,A - Grant,$0.00,10735,125735,+9%,+$0,,,,,SG
9,,2022-06-17 17:14:28,2022-06-15,SG,Jarrett Valerie B,Dir,A - Grant,$0.00,10735,74306,+17%,+$0,,,,,SG
10,,2022-06-17 17:11:54,2022-06-15,SG,Burrows Clifford,Dir,A - Grant,$0.00,10735,89663,+14%,+$0,,,,,SG
11,,2022-06-17 17:10:28,2022-06-15,SG,Bornstein Julie,Dir,A - Grant,$0.00,10735,24663,+77%,+$0,,,,,SG
12,,2022-06-17 17:08:23,2022-06-15,SG,Blumenthal Neil Harris,Dir,A - Grant,$0.00,10735,95735,+13%,+$0,,,,,SG
13,D,2022-05-27 16:24:07,2022-05-25,SG,Ru Nathaniel,Chief Brand Officer,M - OptEx,$9.04,21899,2121899,+1%,"+$197,941",,,,,SG
14,D,2022-05-04 16:23:53,2022-05-02,SG,Shlossman Daniel,"SVP, Digital, Growth",A - Grant,$0.00,17483,265732,+7%,+$0,,,,,SG
15,AD,2021-12-02 16:45:58,2021-11-22,SG,Singer Bradley E,Dir,M - OptEx,$0.00,54636,293553,+23%,+$0,,,,,SG
16,D,2021-11-23 18:17:03,2021-11-21,SG,Singer Bradley E,Dir,C - Converted deriv,$0.00,233917,238917,-49%,$0,,,,,SG
17,D,2021-11-23 18:17:03,2021-10-24,SG,Singer Bradley E,Dir,A - Grant,$0.00,5000,238917,+2%,+$0,,,,,SG
18,,2021-11-23 18:16:11,2021-10-24,SG,Moon Youngme E,Dir,A - Grant,$0.00,10000,115000,+10%,+$0,,,,,SG
19,,2021-11-23 18:15:18,2021-11-22,SG,Jarrett Valerie B,Dir,P - Purchase,$28.00,3571,63571,+6%,"+$99,988",,,,,SG
20,,2021-11-23 18:15:18,2021-10-24,SG,Jarrett Valerie B,Dir,A - Grant,$0.00,10000,63571,+19%,+$0,,,,,SG
21,D,2021-11-23 18:13:49,2021-11-21,SG,Case Stephen M,Dir,C - Converted deriv,$0.00,6405065,6241521,-51%,$0,,,,,SG
22,,2021-11-23 18:13:08,2021-11-22,SG,Burrows Clifford,Dir,P - Purchase,$28.00,8928,78928,+13%,"+$249,984",,,,,SG
23,,2021-11-23 18:13:08,2021-10-24,SG,Burrows Clifford,Dir,A - Grant,$0.00,10000,78928,+15%,+$0,,,,,SG
24,D,2021-11-23 18:12:17,2021-10-24,SG,Bornstein Julie,Dir,A - Grant,$0.00,5000,13928,+56%,+$0,,,,,SG
25,D,2021-11-23 18:12:17,2021-11-22,SG,Bornstein Julie,Dir,P - Purchase,$28.00,8928,13928,+179%,"+$249,984",,,,,SG
26,,2021-11-23 18:09:54,2021-10-24,SG,Blumenthal Neil Harris,Dir,A - Grant,$0.00,10000,85000,+13%,+$0,,,,,SG
27,D,2021-11-23 18:09:09,2021-10-24,SG,Ayele Wouleta,CTO,A - Grant,$0.00,150000,150000,New,+$0,,,,,SG
28,D,2021-11-23 18:08:12,2021-07-22,SG,Shlossman Daniel,"SVP, Digital, Growth",M - OptEx,$5.51,45690,248249,+23%,"+$251,772",,,,,SG
29,D,2021-11-23 18:08:12,2021-10-24,SG,Shlossman Daniel,"SVP, Digital, Growth",A - Grant,$0.00,152000,248249,+158%,+$0,,,,,SG
30,DM,2021-11-23 18:07:14,2021-06-23,SG,McPhail James,Chief Development Officer,M - OptEx,$7.77,13000,213000,+7%,"+$101,010",,,,,SG
31,D,2021-11-23 18:07:14,2021-10-24,SG,McPhail James,Chief Development Officer,A - Grant,$0.00,200000,213000,>999%,+$0,,,,,SG
32,D,2021-11-23 18:06:12,2021-07-21,SG,Gemperle Adrienne,Chief People Officer,M - OptEx,$4.78,20920,170920,+14%,"+$99,998",,,,,SG
33,D,2021-11-23 18:06:12,2021-10-24,SG,Gemperle Adrienne,Chief People Officer,A - Grant,$0.00,150000,170920,+717%,+$0,,,,,SG
34,D,2021-11-23 18:05:01,2021-07-16,SG,Carr Chris,COO,M - OptEx,$4.78,20920,220920,+10%,"+$99,998",,,,,SG
35,D,2021-11-23 18:05:01,2021-10-24,SG,Carr Chris,COO,A - Grant,$0.00,200000,220920,+956%,+$0,,,,,SG
36,D,2021-11-23 18:03:24,2021-07-30,SG,Reback Mitch,CFO,G - Gift,$0.00,-500000,808596,+162%,-$0,,,,,SG
37,D,2021-11-23 18:03:24,2021-10-24,SG,Reback Mitch,CFO,A - Grant,$0.00,200000,808596,+33%,+$0,,,,,SG
38,D,2021-11-23 18:03:24,2021-11-21,SG,Reback Mitch,CFO,C - Converted deriv,$0.00,75846,808596,-9%,$0,,,,,SG
39,D,2021-11-23 18:03:24,2021-06-28,SG,Reback Mitch,CFO,M - OptEx,$4.78,68750,808596,+9%,"+$328,625",,,,,SG
40,D,2021-11-23 18:02:13,2021-09-23,SG,Ru Nathaniel,Chief Brand Officer,M - OptEx,$1.44,337822,2100000,+19%,"+$486,728",,,,,SG
41,DM,2021-11-23 18:02:13,2021-09-17,SG,Ru Nathaniel,Chief Brand Officer,G - Gift,$0.00,-2920070,2100000,-356%,-$0,,,,,SG
42,D,2021-11-23 18:02:13,2021-11-21,SG,Ru Nathaniel,Chief Brand Officer,C - Converted deriv,$0.00,155,2100000,0%,$0,,,,,SG
43,D,2021-11-23 18:02:13,2021-10-24,SG,Ru Nathaniel,Chief Brand Officer,A - Grant,$0.00,2100000,2100000,New,+$0,,,,,SG
44,D,2021-11-23 18:00:44,2021-09-23,SG,Jammet Nicolas,Chief Concept Officer,M - OptEx,$1.44,337822,2100000,+19%,"+$486,728",,,,,SG
