,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,DM,2022-05-05 19:14:03,2022-05-03,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$50.04,-2100,9607,-18%,"-$105,075",,,,,SMAR
1,M,2022-04-27 18:23:32,2022-04-25,SMAR,Barker Geoffrey T,Dir,S - Sale,$50.44,-2250,349006,-1%,"-$113,479",,,,,SMAR
2,,2022-04-20 18:47:08,2022-04-18,SMAR,Bennett Andrew Lee,CMO,S - Sale,$51.75,-1826,0,-100%,"-$94,496",,,,,SMAR
3,D,2022-04-05 18:36:45,2022-04-01,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$55.61,-2100,9607,-18%,"-$116,780",,,,,SMAR
4,,2022-03-31 18:28:53,2022-03-29,SMAR,Hansen Megan,"Chief People, Culture Officer",S - Sale,$55.46,-10694,2244,-83%,"-$593,089",,,,,SMAR
5,,2022-03-25 18:49:49,2022-03-24,SMAR,Bennett Andrew Lee,CMO,S - Sale,$55.00,-1827,1826,-50%,"-$100,485",,,,,SMAR
6,M,2022-03-25 18:47:55,2022-03-24,SMAR,Barker Geoffrey T,Dir,S - Sale,$55.54,-2250,351256,-1%,"-$124,954",,,,,SMAR
7,D,2022-03-25 18:46:06,2022-03-24,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$55.56,-5000,9607,-34%,"-$277,779",,,,,SMAR
8,,2022-03-21 20:16:48,2022-03-18,SMAR,McIlwain Matthew S,Dir,P - Purchase,$49.62,10000,131107,+8%,"+$496,218",,,,,SMAR
9,M,2022-02-18 19:41:37,2022-02-17,SMAR,Barker Geoffrey T,Dir,S - Sale,$59.74,-3375,353506,-1%,"-$201,623",,,,,SMAR
10,,2022-02-18 19:34:08,2022-02-17,SMAR,Bennett Andrew Lee,CMO,S - Sale,$60.66,-110,3653,-3%,"-$6,673",,,,,SMAR
11,D,2022-02-17 21:08:52,2022-02-16,SMAR,Bennett Andrew Lee,CMO,S - Sale+OE,$62.33,-1717,3763,-31%,"-$107,021",,,,,SMAR
12,DM,2022-02-02 18:51:17,2022-01-31,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$61.92,-15000,0,-100%,"-$928,746",,,,,SMAR
13,D,2022-01-26 18:46:48,2022-01-24,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$56.25,-5000,0,-100%,"-$281,269",,,,,SMAR
14,M,2022-01-13 18:35:08,2022-01-11,SMAR,Barker Geoffrey T,Dir,S - Sale,$63.69,-4500,356881,-1%,"-$286,605",,,,,SMAR
15,,2022-01-11 20:35:04,2022-01-07,SMAR,White James N,Dir,P - Purchase,$63.07,150000,346294,+76%,"+$9,460,455",,,,,SMAR
16,D,2022-01-10 19:26:30,2022-01-06,SMAR,Marshall Jolene Lau,GC,S - Sale+OE,$69.51,-15,22089,0%,"-$1,043",,,,,SMAR
17,,2022-01-04 21:14:19,2022-01-03,SMAR,Frei Brent,Dir,S - Sale,$75.61,-100000,2116345,-5%,"-$7,560,978",,,,,SMAR
18,D,2022-01-04 21:07:31,2021-12-31,SMAR,Marshall Jolene Lau,GC,S - Sale+OE,$78.08,-25052,14589,-63%,"-$1,956,083",,,,,SMAR
19,D,2021-12-29 18:21:29,2021-12-27,SMAR,Porrini Paul,GC Emeritus,S - Sale+OE,$79.29,-15000,38507,-28%,"-$1,189,419",,,,,SMAR
20,M,2021-12-29 18:18:07,2021-12-27,SMAR,Frei Brent,Dir,S - Sale,$80.22,-54247,2216345,-2%,"-$4,351,596",,,,,SMAR
21,AD,2021-12-23 18:41:14,2021-12-21,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$74.88,-30000,0,-100%,"-$2,246,346",,,,,SMAR
22,,2021-12-23 17:25:26,2021-12-22,SMAR,Yesil Magdalena,Dir,S - Sale,$79.00,-10000,20553,-33%,"-$790,000",,,,,SMAR
23,M,2021-12-23 17:23:38,2021-12-22,SMAR,Barker Geoffrey T,Dir,S - Sale,$78.58,-6750,361381,-2%,"-$530,447",,,,,SMAR
24,,2021-12-23 17:21:35,2021-12-22,SMAR,Hansen Megan,"Chief People, Culture Officer",S - Sale,$78.00,-175,10025,-2%,"-$13,650",,,,,SMAR
25,,2021-12-22 20:04:03,2021-12-20,SMAR,Branstetter Stephen Robert,COO,P - Purchase,$72.30,1430,21511,+7%,"+$103,388",,,,,SMAR
26,D,2021-12-22 20:01:39,2021-12-22,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$74.88,-30000,0,-100%,"-$2,246,346",,,,,SMAR
27,A,2021-12-15 20:43:51,2021-12-10,SMAR,McIlwain Matthew S,Dir,P - Purchase,$70.88,15000,121107,+14%,"+$1,063,209",,,,,SMAR
28,,2021-12-14 19:49:50,2021-12-10,SMAR,McIlwain Matthew S,Dir,P - Purchase,$70.88,15000,121107,+14%,"+$1,063,209",,,,,SMAR
29,D,2021-12-14 19:26:32,2021-12-10,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$72.86,-3000,13173,-19%,"-$218,580",,,,,SMAR
30,,2021-12-14 19:24:23,2021-12-10,SMAR,Bennett Andrew Lee,CMO,S - Sale,$71.00,-2963,0,-100%,"-$210,373",,,,,SMAR
31,DM,2021-12-09 19:12:40,2021-12-07,SMAR,Farrell Eugene,CSPO,S - Sale+OE,$73.97,-20000,33164,-38%,"-$1,479,341",,,,,SMAR
32,D,2021-11-05 18:11:34,2021-11-04,SMAR,Farrell Eugene,CSPO,S - Sale+OE,$70.67,-10000,31377,-24%,"-$706,658",,,,,SMAR
33,M,2021-11-03 20:06:55,2021-11-01,SMAR,Barker Geoffrey T,Dir,S - Sale,$70.04,-11500,368131,-3%,"-$805,425",,,,,SMAR
34,D,2021-11-03 20:03:57,2021-11-01,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$69.23,-3000,10769,-22%,"-$207,690",,,,,SMAR
35,DM,2021-10-20 19:36:34,2021-10-18,SMAR,Farrell Eugene,CSPO,S - Sale+OE,$71.01,-9600,31377,-23%,"-$681,741",,,,,SMAR
36,DM,2021-10-18 19:05:40,2021-10-14,SMAR,Farrell Eugene,CSPO,S - Sale+OE,$70.36,-400,31377,-1%,"-$28,144",,,,,SMAR
37,,2021-10-08 19:28:01,2021-10-07,SMAR,Griffin Anna,CMO,S - Sale,$68.00,-663,14500,-4%,"-$45,084",,,,,SMAR
38,M,2021-10-08 19:08:59,2021-10-06,SMAR,Barker Geoffrey T,Dir,S - Sale,$66.65,-13500,379631,-3%,"-$899,825",,,,,SMAR
39,D,2021-10-05 19:20:39,2021-10-01,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$69.02,-7000,10769,-39%,"-$483,140",,,,,SMAR
40,D,2021-09-24 19:08:29,2021-09-22,SMAR,Griffin Anna,CMO,S - Sale+OE,$75.34,-1100,14899,-7%,"-$82,870",,,,,SMAR
41,,2021-09-24 19:06:44,2021-09-23,SMAR,Yesil Magdalena,Dir,S - Sale,$77.00,-10000,30553,-25%,"-$770,016",,,,,SMAR
42,M,2021-09-17 19:53:04,2021-09-16,SMAR,Barker Geoffrey T,Dir,S - Sale,$73.66,-13500,393131,-3%,"-$994,438",,,,,SMAR
43,D,2021-09-17 19:49:18,2021-09-16,SMAR,Farrell Eugene,CSPO,S - Sale+OE,$73.96,-10000,31240,-24%,"-$739,580",,,,,SMAR
44,D,2021-09-15 17:57:01,2021-09-10,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$75.00,-3000,10769,-22%,"-$225,000",,,,,SMAR
45,,2021-09-10 19:38:38,2021-09-09,SMAR,Hansen Megan,"Chief People, Culture Officer",S - Sale,$72.00,-175,8806,-2%,"-$12,600",,,,,SMAR
46,,2021-09-10 19:32:56,2021-09-09,SMAR,Frei Brent,Dir,S - Sale,$73.19,-200000,2340592,-8%,"-$14,638,173",,,,,SMAR
47,D,2021-08-06 19:07:00,2021-08-05,SMAR,Farrell Eugene,CSPO,S - Sale+OE,$72.07,-10000,27777,-26%,"-$720,706",,,,,SMAR
48,M,2021-08-04 19:56:21,2021-08-02,SMAR,Barker Geoffrey T,Dir,S - Sale,$72.11,-13500,406631,-3%,"-$973,433",,,,,SMAR
49,D,2021-08-04 19:54:20,2021-08-02,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$72.73,-3000,5903,-34%,"-$218,190",,,,,SMAR
50,,2021-07-28 19:07:02,2021-07-26,SMAR,Hansen Megan,"Chief People, Culture Officer",S - Sale,$74.47,-175,7897,-2%,"-$13,032",,,,,SMAR
51,D,2021-07-23 19:01:15,2021-07-22,SMAR,Farrell Eugene,CSPO,S - Sale+OE,$73.08,-10000,27777,-26%,"-$730,832",,,,,SMAR
52,D,2021-07-22 20:21:32,2021-07-20,SMAR,Gomez Elena,Dir,S - Sale+OE,$71.48,-5000,23158,-18%,"-$357,400",,,,,SMAR
53,M,2021-07-22 20:18:33,2021-07-20,SMAR,Barker Geoffrey T,Dir,S - Sale,$71.76,-13500,420131,-3%,"-$968,816",,,,,SMAR
54,,2021-07-08 19:35:20,2021-07-06,SMAR,Frei Brent,Dir,S - Sale,$75.11,-50000,2540592,-2%,"-$3,755,365",,,,,SMAR
55,D,2021-07-08 19:33:32,2021-07-06,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$75.00,-4000,5903,-40%,"-$300,000",,,,,SMAR
56,,2021-07-08 19:32:00,2021-07-07,SMAR,Yesil Magdalena,Dir,S - Sale,$76.86,-10000,40553,-20%,"-$768,597",,,,,SMAR
57,D,2021-07-08 19:29:07,2021-07-07,SMAR,Griffin Anna,CMO,S - Sale+OE,$77.10,-1500,10762,-12%,"-$115,650",,,,,SMAR
58,,2021-07-08 19:27:00,2021-07-06,SMAR,Godbole Pete,"CFO, Treasurer",P - Purchase,$76.10,1400,1400,New,"+$106,537",,,,,SMAR
59,D,2021-07-06 19:32:27,2021-07-01,SMAR,Arntz Michael,Chief Revenue Officer,S - Sale+OE,$71.89,-7000,5903,-54%,"-$503,230",,,,,SMAR
