,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2017-09-29 17:45:32,2017-09-27,STS,Flynn Edward L,Dir,D - Sale to issuer,$21.00,-323399,0,-100%,"-$6,791,379",,,,,STS
1,,2017-09-28 10:16:34,2017-09-27,STS,Wabash National Corp /de,10%,P - Purchase,$21.00,1564881,0,-100%,"+$32,862,501",,,,,STS
2,A,2017-09-26 11:00:58,2017-03-09,STS,Weber Mark,"Pres, CEO",A - Grant,$0.00,37616,177072,+27%,+$0,,,,,STS
3,AM,2017-09-26 11:00:21,2017-03-02,STS,Weber Mark,"Pres, CEO",F - Tax,$19.85,-10572,139456,-7%,"-$209,875",,,,,STS
4,A,2017-09-26 10:59:47,2016-07-28,STS,Weber Mark,"Pres, CEO",S - Sale,$16.78,-10000,150028,-6%,"-$167,800",,,,,STS
5,A,2017-09-26 10:59:17,2016-07-27,STS,Weber Mark,"Pres, CEO",S - Sale,$16.78,-10000,160028,-6%,"-$167,800",,,,,STS
6,A,2017-09-26 10:58:48,2016-05-11,STS,Weber Mark,"Pres, CEO",S - Sale,$12.63,-20000,170028,-11%,"-$252,658",,,,,STS
7,A,2017-09-26 10:58:14,2016-05-06,STS,Weber Mark,"Pres, CEO",F - Tax,$12.43,-8641,190028,-4%,"-$107,408",,,,,STS
8,,2017-07-05 18:06:34,2017-07-03,STS,Whitener Wayne A,Dir,A - Grant,$0.00,608,5807,+12%,+$0,,,,,STS
9,,2017-07-05 18:05:33,2017-07-03,STS,Neilson Mark C,Dir,A - Grant,$0.00,608,46830,+1%,+$0,,,,,STS
10,,2017-07-05 18:04:34,2017-07-03,STS,Klofas Michael L,Dir,A - Grant,$0.00,608,2100,+41%,+$0,,,,,STS
11,,2017-07-05 17:57:38,2017-07-03,STS,Hogan Thomas B. Jr.,Dir,A - Grant,$0.00,608,14460,+4%,+$0,,,,,STS
12,,2017-07-05 17:56:58,2017-07-03,STS,Gajarsa Arthur J,Dir,A - Grant,$0.00,608,36179,+2%,+$0,,,,,STS
13,,2017-07-05 17:55:29,2017-07-03,STS,Flynn Edward L,Dir,A - Grant,$0.00,608,323399,0%,+$0,,,,,STS
14,,2017-07-05 17:54:26,2017-07-03,STS,Barrett Peter D,Dir,A - Grant,$0.00,608,36088,+2%,+$0,,,,,STS
15,,2017-04-04 18:00:36,2017-04-03,STS,Neilson Mark C,Dir,A - Grant,$0.00,494,46222,+1%,+$0,0.0,6.0,-1.0,,STS
16,,2017-04-04 17:59:39,2017-04-03,STS,Whitener Wayne A,Dir,A - Grant,$0.00,494,5199,+10%,+$0,0.0,6.0,-1.0,,STS
17,,2017-04-04 17:58:21,2017-04-03,STS,Klofas Michael L,Dir,A - Grant,$0.00,494,1492,+49%,+$0,0.0,6.0,-1.0,,STS
18,,2017-04-04 17:57:47,2017-04-03,STS,Hogan Thomas B. Jr.,Dir,A - Grant,$0.00,494,13852,+4%,+$0,0.0,6.0,-1.0,,STS
19,,2017-04-04 17:57:29,2017-04-03,STS,Gajarsa Arthur J,Dir,A - Grant,$0.00,494,35571,+1%,+$0,0.0,6.0,-1.0,,STS
20,,2017-04-04 17:56:36,2017-04-03,STS,Flynn Edward L,Dir,A - Grant,$0.00,494,322791,0%,+$0,0.0,6.0,-1.0,,STS
21,,2017-04-04 17:56:15,2017-04-03,STS,Barrett Peter D,Dir,A - Grant,$0.00,494,35480,+1%,+$0,0.0,6.0,-1.0,,STS
22,,2017-03-13 12:46:45,2017-03-09,STS,Oium Michael L,"VP, Operations",A - Grant,$0.00,7480,29667,+34%,+$0,0.0,0.0,4.0,,STS
23,,2017-03-13 12:46:25,2017-03-09,STS,Long Matthew W,"CFO, Treasurer",A - Grant,$0.00,11976,90501,+15%,+$0,0.0,0.0,4.0,,STS
