,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2022-08-24 20:26:12,2022-08-22,SYM,Dunn Michael David,See Remarks,S - Sale,$13.13,-84461,149939,-36%,"-$1,108,706",,,,,SVFC
1,D,2022-08-19 17:52:20,2022-08-17,SYM,Dunn Michael David,See Remarks,M - OptEx,$0.00,276400,234400,-658%,+$0,,,,,SVFC
2,D,2022-08-19 17:52:20,2022-08-19,SYM,Dunn Michael David,See Remarks,S - Sale+OE,$14.49,-42000,234400,-15%,"-$608,538",,,,,SVFC
3,D,2022-07-21 17:08:01,2022-07-19,SYM,Krasnow Todd,Dir,A - Grant,$0.00,31708,1239215,+3%,+$0,,,,,SVFC
4,D,2022-07-21 17:06:15,2022-07-19,SYM,Boyd William M III,Chief Strategy Officer,A - Grant,$0.00,19310,754698,+3%,+$0,,,,,SVFC
5,D,2022-07-21 17:04:36,2022-07-19,SYM,Ernst Thomas C Jr,CFO,A - Grant,$0.00,25852,1010353,+3%,+$0,,,,,SVFC
6,D,2022-07-21 17:02:03,2022-07-19,SYM,Rhodin Michael D.,Dir,A - Grant,$0.00,19310,754698,+3%,+$0,,,,,SVFC
7,D,2022-07-21 17:01:44,2022-07-19,SYM,Kane Charles,Dir,A - Grant,$0.00,19310,754698,+3%,+$0,,,,,SVFC
8,D,2022-07-21 17:01:34,2022-07-19,SYM,Cohen Janet L,10%,A - Grant,$0.00,10904476,10904476,New,+$0,,,,,SVFC
9,D,2022-07-21 17:01:00,2022-07-19,SYM,Cohen Richard B,"See Remarks, 10%",A - Grant,$0.00,10904476,10904476,New,+$0,,,,,SVFC
10,D,2022-07-21 17:00:38,2022-07-19,SYM,Ford Rollin L.,Dir,A - Grant,$0.00,31020,1212420,+3%,+$0,,,,,SVFC
11,D,2022-07-21 17:00:26,2022-07-19,SYM,Ladensohn David A,10%,A - Grant,$0.00,5264638,5264638,New,+$0,,,,,SVFC
12,D,2022-06-09 20:48:32,2022-06-07,SVFC,Carpenter Michael A,Dir,M - OptEx,$0.00,50000,50000,New,+$0,,,,,SVFC
13,D,2022-06-09 20:48:30,2022-06-07,SVFC,Tobin Michael,Dir,M - OptEx,$0.00,50000,50000,New,+$0,,,,,SVFC
14,D,2022-06-09 20:48:01,2022-06-07,SVFC,Falcone Cristiana,Dir,M - OptEx,$0.00,50000,50000,New,+$0,,,,,SVFC
15,D,2022-06-09 20:47:18,2022-06-07,SVFC,Svf Sponsor III (De) LLC,10%,M - OptEx,$0.00,9090000,9090000,New,+$0,,,,,SVFC
16,D,2022-06-09 20:45:21,2022-06-07,SVFC,Govil Navneet,CFO,M - OptEx,$0.00,62500,62500,New,+$0,,,,,SVFC
17,D,2022-06-09 20:43:27,2022-06-07,SVFC,Pipilis Ioannis,CEO,M - OptEx,$0.00,50000,50000,New,+$0,,,,,SVFC
18,D,2022-06-09 20:02:17,2022-06-07,SYM,Boyd William M III,Chief Strategy Officer,A - Grant,$0.00,735388,735388,New,+$0,,,,,SVFC
19,D,2022-06-09 20:02:05,2022-06-07,SYM,Ernst Thomas C Jr,CFO,A - Grant,$0.00,984501,984501,New,+$0,,,,,SVFC
20,D,2022-06-09 19:59:00,2022-06-07,SYM,Ford Rollin L.,Dir,A - Grant,$0.25,1211400,1211400,New,"+$300,000",,,,,SVFC
21,D,2022-06-09 19:57:46,2022-06-07,SYM,Krasnow Todd,Dir,A - Grant,$0.40,1257507,1257507,New,"+$500,000",,,,,SVFC
22,,2022-06-09 19:55:40,2022-06-07,SYM,Saintil Merline,Dir,A - Grant,$10.00,20000,20000,New,"+$200,000",,,,,SVFC
23,D,2022-06-09 19:55:15,2022-06-07,SYM,Rhodin Michael D.,Dir,A - Grant,$0.64,785388,785388,New,"+$500,000",,,,,SVFC
24,D,2022-06-09 19:55:02,2022-06-07,SYM,Cohen Richard B,"See Remarks, 10%",A - Grant,$0.00,415278611,385278611,-1384%,+$0,,,,,SVFC
25,D,2022-06-09 19:55:02,2022-06-07,SYM,Cohen Richard B,"See Remarks, 10%",D - Sale to issuer,$0.00,-30000000,385278611,-7%,-$0,,,,,SVFC
26,D,2022-06-09 19:54:09,2022-06-07,SYM,Kane Charles,Dir,A - Grant,$0.81,800388,800388,New,"+$650,000",,,,,SVFC
27,,2021-03-15 16:05:32,2021-03-11,SVFC,Pipilis Ioannis,CEO,P - Purchase,$10.00,50000,50000,New,"+$500,000",,,,,SVFC
28,,2021-03-15 16:05:18,2021-03-11,SVFC,Govil Navneet,CFO,P - Purchase,$10.00,62500,62500,New,"+$625,000",,,,,SVFC
