,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-08-04 17:44:13,2022-08-02,TDUP,Friedman Ian,Dir,A - Grant,$0.00,5586,55007,+11%,+$0,,,,,TDUP
1,,2022-08-04 17:40:28,2022-08-02,TDUP,Nakache Patricia,"Dir, 10%",A - Grant,$0.00,8378,45602,+23%,+$0,,,,,TDUP
2,,2022-08-04 17:38:59,2022-08-02,TDUP,Haley Timothy M,Dir,A - Grant,$0.00,6144,41529,+17%,+$0,,,,,TDUP
3,,2022-08-04 17:37:22,2022-08-02,TDUP,Ginsberg Amanda,Dir,A - Grant,$0.00,6703,63055,+12%,+$0,,,,,TDUP
4,,2022-08-04 17:31:38,2022-08-02,TDUP,Rushing Coretha M,Dir,A - Grant,$0.00,5586,28642,+24%,+$0,,,,,TDUP
5,,2022-08-04 17:30:18,2022-08-02,TDUP,Lazar Jack R,Dir,A - Grant,$0.00,6703,85733,+8%,+$0,,,,,TDUP
6,,2022-08-04 17:29:02,2022-08-02,TDUP,Sutter Paula,Dir,A - Grant,$0.00,5586,90510,+7%,+$0,,,,,TDUP
7,,2022-08-04 17:25:56,2022-08-02,TDUP,Vu Marcie,Dir,A - Grant,$0.00,5586,58367,+11%,+$0,,,,,TDUP
8,,2022-06-07 17:06:29,2022-06-06,TDUP,Marino Anthony Salvatore,Pres,S - Sale,$4.03,-9828,68536,-13%,"-$39,590",,,,,TDUP
9,,2022-06-07 17:05:44,2022-06-06,TDUP,Reinhart James G.,CEO,S - Sale,$4.03,-18255,49758,-27%,"-$73,515",,,,,TDUP
10,,2022-06-07 17:04:02,2022-06-06,TDUP,Homer Christopher,COO,S - Sale,$4.03,-8342,28243,-23%,"-$33,611",,,,,TDUP
11,,2022-06-07 17:03:16,2022-06-06,TDUP,Sobers Sean,CFO,S - Sale,$4.03,-6602,21658,-23%,"-$26,588",,,,,TDUP
12,,2022-06-07 17:02:22,2022-06-06,TDUP,Rotem Alon,GC,S - Sale,$4.03,-3793,55618,-6%,"-$15,280",,,,,TDUP
13,D,2022-06-03 17:11:37,2022-06-01,TDUP,Reinhart James G.,CEO,M - OptEx,$0.00,53145,68013,+357%,+$0,,,,,TDUP
14,D,2022-06-03 17:11:06,2022-05-31,TDUP,Marino Anthony Salvatore,Pres,A - Grant,$3.55,1479,78364,+2%,"+$5,255",,,,,TDUP
15,D,2022-06-03 17:11:06,2022-06-01,TDUP,Marino Anthony Salvatore,Pres,M - OptEx,$0.00,28616,78364,+58%,+$0,,,,,TDUP
