,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2018-06-01 16:46:29,2018-05-31,TEP,Watkins Gary D.,"VP, Chief Accounting Officer",F - Tax,$42.69,-928,60365,-2%,"-$39,616",,,,,TEP
1,,2018-02-15 18:41:13,2018-02-14,TEP,Jones Christopher R.,See Remarks,A - Grant,$0.00,6700,125115,+6%,+$0,,,,,TEP
2,,2018-02-15 18:39:53,2018-02-14,TEP,Brauchle Gary J,See Remarks,A - Grant,$0.00,6700,68813,+11%,+$0,,,,,TEP
3,,2018-02-15 18:38:39,2018-02-14,TEP,Moler William R.,See Remarks,A - Grant,$0.00,14500,62261,+30%,+$0,,,,,TEP
4,,2018-02-09 18:44:58,2018-02-07,TEP,"Tallgrass Equity, LLC",10%,P - Purchase,$0.00,5619218,25619218,+28%,+$0,,,,,TEP
5,,2018-02-09 18:33:32,2018-02-07,TEP,"Tallgrass Energy Holdings, LLC",10%,P - Purchase,$0.00,5619218,25619218,+28%,+$0,,,,,TEP
6,,2017-12-06 16:51:57,2017-12-06,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$43.14,11350,573206,+2%,"+$489,639",,,,,TEP
7,,2017-11-29 16:46:08,2017-11-29,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$41.19,6039,561856,+1%,"+$248,746",,,,,TEP
8,,2017-11-28 17:31:50,2017-11-28,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$41.52,15000,555817,+3%,"+$622,800",,,,,TEP
9,,2017-11-27 17:12:24,2017-11-27,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$42.50,31501,540817,+6%,"+$1,338,793",,,,,TEP
10,,2017-11-21 16:45:41,2017-11-21,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$42.97,15000,509316,+3%,"+$644,550",,,,,TEP
11,,2017-11-20 09:28:14,2017-11-17,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$43.63,15000,494316,+3%,"+$654,450",,,,,TEP
12,,2017-11-16 16:43:42,2017-11-16,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$44.00,715,479316,0%,"+$31,460",,,,,TEP
13,,2017-11-14 16:58:23,2017-11-14,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$43.53,10000,478601,+2%,"+$435,300",,,,,TEP
14,M,2017-11-13 16:54:14,2017-11-10,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$44.28,12114,468601,+3%,"+$536,460",,,,,TEP
15,,2017-11-09 17:31:18,2017-11-09,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$45.82,15000,456487,+3%,"+$687,300",,,,,TEP
16,,2017-11-08 17:23:21,2017-11-08,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$46.35,10000,441487,+2%,"+$463,500",,,,,TEP
17,,2017-08-21 18:41:29,2017-08-21,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$44.64,17350,431487,+4%,"+$774,504",,,,,TEP
18,,2017-08-21 10:02:38,2017-08-18,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$45.13,10000,414137,+2%,"+$451,300",,,,,TEP
19,,2017-08-15 17:56:34,2017-08-15,TEP,Brauchle Gary J,See Remarks,P - Purchase,$46.10,3000,62113,+5%,"+$138,300",,,,,TEP
20,,2017-08-03 07:06:03,2017-08-02,TEP,Watkins Gary D.,"VP, Chief Accounting Officer",A - Grant,$0.00,35000,61293,+133%,+$0,,,,,TEP
21,,2017-08-03 07:03:09,2017-08-02,TEP,Jones Christopher R.,"VP, GC, Sec.",A - Grant,$0.00,90000,118415,+317%,+$0,,,,,TEP
22,,2017-06-07 17:48:44,2017-06-07,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$46.47,35783,404137,+10%,"+$1,662,836",,,,,TEP
23,,2017-06-06 17:30:18,2017-06-06,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$47.30,4021,368354,+1%,"+$190,193",,,,,TEP
24,,2017-06-02 16:31:19,2017-06-02,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$48.26,5000,364333,+1%,"+$241,300",,,,,TEP
25,,2017-06-01 17:16:01,2017-06-01,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$49.61,15470,359333,+4%,"+$767,467",,,,,TEP
26,,2017-05-31 16:35:23,2017-05-30,TEP,Watkins Gary D.,"VP, Chief Accounting Officer",F - Tax,$50.28,-5441,26293,-17%,"-$273,573",,,,,TEP
27,,2017-05-31 16:31:28,2017-05-30,TEP,Jones Christopher R.,"VP, GC, Sec.",F - Tax,$50.28,-5763,28415,-17%,"-$289,764",,,,,TEP
28,,2017-05-11 18:00:50,2017-05-11,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$49.75,5000,343863,+1%,"+$248,750",0.0,,,,TEP
29,,2017-05-10 18:46:30,2017-05-10,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$49.83,26016,338863,+8%,"+$1,296,377",1.0,,,,TEP
30,,2017-05-05 17:05:48,2017-05-03,TEP,Towner Terrance Daniel,Dir,A - Grant,$0.00,1500,26500,+6%,+$0,0.0,1.0,,,TEP
31,,2017-05-05 16:57:34,2017-05-03,TEP,Armstrong Jeffrey R,Dir,A - Grant,$0.00,1500,4500,+50%,+$0,0.0,1.0,,,TEP
32,,2017-05-05 16:56:32,2017-05-03,TEP,Cook Roy Nolan,Dir,A - Grant,$0.00,1500,53500,+3%,+$0,0.0,1.0,,,TEP
33,,2016-11-03 17:16:58,2016-11-02,TEP,Bullock Richard L,See remarks,A - Grant,$0.00,1500,36193,+4%,+$0,1.0,1.0,3.0,16.0,TEP
34,,2016-11-03 17:15:30,2016-11-02,TEP,Jones Christopher R.,See Remarks,A - Grant,$0.00,2000,34178,+6%,+$0,1.0,1.0,3.0,16.0,TEP
35,,2016-11-03 17:15:27,2016-11-02,TEP,Watkins Gary D.,"VP, Chief Accounting Officer",A - Grant,$0.00,2000,31734,+7%,+$0,1.0,1.0,3.0,16.0,TEP
36,,2016-05-27 16:50:44,2016-05-27,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$43.45,7500,312847,+2%,"+$325,875",2.0,1.0,-3.0,10.0,TEP
37,,2016-05-26 17:11:11,2016-05-26,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$45.11,5300,305347,+2%,"+$239,083",-2.0,0.0,-1.0,8.0,TEP
38,,2016-02-23 17:52:37,2016-02-22,TEP,Towner Terrance Daniel,Dir,P - Purchase,$32.36,5000,25000,+25%,"+$161,800",0.0,11.0,21.0,57.0,TEP
39,,2016-01-05 10:54:35,2015-05-12,TEP,"Tallgrass Equity, LLC",10%,P - Purchase,$47.68,20000000,20000000,New,"+$953,600,000",0.0,-12.0,-20.0,15.0,TEP
40,,2016-01-05 10:52:51,2015-05-12,TEP,"Tallgrass Energy Holdings, LLC",10%,S - Sale,$47.68,-20000000,26355480,-43%,"-$953,600,000",0.0,-12.0,-20.0,15.0,TEP
41,,2016-01-05 10:52:51,2015-05-12,TEP,"Tallgrass Energy Holdings, LLC",10%,P - Purchase,$47.68,20000000,26355480,+315%,"+$953,600,000",0.0,-12.0,-20.0,15.0,TEP
42,,2016-01-05 10:51:13,2015-05-12,TEP,"Tallgrass Operations, LLC",10%,S - Sale,$47.68,-20000000,6355480,-76%,"-$953,600,000",0.0,-12.0,-20.0,15.0,TEP
43,,2015-11-10 09:28:48,2015-11-09,TEP,Towner Terrance Daniel,Dir,P - Purchase,$46.43,10000,20000,+100%,"+$464,300",0.0,-2.0,-9.0,2.0,TEP
44,,2015-09-14 15:33:21,2015-09-11,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$42.98,5000,300047,+2%,"+$214,900",0.0,-2.0,4.0,-10.0,TEP
45,,2015-08-31 14:51:12,2015-08-27,TEP,Moler William R.,See Remarks,P - Purchase,$45.86,4000,47761,+9%,"+$183,445",1.0,2.0,-25.0,-24.0,TEP
46,,2015-08-26 10:48:10,2015-08-24,TEP,Cook Roy Nolan,Dir,P - Purchase,$44.50,9000,52000,+21%,"+$400,500",0.0,5.0,-9.0,-24.0,TEP
47,M,2015-08-10 11:56:18,2015-08-06,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$42.91,13775,295047,+5%,"+$591,047",6.0,11.0,10.0,-25.0,TEP
48,M,2015-08-05 16:50:20,2015-08-04,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$44.55,46000,281272,+20%,"+$2,049,430",-1.0,5.0,8.0,-22.0,TEP
49,,2015-08-05 16:40:38,2015-08-04,TEP,Towner Terrance Daniel,Dir,P - Purchase,$45.33,2000,10000,+25%,"+$90,660",-1.0,5.0,8.0,-22.0,TEP
50,,2015-08-03 16:56:09,2015-07-30,TEP,Watkins Gary D.,"VP, Chief Accounting Officer",A - Grant,$0.00,6400,29734,+27%,+$0,-2.0,-5.0,3.0,-23.0,TEP
51,,2015-08-03 16:54:17,2015-07-30,TEP,Bullock Richard L,VP,A - Grant,$0.00,5300,34552,+18%,+$0,-2.0,-5.0,3.0,-23.0,TEP
52,,2015-05-29 16:15:03,2015-05-28,TEP,Watkins Gary D.,See Remarks,F - Tax,$48.56,-2666,23334,-10%,"-$129,461",1.0,-4.0,1.0,-9.0,TEP
53,,2015-05-29 16:13:56,2015-05-28,TEP,Bullock Richard L,See remarks,F - Tax,$48.56,-2920,29252,-9%,"-$141,795",1.0,-4.0,1.0,-9.0,TEP
54,,2015-05-29 16:13:02,2015-05-28,TEP,Moler William R.,See Remarks,F - Tax,$48.56,-6239,43761,-12%,"-$302,966",1.0,-4.0,1.0,-9.0,TEP
55,,2015-05-29 16:11:45,2015-05-28,TEP,Rider George E,See Remarks,F - Tax,$48.56,-6239,46261,-12%,"-$302,966",1.0,-4.0,1.0,-9.0,TEP
56,,2015-05-20 17:28:03,2015-05-19,TEP,Towner Terrance Daniel,Dir,P - Purchase,$50.43,1000,8000,+14%,"+$50,430",0.0,-3.0,0.0,-10.0,TEP
57,,2015-03-16 18:32:02,2015-03-16,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$46.40,5152,235272,+2%,"+$239,053",2.0,7.0,8.0,-5.0,TEP
58,,2015-03-12 18:02:06,2015-03-12,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$46.61,3000,230120,+1%,"+$139,830",0.0,3.0,6.0,1.0,TEP
59,,2015-03-11 17:28:10,2015-03-11,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$46.97,17500,227120,+8%,"+$821,975",0.0,0.0,5.0,4.0,TEP
60,,2015-03-10 17:42:15,2015-03-10,TEP,Dehaemers David G Jr,"Pres, CEO",P - Purchase,$47.70,8100,209620,+4%,"+$386,370",-2.0,-3.0,2.0,3.0,TEP
