,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2021-11-10 16:28:32,2021-11-09,TNC,Arvani Azita,Dir,S - Sale+OE,$83.60,-1411,10982,-11%,"-$117,953",,,,,TNC
1,D,2021-11-03 12:34:26,2021-11-01,TNC,Mulligan Donal L,Dir,S - Sale+OE,$80.00,-2531,13532,-16%,"-$202,480",,,,,TNC
2,D,2021-08-24 17:12:13,2021-08-20,TNC,Zay Richard H.,Chief Commercial Officer,S - Sale+OE,$71.95,-3680,11818,-24%,"-$264,785",,,,,TNC
3,D,2021-08-19 21:00:42,2021-08-18,TNC,Zay Richard H.,Chief Commercial Officer,S - Sale+OE,$72.94,-1600,11818,-12%,"-$116,709",,,,,TNC
4,D,2021-06-02 12:29:59,2021-05-28,TNC,Eicher Carol S,Dir,S - Sale+OE,$83.24,-1281,19792,-6%,"-$106,630",,,,,TNC
5,,2021-05-11 13:57:03,2021-05-10,TNC,Huml David W.,"Pres, CEO",S - Sale,$86.32,-4995,19854,-20%,"-$431,178",,,,,TNC
6,,2021-05-11 13:43:23,2021-05-10,TNC,Zay Richard H.,Chief Commercial Officer,S - Sale,$84.91,-3782,11818,-24%,"-$321,138",,,,,TNC
7,D,2021-04-22 10:59:25,2021-04-20,TNC,Killingstad Chris,Dir,S - Sale+OE,$79.15,-2512,156562,-2%,"-$198,825",,,,,TNC
8,D,2021-04-09 17:24:17,2021-04-07,TNC,Killingstad Chris,Dir,S - Sale+OE,$80.93,-5023,157673,-3%,"-$406,511",,,,,TNC
9,,2021-03-09 10:40:02,2021-03-08,TNC,Killingstad Chris,Dir,S - Sale,$80.00,-3809,159884,-2%,"-$304,720",,,,,TNC
10,DM,2021-02-02 17:07:39,2021-02-01,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$68.62,-9890,149439,-6%,"-$678,652",,,,,TNC
11,,2021-01-26 16:34:50,2021-01-22,TNC,Killingstad Chris,"Pres, CEO",S - Sale,$75.00,-3809,149439,-2%,"-$285,675",,,,,TNC
12,D,2021-01-06 16:25:55,2021-01-04,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$70.00,-9889,153248,-6%,"-$692,230",,,,,TNC
13,DM,2020-12-10 16:41:02,2020-12-08,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$70.00,-3297,153236,-2%,"-$230,790",,,,,TNC
14,,2020-12-09 16:18:24,2020-12-07,TNC,Huml David W.,COO,S - Sale,$69.29,-492,15789,-3%,"-$34,091",,,,,TNC
15,D,2020-12-07 16:11:23,2020-12-03,TNC,Wichmann David S,Dir,S - Sale+OE,$67.63,-1750,14722,-11%,"-$118,356",,,,,TNC
16,D,2020-12-03 16:23:42,2020-12-01,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$67.78,-6592,153236,-4%,"-$446,806",,,,,TNC
17,,2020-11-25 16:18:58,2020-11-24,TNC,Killingstad Chris,"Pres, CEO",S - Sale,$70.00,-15302,153236,-9%,"-$1,071,140",,,,,TNC
18,D,2020-11-18 16:49:11,2020-11-16,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$64.14,-3297,168538,-2%,"-$211,470",,,,,TNC
19,D,2020-11-17 17:48:58,2020-11-13,TNC,Eicher Carol S,Dir,S - Sale+OE,$63.30,-1131,17259,-6%,"-$71,592",,,,,TNC
20,D,2020-11-10 18:30:09,2020-11-09,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$66.50,-6592,168538,-4%,"-$438,368",,,,,TNC
21,,2020-11-10 17:22:36,2020-11-09,TNC,Zay Richard H.,"SVP, Technology, Innovation",S - Sale,$64.00,-14731,11201,-57%,"-$942,784",,,,,TNC
22,D,2020-02-05 16:11:43,2020-02-03,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$77.07,-12839,158911,-7%,"-$989,450",,,,,TNC
23,D,2020-01-03 17:25:26,2020-01-02,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$77.68,-12843,158911,-7%,"-$997,650",,,,,TNC
24,D,2019-12-10 09:24:06,2019-12-05,TNC,Mulligan Donal L,Dir,S - Sale+OE,$80.00,-1750,10294,-15%,"-$140,000",,,,,TNC
25,,2019-12-06 17:27:49,2019-12-04,TNC,Huml David W.,"SVP, Global Marketing",S - Sale,$79.06,-506,12879,-4%,"-$40,004",,,,,TNC
26,D,2019-12-04 17:54:36,2019-12-02,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$74.38,-12843,158901,-7%,"-$955,208",,,,,TNC
27,,2019-11-18 16:27:37,2019-11-14,TNC,Huml David W.,"SVP, Global Marketing",S - Sale,$70.10,-424,13385,-3%,"-$29,722",,,,,TNC
28,D,2019-11-13 18:06:07,2019-11-11,TNC,Zay Richard H.,"SVP, The Americas",S - Sale+OE,$77.46,-7301,23184,-24%,"-$565,503",,,,,TNC
29,D,2019-11-07 18:04:48,2019-11-05,TNC,Sonnenberg Steven Alan,Dir,S - Sale+OE,$78.49,-4281,16571,-21%,"-$336,023",,,,,TNC
30,D,2019-11-05 17:03:26,2019-11-01,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$76.91,-12843,158901,-7%,"-$987,700",,,,,TNC
31,D,2019-10-15 16:18:52,2019-10-11,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$70.00,-3800,158901,-2%,"-$266,000",,,,,TNC
32,D,2019-10-03 16:59:03,2019-10-01,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$68.96,-9043,158901,-5%,"-$623,589",,,,,TNC
33,DM,2019-09-11 16:26:19,2019-09-09,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$69.22,-10643,158890,-6%,"-$736,724",,,,,TNC
34,D,2019-09-09 16:39:01,2019-09-05,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$68.00,-2200,158890,-1%,"-$149,600",,,,,TNC
35,D,2019-08-20 16:36:10,2019-08-16,TNC,Wichmann David S,Dir,S - Sale+OE,$69.07,-1660,12767,-12%,"-$114,653",,,,,TNC
36,D,2019-08-05 16:10:48,2019-08-01,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$73.34,-12843,158890,-7%,"-$941,879",,,,,TNC
37,D,2019-08-02 16:03:14,2019-07-31,TNC,Mulligan Donal L,Dir,S - Sale+OE,$70.00,-2985,10294,-22%,"-$208,950",,,,,TNC
38,D,2019-08-02 16:03:02,2019-07-31,TNC,Zay Richard H.,"SVP, The Americas",S - Sale+OE,$72.49,-4000,23184,-15%,"-$289,960",,,,,TNC
39,D,2019-07-18 16:18:34,2019-07-16,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$66.29,-12843,158890,-7%,"-$851,384",,,,,TNC
40,D,2019-06-20 16:23:48,2019-06-18,TNC,Killingstad Chris,"Pres, CEO",S - Sale+OE,$61.64,-12843,158890,-7%,"-$791,630",,,,,TNC
41,D,2019-05-30 16:46:10,2019-05-28,TNC,Eicher Carol S,Dir,S - Sale+OE,$58.97,-1335,14685,-8%,"-$78,726",,,,,TNC
42,D,2019-05-14 17:00:48,2019-05-10,TNC,Sonnenberg Steven Alan,Dir,S - Sale+OE,$65.31,-2256,16571,-12%,"-$147,340",,,,,TNC
43,D,2018-09-10 16:03:01,2018-09-06,TNC,Huml David W.,"SVP, Global Marketing",S - Sale+OE,$75.15,-13416,7569,-64%,"-$1,008,188",,,,,TNC
44,D,2018-08-13 16:04:51,2018-08-09,TNC,Paulson Thomas,"SVP, CFO",S - Sale+OE,$78.30,-15000,26916,-36%,"-$1,174,567",,,,,TNC
