,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-01-03 09:26:41,2021-12-30,TPGY,Tybourne Capital Management (Hk) Ltd,10%,S - Sale,$9.81,-4817252,0,-100%,"-$47,238,937",,,,,TPGY
1,,2021-12-17 09:40:30,2021-12-15,TPGY,Tybourne Capital Management (Hk) Ltd,10%,S - Sale,$10.01,-50000,4817252,-1%,"-$500,285",,,,,TPGY
2,,2021-12-16 10:17:34,2021-12-14,TPGY,Tybourne Capital Management (Hk) Ltd,10%,S - Sale,$10.07,-40050,4867252,-1%,"-$403,412",,,,,TPGY
3,,2021-12-15 18:51:52,2021-12-13,TPGY,Tybourne Capital Management (Hk) Ltd,10%,S - Sale,$10.15,-50000,4907302,-1%,"-$507,315",,,,,TPGY
4,M,2021-12-02 18:37:04,2021-11-30,TPGY,"Light Street Capital Management, LLC",10%,S - Sale,$10.42,-1019000,3046587,-25%,"-$10,616,002",,,,,TPGY
5,,2021-07-22 16:36:12,2021-07-20,TPGY,"Light Street Capital Management, LLC",10%,P - Purchase,$12.60,35580,4125702,+1%,"+$448,443",,,,,TPGY
6,M,2021-07-14 18:54:53,2021-07-12,TPGY,"Light Street Capital Management, LLC",10%,P - Purchase,$13.59,148093,4090122,+4%,"+$2,011,992",,,,,TPGY
7,M,2021-07-09 21:31:23,2021-07-07,TPGY,"Light Street Capital Management, LLC",10%,P - Purchase,$13.05,251907,3942029,+7%,"+$3,288,522",,,,,TPGY
8,,2021-03-23 12:44:03,2021-03-19,TPGY,Tybourne Capital Management (Hk) Ltd,10%,P - Purchase,$19.59,146836,4957302,+3%,"+$2,876,312",,,,,TPGY
9,,2021-03-22 12:40:51,2021-03-18,TPGY,Tybourne Capital Management (Hk) Ltd,10%,P - Purchase,$19.47,275000,4810466,+6%,"+$5,353,292",,,,,TPGY
10,M,2021-03-18 21:29:01,2021-03-16,TPGY,Tybourne Capital Management (Hk) Ltd,10%,P - Purchase,$19.72,553156,4535466,+14%,"+$10,907,144",,,,,TPGY
11,M,2021-03-04 21:54:42,2021-03-02,TPGY,"Light Street Capital Management, LLC",10%,P - Purchase,$24.57,190026,402622,+89%,"+$4,669,121",,,,,TPGY
