,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2011-06-14 10:07:53,2011-06-13,COGO,Kang Jingwei,"CEO, 10%",P - Purchase,$5.42,10000,9901524,0%,"+$54,194",1.0,-6.0,-13.0,-66.0,TRGI
1,,2011-06-14 10:07:08,2011-06-13,COGO,Comtech Global Investment Ltd.,10%,P - Purchase,$5.42,10000,9721524,0%,"+$54,194",1.0,-6.0,-13.0,-66.0,TRGI
2,,2011-03-11 08:27:38,2011-01-31,COGO,Yuan Yi,Pres,A - Grant,$0.00,150000,183333,+450%,+$0,0.0,-4.0,4.0,-69.0,TRGI
3,AM,2011-03-10 16:35:38,2009-03-16,COGO,Zheng Fuya,CFO,A - Grant,$0.00,10000,63801,+19%,+$0,0.0,-3.0,5.0,-66.0,TRGI
4,,2011-03-10 16:19:52,2011-01-31,COGO,Kang Jingwei,CEO,A - Grant,$0.00,120000,9891524,+1%,+$0,0.0,-3.0,5.0,-66.0,TRGI
5,,2011-03-10 16:15:45,2011-01-31,COGO,Zheng Fuya,CFO,A - Grant,$0.00,90000,153801,+141%,+$0,0.0,-3.0,5.0,-66.0,TRGI
6,M,2011-03-07 16:10:04,2009-03-16,COGO,Zheng Fuya,Pres,A - Grant,$0.00,10000,63801,+19%,+$0,-1.0,-4.0,-1.0,-67.0,TRGI
7,,2010-03-19 09:00:04,2010-03-17,COGO,Yuan Yi,Pres,S - Sale,$7.24,-20000,33333,-38%,"-$144,720",-2.0,-4.0,-3.0,-16.0,TRGI
8,D,2010-02-26 14:57:37,2010-02-24,COGO,Zheng Fuya,CFO,M - OptEx,$3.74,7500,53801,+16%,"+$28,050",2.0,6.0,0.0,-10.0,TRGI
9,,2010-02-26 14:56:33,2010-02-25,COGO,Kang Jingwei,"CEO, 10%",P - Purchase,$7.13,10000,9771524,0%,"+$71,300",2.0,6.0,0.0,-10.0,TRGI
10,,2010-02-26 14:54:37,2010-02-25,COGO,Comtech Global Investment Ltd.,10%,P - Purchase,$7.13,10000,9711524,0%,"+$71,300",2.0,6.0,0.0,-10.0,TRGI
11,,2010-02-26 14:52:50,2010-02-24,COGO,Yuan Yi,Pres,S - Sale,$7.18,-26667,53333,-33%,"-$191,578",2.0,6.0,0.0,-10.0,TRGI
12,,2009-09-23 10:45:05,2009-09-22,COGO,Comtech Global Investment Ltd.,10%,P - Purchase,$5.85,10000,9701524,0%,"+$58,500",10.0,4.0,10.0,19.0,TRGI
13,,2009-09-23 10:44:40,2009-09-22,COGO,Kang Jingwei,"CEO, 10%",P - Purchase,$5.85,10000,9761524,0%,"+$58,500",10.0,4.0,10.0,19.0,TRGI
14,,2008-12-24 14:21:14,2008-12-22,COGO,Baodi Mao,Dir,A - Grant,$0.00,3440,5000,+221%,+$0,1.0,5.0,29.0,34.0,TRGI
15,,2008-12-24 14:20:32,2008-12-22,COGO,Ma Q Y,Dir,A - Grant,$0.00,3440,6301,+120%,+$0,1.0,5.0,29.0,34.0,TRGI
16,,2008-12-24 14:19:42,2008-12-22,COGO,Gan Jp,Dir,A - Grant,$0.00,6193,9000,+221%,+$0,1.0,5.0,29.0,34.0,TRGI
17,M,2008-06-18 15:00:14,2008-06-11,COGO,Ni Hope,Dir,S - Sale,$11.20,-32900,174907,-16%,"-$368,607",-3.0,-9.0,-54.0,-64.0,TRGI
18,M,2008-05-19 16:42:57,2008-05-14,COGO,Kang Jingwei,"CEO, 10%",P - Purchase,$13.00,40000,9751524,0%,"+$520,000",3.0,6.0,-11.0,-63.0,TRGI
19,,2008-05-19 16:40:43,2008-05-15,NASD,Comtech Global Investment Ltd.,10%,P - Purchase,$13.00,20000,9691524,0%,"+$260,000",,,,,TRGI
20,,2008-05-16 10:11:32,2008-05-14,COGO,Comtech Global Investment Ltd.,10%,A - Grant,$13.00,20000,9671524,0%,"+$260,000",-1.0,0.0,-13.0,-69.0,TRGI
21,,2008-04-08 15:31:33,2007-12-24,COGO,Gan Jp,Dir,A - Grant,$0.00,2807,2807,New,+$0,3.0,1.0,18.0,-57.0,TRGI
22,,2008-01-02 19:09:27,2008-01-01,COGO,Zheng Fuya,CFO,A - Grant,$0.00,45000,46301,>999%,+$0,-3.0,-8.0,-32.0,-44.0,TRGI
