,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2020-05-21 17:43:21,2020-05-19,WPC,Alexander Mark A,Dir,P - Purchase,$58.78,4000,18878,+27%,"+$235,100",,,,,WPC
1,A,2020-05-15 20:35:38,2020-03-19,WPC,Sabatini Gino M.,MD,P - Purchase,$42.18,10000,669644,+2%,"+$421,800",,,,,WPC
2,M,2020-03-19 17:58:37,2020-03-17,WPC,Alexander Mark A,Dir,P - Purchase,$60.78,4000,14878,+37%,"+$243,124",,,,,WPC
3,,2020-03-19 17:17:02,2020-03-18,WPC,Mahalingam Arjun,Chief Accounting Officer,P - Purchase,$53.50,285,6632,+4%,"+$15,248",,,,,WPC
4,,2020-03-19 16:59:28,2020-03-19,WPC,Fox Jason E.,CEO,P - Purchase,$46.03,10000,542788,+2%,"+$460,326",,,,,WPC
5,,2020-03-19 16:17:19,2020-03-19,WPC,Sabatini Gino M.,MD,P - Purchase,$42.18,10000,671712,+2%,"+$421,800",,,,,WPC
6,,2020-03-19 16:12:59,2020-03-19,WPC,Park John J,Pres,P - Purchase,$43.56,10000,513509,+2%,"+$435,611",,,,,WPC
7,,2020-03-18 18:52:24,2020-03-16,WPC,Niehaus Christopher,Dir,P - Purchase,$64.68,1500,14653,+11%,"+$97,020",,,,,WPC
8,M,2020-03-18 18:26:17,2020-03-16,WPC,Farrell Peter,Dir,P - Purchase,$64.53,1525,9293,+20%,"+$98,413",,,,,WPC
9,,2020-03-05 17:40:56,2020-03-03,WPC,Flanagan Robert J,Dir,P - Purchase,$82.29,1000,4717,+27%,"+$82,290",,,,,WPC
10,,2019-12-13 17:15:22,2019-12-11,WPC,Alexander Mark A,Dir,P - Purchase,$80.50,2300,10878,+27%,"+$185,150",,,,,WPC
11,,2019-11-22 16:32:38,2019-11-21,WPC,Mahalingam Arjun,Chief Accounting Officer,S - Sale,$84.95,-118,4536,-3%,"-$10,024",,,,,WPC
12,,2018-11-13 16:30:37,2018-11-13,WPC,Niehaus Christopher,Dir,P - Purchase,$66.08,3850,10561,+57%,"+$254,411",,,,,WPC
13,,2018-11-06 16:18:08,2018-11-06,WPC,Hoysradt Jean,Dir,P - Purchase,$64.73,2300,9255,+33%,"+$148,879",,,,,WPC
14,,2018-05-30 16:17:48,2018-05-29,WPC,Mahalingam Arjun,Chief Accounting Officer,S - Sale,$66.56,-614,2272,-21%,"-$40,865",,,,,WPC
