,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-08-27 16:42:08,2021-08-27,XEC,Lambuth John,EVP-Exploration,S - Sale,$63.75,-10000,198669,-5%,"-$637,546",,,,,XEC
1,,2021-03-16 17:00:21,2021-03-15,XEC,Albi Joseph R,"Former Executive VP, COO",S - Sale,$65.00,-7500,96628,-7%,"-$487,500",,,,,XEC
2,,2021-03-09 17:42:32,2021-03-08,XEC,Burford G Mark,"SVP, CFO",S - Sale,$67.13,-5000,175253,-3%,"-$335,673",,,,,XEC
3,,2021-03-05 16:42:28,2021-03-05,XEC,Sirgo Blake A,VP-Operations,S - Sale,$65.00,-3500,50263,-7%,"-$227,500",,,,,XEC
4,,2021-03-05 16:42:17,2021-03-05,XEC,Bell Stephen P,Ex VP,S - Sale,$66.09,-6451,192953,-3%,"-$426,366",,,,,XEC
5,M,2021-03-04 16:56:09,2021-03-02,XEC,Albi Joseph R,"Former Executive VP, COO",S - Sale,$61.43,-15000,104128,-13%,"-$921,500",,,,,XEC
6,,2021-03-03 17:21:29,2021-03-01,XEC,Logan Harold R Jr,Dir,S - Sale,$59.23,-2900,18492,-14%,"-$171,773",,,,,XEC
7,,2021-02-26 16:42:48,2021-02-24,XEC,Robertson Monroe W,Dir,S - Sale,$61.06,-2000,26204,-7%,"-$122,118",,,,,XEC
8,,2021-02-26 16:42:36,2021-02-24,XEC,Barron Francis Brian,SVP-GC,S - Sale,$56.72,-4000,149824,-3%,"-$226,876",,,,,XEC
9,,2021-02-26 16:42:32,2021-02-24,XEC,Lambuth John,EVP-Exploration,S - Sale,$57.32,-10000,208669,-5%,"-$573,241",,,,,XEC
10,,2020-12-17 19:28:07,2020-12-15,XEC,Hentschel David A,Director Emeritus,S - Sale,$38.01,-10000,23293,-30%,"-$380,102",,,,,XEC
11,,2020-12-16 15:00:08,2020-12-14,XEC,Sullivan Michael J/co,Director Emeritus,S - Sale,$39.07,-2414,16752,-13%,"-$94,317",,,,,XEC
12,M,2020-12-11 17:56:07,2020-12-10,XEC,Albi Joseph R,"Former Executive VP, COO",S - Sale,$39.54,-8000,119127,-6%,"-$316,300",,,,,XEC
13,,2020-11-10 18:35:08,2020-11-09,XEC,Albi Joseph R,"Former Executive VP, COO",S - Sale,$30.55,-10000,127124,-7%,"-$305,500",,,,,XEC
14,,2020-08-27 12:31:26,2020-08-26,XEC,Bell Stephen P,Ex VP,S - Sale,$28.09,-12500,150437,-8%,"-$351,098",,,,,XEC
15,,2020-03-16 10:56:11,2020-03-13,XEC,Jorden Thomas E,"CEO, Pres",P - Purchase,$16.58,10971,532649,+2%,"+$181,899",,,,,XEC
16,,2020-03-12 15:56:11,2020-03-11,XEC,Abbott Gary R,VP,P - Purchase,$16.13,10000,161255,+7%,"+$161,331",,,,,XEC
17,,2020-03-10 16:56:11,2020-03-10,XEC,Jorden Thomas E,"CEO, Pres",P - Purchase,$16.28,10000,521327,+2%,"+$162,800",,,,,XEC
18,,2020-03-09 16:21:11,2020-03-09,XEC,Logan Harold R Jr,Dir,P - Purchase,$15.64,2000,14756,+16%,"+$31,278",,,,,XEC
19,,2020-03-02 18:14:11,2020-03-02,XEC,Logan Harold R Jr,Dir,P - Purchase,$33.54,2000,12756,+19%,"+$67,080",,,,,XEC
20,,2020-01-08 18:14:11,2020-01-07,XEC,Albi Joseph R,"EVP, COO",S - Sale,$55.00,-2500,190574,-1%,"-$137,500",,,,,XEC
21,,2019-12-13 16:07:11,2019-12-11,XEC,Sullivan Michael J/co,Dir,S - Sale,$47.44,-2717,19166,-12%,"-$128,891",,,,,XEC
22,,2019-12-06 10:56:11,2019-12-04,XEC,Barron Francis Brian,SVP-GC,S - Sale,$46.93,-2500,81023,-3%,"-$117,315",,,,,XEC
23,,2019-12-05 18:35:11,2019-12-04,XEC,Bell Stephen P,Ex VP,S - Sale,$46.58,-9067,102100,-8%,"-$422,303",,,,,XEC
24,,2019-03-18 17:35:23,2019-03-15,XEC,Logan Harold R Jr,Dir,S - Sale,$70.00,-990,7259,-12%,"-$69,305",,,,,XEC
25,,2019-03-05 18:21:11,2019-03-05,XEC,Stewart Lisa A,Dir,P - Purchase,$73.98,130,7996,+2%,"+$9,617",,,,,XEC
26,,2018-12-17 17:28:13,2018-12-14,XEC,Sullivan Michael J/co,Dir,S - Sale,$70.22,-1492,18386,-8%,"-$104,768",,,,,XEC
27,,2018-08-30 18:49:14,2018-08-30,XEC,Stewart Lisa A,Dir,P - Purchase,$84.05,320,7866,+4%,"+$26,897",,,,,XEC
28,,2018-06-29 17:35:13,2018-06-27,XEC,Albi Joseph R,"EVP, COO",S - Sale,$100.10,-1750,139307,-1%,"-$175,175",,,,,XEC
29,,2018-06-29 17:21:14,2018-06-27,XEC,Teague L Paul,Director Emeritus,S - Sale,$100.10,-1040,49171,-2%,"-$104,104",,,,,XEC
30,,2018-06-04 18:21:20,2018-06-01,XEC,Stewart Lisa A,Dir,P - Purchase,$89.98,722,7546,+11%,"+$64,963",,,,,XEC
