,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,6.35,6.36,6.32,6.34,5.284926,1449200,AEG
1,2018-01-03,6.35,6.38,6.32,6.34,5.284926,1271600,AEG
2,2018-01-04,6.38,6.44,6.38,6.41,5.343277,2944100,AEG
3,2018-01-05,6.43,6.44,6.37,6.42,5.351613,1583000,AEG
4,2018-01-08,6.42,6.45,6.4,6.43,5.359949,1685500,AEG
5,2018-01-09,6.56,6.59,6.53,6.55,5.45998,1969300,AEG
6,2018-01-10,6.69,6.72,6.65,6.66,5.551673,2344500,AEG
7,2018-01-11,6.72,6.79,6.71,6.79,5.660039,3147700,AEG
8,2018-01-12,6.89,6.91,6.85,6.88,5.735063,2129800,AEG
9,2018-01-16,6.87,6.88,6.77,6.81,5.676711,3085100,AEG
10,2018-01-17,6.86,6.9,6.83,6.86,5.71839,5825600,AEG
11,2018-01-18,6.94,6.95,6.91,6.93,5.776741,2562400,AEG
12,2018-01-19,6.93,6.96,6.89,6.93,5.776741,1316100,AEG
13,2018-01-22,6.94,6.99,6.94,6.98,5.81842,2741100,AEG
14,2018-01-23,6.91,6.92,6.87,6.89,5.743398,2154100,AEG
15,2018-01-24,6.97,6.99,6.88,6.93,5.776741,1667500,AEG
16,2018-01-25,7.02,7.02,6.93,6.94,5.785077,2174700,AEG
17,2018-01-26,6.95,6.99,6.93,6.98,5.81842,1322200,AEG
18,2018-01-29,6.96,7.02,6.96,6.98,5.81842,1905900,AEG
19,2018-01-30,6.93,6.94,6.86,6.87,5.726726,2727900,AEG
20,2018-01-31,6.87,6.88,6.77,6.79,5.660039,2297800,AEG
21,2018-02-01,6.81,6.88,6.8,6.88,5.735063,2073300,AEG
22,2018-02-02,6.91,6.91,6.77,6.77,5.643368,2396300,AEG
23,2018-02-05,6.75,6.86,6.6,6.62,5.518331,10128000,AEG
24,2018-02-06,6.48,6.68,6.48,6.64,5.535001,12702300,AEG
25,2018-02-07,6.66,6.73,6.64,6.68,5.568345,8419300,AEG
26,2018-02-08,6.67,6.67,6.48,6.49,5.409964,8299600,AEG
27,2018-02-09,6.49,6.52,6.3,6.45,5.37662,5355800,AEG
28,2018-02-12,6.53,6.59,6.48,6.55,5.45998,1833500,AEG
29,2018-02-13,6.57,6.62,6.55,6.59,5.493323,2352000,AEG
30,2018-02-14,6.59,6.78,6.58,6.76,5.635032,2510900,AEG
31,2018-02-15,6.96,6.97,6.85,6.91,5.760069,2667200,AEG
32,2018-02-16,6.83,6.87,6.8,6.85,5.710054,1743300,AEG
33,2018-02-20,6.92,6.95,6.88,6.94,5.785077,2546600,AEG
34,2018-02-21,6.91,7.02,6.91,6.92,5.768405,2095300,AEG
35,2018-02-22,6.92,6.94,6.8,6.81,5.676711,1829700,AEG
36,2018-02-23,6.88,6.95,6.86,6.94,5.785077,1673100,AEG
37,2018-02-26,6.94,6.96,6.88,6.96,5.801749,2699200,AEG
38,2018-02-27,6.96,6.99,6.92,6.93,5.776741,2064600,AEG
39,2018-02-28,7.01,7.03,6.91,6.92,5.768405,2153200,AEG
40,2018-03-01,6.87,6.92,6.75,6.81,5.676711,2178900,AEG
