,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,8.7,9.11,8.6,9.06,9.06,2499000,DDD
1,2018-01-03,9.12,9.37,9.1,9.31,9.31,1799100,DDD
2,2018-01-04,9.35,9.45,9.09,9.36,9.36,1982200,DDD
3,2018-01-05,9.42,9.53,9.22,9.39,9.39,1302700,DDD
4,2018-01-08,9.38,9.53,9.21,9.31,9.31,1898400,DDD
5,2018-01-09,9.31,9.57,9.23,9.45,9.45,1335200,DDD
6,2018-01-10,9.4,9.7,9.32,9.61,9.61,1302200,DDD
7,2018-01-11,9.65,10.3,9.63,10.3,10.3,2773900,DDD
8,2018-01-12,10.35,11.36,10.22,11.19,11.19,6275700,DDD
9,2018-01-16,11.21,11.8,10.47,10.71,10.71,6072200,DDD
10,2018-01-17,11.03,11.05,9.78,9.89,9.89,4445700,DDD
11,2018-01-18,10.03,10.68,9.82,10.55,10.55,4568900,DDD
12,2018-01-19,10.57,11.04,10.56,10.66,10.66,3208100,DDD
13,2018-01-22,10.55,10.69,10.0,10.22,10.22,2951100,DDD
14,2018-01-23,10.15,10.64,10.14,10.61,10.61,2625000,DDD
15,2018-01-24,10.64,10.97,10.29,10.68,10.68,3830600,DDD
16,2018-01-25,10.69,10.84,10.46,10.67,10.67,2051300,DDD
17,2018-01-26,10.65,10.86,10.37,10.72,10.72,2804000,DDD
18,2018-01-29,10.61,10.8,10.37,10.49,10.49,1944100,DDD
19,2018-01-30,10.31,10.38,9.93,10.06,10.06,2457900,DDD
20,2018-01-31,10.14,10.36,10.08,10.24,10.24,1763300,DDD
21,2018-02-01,10.21,10.36,9.98,10.24,10.24,2021000,DDD
22,2018-02-02,10.24,10.3,9.52,9.63,9.63,3380800,DDD
23,2018-02-05,9.5,9.62,8.99,9.07,9.07,2411200,DDD
24,2018-02-06,8.92,9.76,8.88,9.7,9.7,2556800,DDD
25,2018-02-07,9.62,10.42,9.58,10.32,10.32,3867000,DDD
26,2018-02-08,10.26,10.65,9.82,9.82,9.82,3635300,DDD
27,2018-02-09,9.71,9.78,9.38,9.68,9.68,2435500,DDD
28,2018-02-12,9.75,10.19,9.6,9.92,9.92,2237400,DDD
29,2018-02-13,9.82,10.29,9.81,10.09,10.09,1619000,DDD
