,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-08 19:05:10,2021-12-06,ABEO,O'Malley Brendan M.,"SVP, GC",S - Sale,0.57,-8880,204750,-4%,-5035.0,,,,,ABEO
1,,2021-11-05 19:00:12,2021-11-05,ABEO,O'Malley Brendan M.,"SVP, GC",S - Sale,0.89,-8880,213630,-4%,-7894.0,,,,,ABEO
2,,2021-10-13 19:08:46,2021-10-11,ABEO,O'Malley Brendan M.,"SVP, GC",S - Sale,0.9,-25734,222510,-10%,-23271.0,,,,,ABEO
3,,2021-10-08 20:33:23,2021-10-07,ABEO,Wider Todd,Dir,S - Sale,0.97,-25000,0,-100%,-24150.0,,,,,ABEO
4,M,2021-10-08 20:31:59,2021-10-05,ABEO,O'Malley Brendan M.,"SVP, GC",S - Sale,1.05,-25210,248244,-9%,-26484.0,,,,,ABEO
5,,2021-10-08 20:29:14,2021-10-08,ABEO,Carr Edward,CFO,S - Sale,1.05,-29122,400169,-7%,-30596.0,,,,,ABEO
6,,2021-10-04 16:06:05,2021-09-30,ABEO,Amoroso Michael,CEO,S - Sale,1.09,-45409,604637,-7%,-49382.0,,,,,ABEO
7,,2021-05-05 16:05:38,2021-05-03,ABEO,Sco Capital Partners LLC,"Dir, 10%",S - Sale,2.01,-80000,11079292,-1%,-160888.0,,,,,ABEO
8,M,2021-04-05 18:31:30,2021-04-01,ABEO,Carr Edward,Chief Accounting Officer,S - Sale,1.82,-55445,191291,-22%,-100712.0,,,,,ABEO
9,,2021-04-02 19:12:54,2021-03-31,ABEO,Amoroso Michael,CEO,S - Sale,1.87,-45409,650046,-7%,-84919.0,,,,,ABEO
10,,2021-03-19 16:05:31,2021-03-18,ABEO,Sco Capital Partners LLC,"Dir, 10%",S - Sale,2.23,-80000,11159292,-1%,-178624.0,,,,,ABEO
11,D,2021-02-23 16:14:37,2021-02-19,ABEO,Mann Paul Elliot,Dir,S - Sale+OE,2.38,-45566,0,-100%,-108502.0,,,,,ABEO
12,,2021-02-23 16:05:31,2021-02-19,ABEO,Wider Todd,Dir,S - Sale,2.39,-251625,25000,-91%,-601057.0,,,,,ABEO
13,,2021-02-19 16:05:37,2021-02-17,ABEO,Mann Paul Elliot,Dir,S - Sale,2.34,-132664,0,-100%,-310168.0,,,,,ABEO
14,DM,2021-02-19 16:05:25,2021-02-17,ABEO,Wider Todd,Dir,S - Sale+OE,2.34,-321345,276625,-54%,-753065.0,,,,,ABEO
15,,2021-02-18 16:05:34,2021-02-16,ABEO,Sco Capital Partners LLC,"Dir, 10%",S - Sale,2.97,-120000,11239292,-1%,-356808.0,,,,,ABEO
16,,2021-02-10 19:42:12,2021-02-08,ABEO,Sco Capital Partners LLC,"Dir, 10%",S - Sale,3.01,-240000,11359292,-2%,-722832.0,,,,,ABEO
17,M,2021-01-19 18:48:29,2021-01-14,ABEO,Sco Capital Partners LLC,"Dir, 10%",S - Sale,2.06,-320000,11599292,-3%,-658516.0,,,,,ABEO
18,,2021-01-05 19:09:33,2021-01-04,ABEO,Wider Todd,Dir,S - Sale,1.54,-33876,276625,-11%,-52064.0,,,,,ABEO
19,,2021-01-05 19:07:23,2021-01-04,ABEO,Mann Paul Elliot,Dir,S - Sale,1.54,-30488,132664,-19%,-46891.0,,,,,ABEO
20,,2020-12-21 18:16:55,2020-12-18,ABEO,Mann Paul Elliot,Dir,S - Sale,1.59,-17079,772907,-2%,-27099.0,,,,,ABEO
21,,2020-12-02 16:26:38,2020-12-02,ABEO,Wider Todd,Dir,S - Sale,1.49,-33876,920256,-4%,-50546.0,,,,,ABEO
22,,2020-12-02 16:25:05,2020-12-02,ABEO,Mann Paul Elliot,Dir,S - Sale,1.49,-30488,789986,-4%,-45369.0,,,,,ABEO
23,,2020-11-24 18:46:59,2020-11-23,ABEO,Wider Todd,Dir,S - Sale,1.33,-17969,954132,-2%,-23981.0,,,,,ABEO
24,,2020-11-06 16:55:05,2020-11-02,ABEO,Wider Todd,Dir,S - Sale,1.04,-33876,972101,-3%,-35106.0,,,,,ABEO
25,,2020-11-06 16:54:40,2020-11-02,ABEO,Mann Paul Elliot,Dir,S - Sale,1.04,-30488,820474,-4%,-31589.0,,,,,ABEO
26,,2020-09-17 16:05:09,2020-09-15,ABEO,Sco Capital Partners LLC,"Dir, 10%",S - Sale,2.0,-1989,11919292,0%,-3981.0,,,,,ABEO
27,M,2020-09-14 20:35:43,2020-09-10,ABEO,Sco Capital Partners LLC,"Dir, 10%",S - Sale,2.07,-78011,11921281,-1%,-161726.0,,,,,ABEO
28,,2020-08-19 16:05:14,2020-08-17,ABEO,Sco Capital Partners LLC,10%,S - Sale,2.85,-80000,11999292,-1%,-228312.0,,,,,ABEO
29,,2020-03-20 16:14:22,2020-03-19,ABEO,Carr Edward,Chief Accounting Officer,S - Sale,1.81,-6446,13554,-32%,-11667.0,,,,,ABEO
30,,2019-12-31 17:17:03,2019-12-24,ABEO,Buono Stefano,Dir,P - Purchase,2.5,200000,270000,+286%,500000.0,,,,,ABEO
31,,2019-04-18 17:57:51,2019-04-08,ABEO,Van Duyne Richard B,Dir,P - Purchase,7.71,6000,6000,New,46260.0,,,,,ABEO
32,M,2019-04-12 10:20:24,2019-04-10,ABEO,Buono Stefano,Dir,P - Purchase,7.8,70000,70000,New,546250.0,,,,,ABEO
33,,2019-04-10 18:39:56,2019-04-08,ABEO,Howell Stephen B.,Dir,P - Purchase,7.77,4000,79494,+5%,31080.0,,,,,ABEO
