,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-02-11 12:21:56,2022-02-10,BSBK,Masterson John J.,Dir,P - Purchase,10.15,3315,104837,+3%,33647.0,,,,,BSBK
1,D,2021-12-02 11:25:41,2021-11-30,BSBK,Masterson John J.,Dir,P - Purchase,10.07,2360,101522,+2%,23765.0,,,,,BSBK
2,D,2021-11-19 17:05:57,2021-11-18,BSBK,Masterson John J.,Dir,P - Purchase,10.12,163,99162,0%,1650.0,,,,,BSBK
3,D,2021-11-15 11:06:19,2021-11-12,BSBK,Masterson John J.,Dir,P - Purchase,10.16,296,98999,0%,3007.0,,,,,BSBK
4,DM,2021-11-09 16:13:10,2021-11-05,BSBK,Masterson John J.,Dir,P - Purchase,10.16,3357,98703,+4%,34118.0,,,,,BSBK
5,M,2021-03-16 16:30:33,2021-03-12,BSBK,Walsh Robert C.,EVP,P - Purchase,10.61,1000,4000,+33%,10610.0,,,,,BSBK
6,,2020-09-24 11:31:52,2020-09-23,BSBK,Masterson John J.,Dir,P - Purchase,7.27,5000,82452,+6%,36350.0,,,,,BSBK
7,,2020-09-14 17:11:53,2020-09-11,BSBK,Pace Kevin,EVP,P - Purchase,7.2,100,15066,+1%,720.0,,,,,BSBK
8,M,2020-09-11 13:15:50,2020-09-09,BSBK,Masterson John J.,Dir,P - Purchase,7.21,6000,77452,+8%,43260.0,,,,,BSBK
9,,2020-09-11 10:44:03,2020-09-10,BSBK,Coccaro Joseph,"Pres, CEO",P - Purchase,7.33,1000,27500,+4%,7327.0,,,,,BSBK
10,M,2020-05-14 16:56:52,2020-05-12,BSBK,Masterson John J.,Dir,P - Purchase,8.08,8000,71452,+13%,64610.0,,,,,BSBK
11,,2020-03-17 13:59:07,2020-03-13,BSBK,Kohles Brian,SVP of subsidiary,P - Purchase,7.23,6913,12732,+119%,49981.0,,,,,BSBK
12,,2020-03-16 11:14:04,2020-03-12,BSBK,Pace Kevin,"EVP,Compliance of subsidiary",P - Purchase,8.01,4067,14966,+37%,32577.0,,,,,BSBK
13,,2020-03-13 18:14:53,2020-03-13,BSBK,Coccaro Joseph,"Pres, CEO",P - Purchase,8.0,1500,26500,+6%,12000.0,,,,,BSBK
14,,2020-03-13 11:42:43,2020-03-11,BSBK,Pace Kevin,EVP,P - Purchase,8.84,230,10899,+2%,2033.0,,,,,BSBK
15,,2020-03-13 11:42:18,2020-03-09,BSBK,Pace Kevin,EVP,P - Purchase,9.67,900,10669,+9%,8707.0,,,,,BSBK
16,,2020-03-12 17:24:09,2020-03-10,BSBK,Kohles Brian,SVP,P - Purchase,9.25,5271,5819,+962%,48757.0,,,,,BSBK
17,,2020-03-04 14:26:08,2020-03-03,BSBK,Masterson John J.,Dir,P - Purchase,10.15,7000,63452,+12%,71050.0,,,,,BSBK
18,,2020-03-02 16:52:09,2020-03-02,BSBK,Pace Kevin,"EVP, Compliance of Subsidiary",P - Purchase,10.22,9000,9769,>999%,92022.0,,,,,BSBK
19,M,2020-03-02 11:52:58,2020-02-27,BSBK,Masterson John J.,Dir,P - Purchase,10.35,10600,56452,+23%,109726.0,,,,,BSBK
20,,2020-02-26 17:44:49,2020-02-24,BSBK,Masterson John J.,Dir,P - Purchase,10.85,12000,45852,+35%,130200.0,,,,,BSBK
21,M,2020-02-24 12:32:43,2020-02-20,BSBK,Masterson John J.,Dir,P - Purchase,11.0,18852,33852,+126%,207302.0,,,,,BSBK
22,,2020-02-10 17:01:35,2020-02-07,BSBK,McCourt Brian,"EVP, CFO",P - Purchase,11.53,8675,9697,+849%,99999.0,,,,,BSBK
