,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-06-07 17:36:24,2021-06-03,CYCN,McGuire Terrance,Dir,P - Purchase,3.12,96153,740390,+15%,299997.0,,,,,CYCN
1,,2021-06-07 17:25:44,2021-06-03,CYCN,Hecht Peter M,CEO,P - Purchase,3.28,823170,2049153,+67%,2699998.0,,,,,CYCN
2,,2021-06-07 16:05:18,2021-06-03,CYCN,Slate Path Capital LP,10%,P - Purchase,3.12,961538,7157601,+16%,2999999.0,,,,,CYCN
3,,2021-05-10 08:45:24,2021-05-06,CYCN,Hecht Peter M,CEO,P - Purchase,2.43,302000,1225983,+33%,733860.0,,,,,CYCN
4,M,2021-05-06 21:27:00,2021-05-04,CYCN,Hecht Peter M,CEO,P - Purchase,2.43,698001,923983,+309%,1693943.0,,,,,CYCN
5,,2021-03-01 16:23:46,2021-02-25,CYCN,Gjino Anjeza,CFO,S - Sale,4.0,-1824,31599,-5%,-7296.0,,,,,CYCN
6,,2021-03-01 16:17:31,2021-02-25,CYCN,Wright Christopher I,Chief Medical Officer,S - Sale,3.99,-2637,42728,-6%,-10522.0,,,,,CYCN
7,,2020-12-30 13:14:58,2020-12-28,CYCN,Currie Mark G,"Pres, CSO",S - Sale,3.01,-20107,251648,-7%,-60522.0,,,,,CYCN
8,,2020-11-12 17:05:02,2020-11-09,CYCN,Busch Andreas,Chief Innovation Officer,P - Purchase,2.53,125000,254704,+96%,316250.0,,,,,CYCN
9,,2020-11-10 19:07:11,2020-11-06,CYCN,Huyett William,CFO,S - Sale,2.52,-3827,67590,-5%,-9644.0,,,,,CYCN
10,,2020-02-25 16:11:19,2020-02-21,CYCN,Huyett William,CFO,S - Sale,5.12,-3559,71417,-5%,-18222.0,,,,,CYCN
11,M,2019-12-31 17:55:54,2019-12-27,CYCN,Currie Mark G,Pres,S - Sale,2.52,-50000,271755,-16%,-125750.0,,,,,CYCN
12,,2019-11-19 16:02:59,2019-11-15,CYCN,Busch Andreas,Chief Innovation Officer,P - Purchase,1.82,125000,125000,New,227500.0,,,,,CYCN
13,,2019-11-12 16:26:14,2019-11-08,CYCN,Huyett William,CFO,S - Sale,2.05,-3922,74976,-5%,-8040.0,,,,,CYCN
14,,2019-04-10 16:14:33,2019-04-08,CYCN,McGuire Terrance,Dir,P - Purchase,16.0,626117,644237,>999%,10017872.0,,,,,CYCN
15,,2019-04-10 16:13:54,2019-04-08,CYCN,Schulman Amy W,Dir,P - Purchase,16.0,626117,633625,>999%,10017872.0,,,,,CYCN
16,D,2019-04-03 19:42:12,2019-04-02,CYCN,Currie Mark G,Pres,P - Purchase,14.81,270107,321755,+523%,4000285.0,,,,,CYCN
