,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-02 19:22:37,2022-02-28,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",S - Sale,33.91,-11270,3395452,0%,-382166.0,,,,,DCOM
1,,2022-02-16 16:41:30,2022-02-14,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",S - Sale,34.0,-5366,3406722,0%,-182444.0,,,,,DCOM
2,,2022-02-03 15:08:28,2021-12-31,DCOM,Porzelt Christopher J,Chief Risk Officer,P - Purchase,33.41,389,17637,+2%,12996.0,,,,,DCOM
3,M,2021-12-13 20:01:46,2021-12-09,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",S - Sale,33.22,-91527,2784914,-3%,-3040343.0,,,,,DCOM
4,M,2021-12-09 20:19:51,2021-12-07,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",S - Sale,34.32,-13171,2885084,0%,-452057.0,,,,,DCOM
5,,2021-12-08 09:47:27,2021-12-02,DCOM,Porzelt Christopher J,Chief Risk Officer,S - Sale,35.11,-1470,18468,-7%,-51612.0,,,,,DCOM
6,M,2021-09-07 19:01:18,2021-09-02,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",P - Purchase,33.16,260487,3679545,+8%,8638189.0,,,,,DCOM
7,M,2021-09-07 19:01:18,2021-09-02,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",S - Sale,32.85,-589466,3679545,-14%,-19366766.0,,,,,DCOM
8,M,2021-08-25 20:08:11,2021-08-23,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",S - Sale,33.17,-126814,3303341,-4%,-4206638.0,,,,,DCOM
9,,2021-08-23 11:02:16,2021-08-19,DCOM,Chen Rosemarie,Dir,P - Purchase,32.5,300,9972,+3%,9750.0,,,,,DCOM
10,,2021-08-20 17:40:15,2021-08-18,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",S - Sale,32.8,-27014,3972579,-1%,-886059.0,,,,,DCOM
11,M,2021-08-13 20:04:35,2021-08-11,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",P - Purchase,33.69,20590,6870688,0%,693680.0,,,,,DCOM
12,,2021-02-24 13:48:03,2021-02-22,DCOM,Reddy Avinash,SEVP - CFO,P - Purchase,25.02,1730,49290,+4%,43285.0,,,,,DCOM
13,,2021-02-16 21:56:24,2021-02-16,DCOM,"Basswood Partners, L.L.C.","Director-by-Deputization, 10%",P - Purchase,27.02,13131,757977,+2%,354800.0,,,,,DCOM
14,M,2021-02-16 21:52:19,2021-02-11,DCOM,"Basswood Capital Management, L.L.C.","Director-by-Deputization, 10%",P - Purchase,26.89,45085,3492411,+1%,1212414.0,,,,,DCOM
