,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2021-12-02 17:02:37,2021-11-30,DISCA,Malone John C,"Dir, 10%",S - Sale,22.91,-465000,11321362,-4%,-10653912.0,,,,,DISCA
1,,2021-06-22 16:50:17,2021-06-21,DISCA,Malone John C,"Dir, 10%",S - Sale,29.15,-6768,1106323,-1%,-197287.0,,,,,DISCA
2,M,2021-06-04 18:16:37,2021-06-03,DISCA,Malone John C,"Dir, 10%",S - Sale,29.49,-405000,11786362,-3%,-11944757.0,,,,,DISCA
3,,2021-05-28 16:33:58,2021-05-27,DISCA,Bennett Robert R,Dir,S - Sale,68.8,-20,0,-100%,-1376.0,,,,,DISCA
4,,2021-05-25 16:49:44,2021-05-24,DISCK,Wiedenfels Gunnar,CFO,P - Purchase,29.09,25000,75000,+50%,727250.0,,,,,DISCA
5,,2021-05-25 16:43:07,2021-05-24,DISCA,Wiedenfels Gunnar,CFO,S - Sale,31.3,-8383,199913,-4%,-262346.0,,,,,DISCA
6,,2021-03-17 16:15:23,2021-03-16,DISCA,Sanchez Daniel E.,Dir,S - Sale,75.8,-9538,12019,-44%,-722980.0,,,,,DISCA
7,D,2021-03-17 16:12:57,2021-03-16,DISCA,Perrette Jean-Briac,"Pres, CEO, Discovery Int'l",S - Sale+OE,76.11,-199017,327825,-38%,-15147753.0,,,,,DISCA
8,,2021-03-16 16:21:56,2021-03-15,DISCA,Locke Lori C.,Chief Accounting Officer,S - Sale,73.1,-1301,21514,-6%,-95103.0,,,,,DISCA
9,,2021-03-16 16:19:24,2021-03-15,DISCA,Beck Robert R,Dir,S - Sale,73.4,-15999,68579,-19%,-1174263.0,,,,,DISCA
10,,2021-03-16 16:17:26,2021-03-15,DISCA,Lowe Kenneth W,Dir,S - Sale,61.2,-83500,1007903,-8%,-5110451.0,,,,,DISCA
11,,2021-03-05 16:16:23,2021-03-03,DISCA,Sanchez Daniel E.,Dir,S - Sale,60.78,-2000,21557,-8%,-121560.0,,,,,DISCA
12,D,2021-03-05 16:14:26,2021-03-04,DISCA,Perrette Jean-Briac,"Pres, CEO, Discovery Int'l",S - Sale+OE,62.32,-474601,327825,-59%,-29574884.0,,,,,DISCA
13,D,2021-03-03 16:38:07,2021-03-02,DISCA,Perrette Jean-Briac,"Pres, CEO, Discovery Int'l",S - Sale+OE,59.05,-93342,327825,-22%,-5511658.0,,,,,DISCA
14,DM,2021-03-03 16:27:06,2021-03-01,DISCA,Leavy David,Chief Corp Operating Officer,S - Sale+OE,55.3,-66864,93395,-42%,-3697351.0,,,,,DISCA
15,,2021-03-03 16:24:47,2021-03-02,DISCA,Sims Savalle,GC,S - Sale,58.77,-3668,74947,-5%,-215568.0,,,,,DISCA
