,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-30 17:49:52,2022-03-29,DXCM,Regan Barry J.,EVP Global Operations,S - Sale,500.0,-1106,16345,-6%,-553000.0,,,,,DXCM
1,,2022-03-24 16:35:40,2022-03-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,459.98,-250,35675,-1%,-114995.0,,,,,DXCM
2,M,2022-03-17 16:30:27,2022-03-15,DXCM,Dolan Matthew Vincent,SVP Corporate Development,S - Sale,424.68,-2186,6634,-25%,-928359.0,,,,,DXCM
3,,2022-03-17 16:29:59,2022-03-15,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,409.77,-3000,97883,-3%,-1229295.0,,,,,DXCM
4,,2022-03-14 16:22:41,2022-03-10,DXCM,Patterson Chad,"EVP, Global Marketing",S - Sale,401.27,-776,15228,-5%,-311386.0,,,,,DXCM
5,,2022-03-14 16:21:54,2022-03-10,DXCM,Selvaraj Shelly Ramasamy,SVP CIO,S - Sale,401.27,-2366,11454,-17%,-949405.0,,,,,DXCM
6,,2022-03-04 19:02:49,2022-03-04,DXCM,Sylvain Jereme M,"EVP, CFO",S - Sale,422.94,-600,14662,-4%,-253764.0,,,,,DXCM
7,,2022-03-02 16:42:23,2022-03-01,DXCM,Patterson Chad,"EVP, Global Marketing",S - Sale,413.97,-46,12528,0%,-19043.0,,,,,DXCM
8,,2022-02-24 17:45:17,2022-02-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,394.33,-250,34370,-1%,-98583.0,,,,,DXCM
9,,2022-02-15 20:09:16,2022-02-14,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,418.04,-3000,94617,-3%,-1254120.0,,,,,DXCM
10,,2022-02-14 17:06:06,2022-02-10,DXCM,Kahn Barbara,Dir,S - Sale,442.35,-4666,3918,-54%,-2064014.0,,,,,DXCM
11,,2022-01-26 16:27:17,2022-01-24,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,416.77,-250,34620,-1%,-104193.0,,,,,DXCM
12,,2022-01-20 17:35:31,2022-01-18,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,435.56,-22674,97617,-19%,-9875800.0,,,,,DXCM
13,,2021-12-23 17:29:43,2021-12-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,573.91,-250,34870,-1%,-143478.0,,,,,DXCM
14,,2021-12-17 16:22:39,2021-12-15,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,535.97,-3000,81705,-4%,-1607899.0,,,,,DXCM
15,,2021-12-14 16:15:25,2021-12-13,DXCM,Regan Barry J.,EVP Operations,S - Sale,563.93,-1214,11457,-10%,-684611.0,,,,,DXCM
16,,2021-12-06 19:16:11,2021-12-06,DXCM,Sylvain Jereme M,"EVP, CFO",S - Sale,517.59,-600,12292,-5%,-310554.0,,,,,DXCM
17,,2021-12-02 17:53:40,2021-12-01,DXCM,Foletta Mark G,Dir,S - Sale,562.83,-500,13651,-4%,-281416.0,,,,,DXCM
18,,2021-11-29 18:36:45,2021-11-03,DXCM,Collins Richard Alexander,Dir,S - Sale,647.05,-1500,8114,-16%,-970575.0,,,,,DXCM
19,M,2021-11-23 18:57:41,2021-11-22,DXCM,Stern Sadie,EVP Chief HR Off,S - Sale,623.27,-2051,11790,-15%,-1278335.0,,,,,DXCM
20,,2021-11-23 18:57:26,2021-11-22,DXCM,Regan Barry J.,EVP Operations,S - Sale,638.65,-837,12671,-6%,-534550.0,,,,,DXCM
21,,2021-11-23 18:51:49,2021-11-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,612.26,-250,40579,-1%,-153065.0,,,,,DXCM
22,,2021-11-16 13:11:59,2021-11-15,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,647.84,-3000,84705,-3%,-1943515.0,,,,,DXCM
23,,2021-11-02 17:13:08,2021-11-01,DXCM,Foletta Mark G,Dir,S - Sale,626.32,-500,14151,-3%,-313162.0,,,,,DXCM
24,,2021-11-02 17:12:50,2021-10-29,DXCM,Augustinos Nicholas,Dir,S - Sale,600.04,-2500,8510,-23%,-1500087.0,,,,,DXCM
25,,2021-10-25 19:35:48,2021-10-22,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,570.0,-250,40829,-1%,-142500.0,,,,,DXCM
26,,2021-10-18 19:35:59,2021-10-15,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,549.22,-6000,90705,-6%,-3295334.0,,,,,DXCM
27,,2021-10-15 19:13:20,2021-10-13,DXCM,Patterson Chad,"EVP, Global Marketing",S - Sale,545.54,-141,9603,-1%,-76921.0,,,,,DXCM
28,,2021-10-05 18:28:13,2021-10-01,DXCM,Foletta Mark G,Dir,S - Sale,543.09,-500,14651,-3%,-271547.0,,,,,DXCM
29,,2021-09-24 20:01:56,2021-09-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,573.34,-6743,41079,-14%,-3866020.0,,,,,DXCM
30,,2021-09-16 19:01:53,2021-09-15,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,540.58,-6000,96705,-6%,-3243462.0,,,,,DXCM
31,,2021-09-15 16:14:29,2021-09-13,DXCM,Patterson Chad,"EVP, Global Marketing",S - Sale,541.47,-156,9744,-2%,-84469.0,,,,,DXCM
32,M,2021-09-13 20:19:33,2021-09-09,DXCM,Selvaraj Shelly Ramasamy,SVP Information Technology,S - Sale,549.0,-2904,13014,-18%,-1594281.0,,,,,DXCM
33,,2021-09-13 20:19:16,2021-09-09,DXCM,Balo Andrew K,*,S - Sale,546.78,-5597,21609,-21%,-3060337.0,,,,,DXCM
34,,2021-09-13 20:01:28,2021-09-09,DXCM,Sylvain Jereme M,"EVP, CFO",S - Sale,541.37,-407,13526,-3%,-220336.0,,,,,DXCM
35,,2021-09-13 20:01:12,2021-09-09,DXCM,Shrishrimal Sumi,SVP Chief Risk Officer,S - Sale,541.37,-407,12234,-3%,-220339.0,,,,,DXCM
36,,2021-09-13 20:01:10,2021-09-09,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,541.36,-3017,102705,-3%,-1633280.0,,,,,DXCM
37,,2021-09-13 20:00:53,2021-09-09,DXCM,Patterson Chad,"EVP, Global Marketing",S - Sale,541.37,-291,9900,-3%,-157538.0,,,,,DXCM
38,,2021-09-13 20:00:45,2021-09-09,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,541.37,-1263,47822,-3%,-683747.0,,,,,DXCM
39,,2021-09-13 20:00:29,2021-09-09,DXCM,Murphy Patrick Michael,"EVP, GC",S - Sale,541.37,-987,16254,-6%,-534327.0,,,,,DXCM
40,,2021-09-13 20:00:23,2021-09-09,DXCM,Leach Jacob Steven,EVP CTO,S - Sale,541.37,-1263,81146,-2%,-683748.0,,,,,DXCM
41,M,2021-09-13 20:00:01,2021-09-09,DXCM,Flynn Paul R,"EVP, Global Revenue",S - Sale,549.07,-1378,10928,-11%,-756621.0,,,,,DXCM
42,,2021-09-13 19:59:44,2021-09-09,DXCM,Abbey Donald,"EVP Quality, Regulatory Aff",S - Sale,541.37,-1263,48674,-3%,-683747.0,,,,,DXCM
43,M,2021-09-10 16:15:04,2021-09-08,DXCM,Blackford Quentin S.,COO,S - Sale,547.62,-18662,19280,-49%,-10219648.0,,,,,DXCM
44,,2021-09-08 18:54:19,2021-09-07,DXCM,Sylvain Jereme M,"EVP, CFO",S - Sale,545.41,-587,13933,-4%,-320156.0,,,,,DXCM
45,,2021-08-27 18:38:42,2021-08-26,DXCM,Murphy Patrick Michael,"EVP, GC",S - Sale,517.24,-500,17241,-3%,-258620.0,,,,,DXCM
46,,2021-08-25 16:59:54,2021-08-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,516.4,-1078,49085,-2%,-556678.0,,,,,DXCM
47,,2021-08-04 20:36:10,2021-08-03,DXCM,Balo Andrew K,*,S - Sale,515.87,-2757,27185,-9%,-1422247.0,,,,,DXCM
48,,2021-08-02 18:19:30,2021-07-30,DXCM,Leach Jacob Steven,EVP CTO,S - Sale,476.7,-12087,82378,-13%,-5761873.0,,,,,DXCM
49,,2021-07-27 18:04:02,2021-07-26,DXCM,Murphy Patrick Michael,"EVP, GC",S - Sale,458.79,-500,17741,-3%,-229395.0,,,,,DXCM
50,,2021-07-27 18:03:46,2021-07-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,452.18,-1079,50163,-2%,-487897.0,,,,,DXCM
51,,2021-07-16 20:40:32,2021-07-16,DXCM,Shrishrimal Sumi,SVP Chief Risk Officer,S - Sale,450.0,-400,12586,-3%,-180000.0,,,,,DXCM
52,,2021-07-08 19:45:51,2021-07-06,DXCM,Balo Andrew K,*,S - Sale,430.14,-2974,29942,-9%,-1279228.0,,,,,DXCM
53,,2021-06-29 19:05:45,2021-06-28,DXCM,Murphy Patrick Michael,"EVP, GC",S - Sale,431.49,-500,18241,-3%,-215745.0,,,,,DXCM
54,,2021-06-24 17:59:50,2021-06-22,DXCM,Skyler Jay S,Dir,S - Sale,426.37,-20000,24868,-45%,-8527406.0,,,,,DXCM
55,,2021-06-24 17:59:44,2021-06-23,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,426.92,-1079,51242,-2%,-460651.0,,,,,DXCM
56,,2021-06-15 18:14:54,2021-06-11,DXCM,Shrishrimal Sumi,SVP Chief Risk Officer,S - Sale,401.09,-400,12986,-3%,-160436.0,,,,,DXCM
57,,2021-06-10 17:43:26,2021-06-09,DXCM,Leach Jacob Steven,EVP CTO,S - Sale,395.0,-22755,94465,-19%,-8988225.0,,,,,DXCM
58,,2021-06-07 19:35:26,2021-06-03,DXCM,Augustinos Nicholas,Dir,S - Sale,366.99,-806,11010,-7%,-295794.0,,,,,DXCM
59,,2021-06-07 19:33:10,2021-06-03,DXCM,Balo Andrew K,*,S - Sale,375.0,-2391,32916,-7%,-896625.0,,,,,DXCM
60,,2021-06-01 21:14:36,2021-05-28,DXCM,Blackford Quentin S.,COO,S - Sale,375.0,-7223,37942,-16%,-2708625.0,,,,,DXCM
61,,2021-05-27 17:28:08,2021-05-25,DXCM,Shrishrimal Sumi,SVP Chief Risk Officer,S - Sale,354.79,-1461,13386,-10%,-518348.0,,,,,DXCM
62,,2021-05-27 17:27:55,2021-05-26,DXCM,Murphy Patrick Michael,"EVP, GC",S - Sale,350.0,-500,18741,-3%,-175000.0,,,,,DXCM
63,,2021-05-26 16:58:07,2021-05-24,DXCM,Sylvain Jereme M,"EVP, CFO",S - Sale,346.74,-600,14508,-4%,-208044.0,,,,,DXCM
64,,2021-05-26 16:57:55,2021-05-24,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures",S - Sale,348.71,-1079,52321,-2%,-376260.0,,,,,DXCM
65,,2021-05-05 17:35:37,2021-05-03,DXCM,Sayer Kevin R,"COB, CEO, Pres",S - Sale,379.88,-5535,105722,-5%,-2102626.0,,,,,DXCM
