,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-02 20:39:18,2022-02-28,GLDD,Hanson William H,"SVP, Gov't Relations, Bus Dev",S - Sale+OE,14.06,-1119,28685,-4%,-15734.0,,,,,GLDD
1,M,2021-11-16 16:04:08,2021-11-12,GLDD,Simonelli David E,COO,S - Sale,15.84,-5000,202073,-2%,-79183.0,,,,,GLDD
2,M,2021-11-02 20:33:52,2021-10-29,GLDD,Simonelli David E,COO,S - Sale,15.37,-5000,207073,-2%,-76835.0,,,,,GLDD
3,,2021-10-25 17:09:14,2021-10-21,GLDD,Dickerson Lawrence R,Dir,S - Sale,14.59,-1518,85648,-2%,-22148.0,,,,,GLDD
4,,2021-08-31 20:14:55,2021-08-27,GLDD,Simonelli David E,COO,S - Sale,14.97,-21064,212073,-9%,-315408.0,,,,,GLDD
5,D,2021-08-18 16:05:22,2021-08-16,GLDD,Simonelli David E,COO,S - Sale+OE,14.9,-21227,233137,-8%,-316365.0,,,,,GLDD
6,,2021-08-16 18:33:36,2021-08-13,GLDD,Simonelli David E,COO,S - Sale,14.85,-7567,233137,-3%,-112332.0,,,,,GLDD
7,,2021-08-12 16:51:58,2021-08-06,GLDD,Shipp Earl L,Dir,P - Purchase,14.58,1500,1500,New,21869.0,,,,,GLDD
8,,2021-07-14 16:21:43,2021-07-12,GLDD,Dickerson Lawrence R,Dir,S - Sale,14.5,-1568,84130,-2%,-22736.0,,,,,GLDD
9,A,2021-07-02 16:40:18,2020-06-11,GLDD,Levenson Ryan,Dir,S - Sale,9.33,-41879,150239,-22%,-390614.0,,,,,GLDD
10,,2021-06-16 17:02:28,2021-06-14,GLDD,Simonelli David E,COO,S - Sale,14.47,-8735,240704,-4%,-126352.0,,,,,GLDD
11,,2021-05-05 18:00:11,2021-05-03,GLDD,Simonelli David E,COO,S - Sale,16.14,-8566,249439,-3%,-138233.0,,,,,GLDD
12,,2021-04-28 16:31:10,2021-04-26,GLDD,Simonelli David E,COO,S - Sale,15.88,-12395,258005,-5%,-196819.0,,,,,GLDD
13,,2021-04-21 19:45:08,2021-04-19,GLDD,Simonelli David E,COO,S - Sale,15.14,-10913,270400,-4%,-165185.0,,,,,GLDD
14,D,2021-04-14 18:22:22,2021-04-12,GLDD,Simonelli David E,COO,S - Sale+OE,15.17,-36582,281313,-12%,-554983.0,,,,,GLDD
15,,2021-04-13 18:15:52,2021-04-09,GLDD,Dickerson Lawrence R,Dir,S - Sale,15.42,-1571,82562,-2%,-24225.0,,,,,GLDD
16,,2021-03-11 20:54:27,2021-03-09,GLDD,Simonelli David E,COO,S - Sale,15.28,-5864,281584,-2%,-89602.0,,,,,GLDD
17,,2021-03-10 21:59:27,2021-03-08,GLDD,Simonelli David E,COO,S - Sale,15.3,-4252,287447,-1%,-65065.0,,,,,GLDD
18,M,2021-03-02 17:28:05,2021-02-26,GLDD,Simonelli David E,COO,S - Sale,15.5,-17500,276244,-6%,-271223.0,,,,,GLDD
19,,2021-02-23 16:59:24,2021-02-22,GLDD,Simonelli David E,COO,S - Sale,15.15,-14999,293744,-5%,-227235.0,,,,,GLDD
20,D,2021-02-11 16:00:09,2021-02-08,GLDD,Simonelli David E,COO,S - Sale+OE,15.0,-23024,308743,-7%,-345374.0,,,,,GLDD
21,,2021-01-14 16:00:07,2021-01-12,GLDD,Dickerson Lawrence R,Dir,S - Sale,14.3,-1735,80991,-2%,-24811.0,,,,,GLDD
22,D,2021-01-08 16:00:07,2021-01-06,GLDD,Simonelli David E,COO,S - Sale+OE,14.11,-56025,308743,-15%,-790498.0,,,,,GLDD
23,,2020-12-23 16:00:07,2020-12-22,GLDD,Simonelli David E,COO,S - Sale,12.5,-4498,373857,-1%,-56245.0,,,,,GLDD
24,,2020-12-22 16:00:09,2020-12-18,GLDD,Simonelli David E,COO,S - Sale,12.22,-8528,378355,-2%,-104204.0,,,,,GLDD
25,,2020-12-15 18:07:12,2020-12-14,GLDD,Simonelli David E,COO,S - Sale,11.44,-9307,386883,-2%,-106491.0,,,,,GLDD
26,D,2020-12-15 17:00:14,2020-12-11,GLDD,Lavoy Kathleen Mackie,"SVP, GC",S - Sale+OE,11.41,-22629,119687,-16%,-258196.0,,,,,GLDD
27,,2020-12-14 17:30:08,2020-12-10,GLDD,Simonelli David E,COO,S - Sale,11.68,-8918,396190,-2%,-104183.0,,,,,GLDD
28,,2020-12-14 17:00:07,2020-12-10,GLDD,Levenson Ryan,Dir,S - Sale,11.64,-55955,82,-100%,-651532.0,,,,,GLDD
29,,2020-11-30 16:00:08,2020-11-25,GLDD,Simonelli David E,COO,S - Sale,11.47,-100,405108,0%,-1147.0,,,,,GLDD
30,M,2020-11-18 16:00:09,2020-11-16,GLDD,Simonelli David E,COO,S - Sale,11.3,-4202,405208,-1%,-47483.0,,,,,GLDD
31,D,2020-11-12 17:03:52,2020-11-10,GLDD,Simonelli David E,COO,S - Sale+OE,11.3,-20000,409410,-5%,-225972.0,,,,,GLDD
32,,2020-11-12 16:52:27,2020-11-10,GLDD,Hanson William H,"SVP, Gov't Relations, Bus Dev",S - Sale,11.0,-2630,25686,-9%,-28930.0,,,,,GLDD
33,,2020-08-25 17:57:19,2020-08-21,GLDD,Simonelli David E,COO,S - Sale,9.71,-3679,409410,-1%,-35712.0,,,,,GLDD
34,,2020-08-13 16:13:32,2020-08-11,GLDD,Hanson William H,"SVP, Gov't Relations, Bus Dev",S - Sale,10.3,-10000,28316,-26%,-103027.0,,,,,GLDD
35,M,2020-06-15 17:13:43,2020-06-11,GLDD,Levenson Ryan,Dir,S - Sale,9.02,-171897,56037,-75%,-1549745.0,,,,,GLDD
