,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-25 17:51:59,2022-03-18,HFBL,Brown Glen W.,"SVP, CFO",S - Sale+OE,20.75,-300,15367,-2%,-6225.0,,,,,HFBL
1,D,2022-01-19 16:02:58,2022-01-19,HFBL,Colquitt Walter T III,Dir,S - Sale+OE,20.4,-1436,30968,-4%,-29294.0,,,,,HFBL
2,AD,2022-01-18 17:01:57,2021-12-10,HFBL,Colquitt Walter T III,Dir,S - Sale+OE,19.74,-449,27384,-2%,-8863.0,,,,,HFBL
3,D,2021-05-24 10:18:46,2021-05-19,HFBL,Barlow James R,"COB, Pres, CEO***",S - Sale+OE,20.7,-205,159267,0%,-4244.0,,,,,HFBL
4,D,2021-05-20 14:31:10,2021-05-19,HFBL,Barlow James R,"COB, Pres, CEO***",S - Sale+OE,20.7,-205,159267,0%,-4244.0,,,,,HFBL
5,D,2021-05-20 13:13:20,2021-05-20,HFBL,Brown Glen W.,"SVP, CFO",S - Sale+OE,18.57,-700,14228,-5%,-12999.0,,,,,HFBL
6,D,2021-03-03 14:02:46,2021-03-01,HFBL,Lawrence Scott D,Dir,P - Purchase,31.23,1200,34101,+4%,37480.0,,,,,HFBL
7,D,2020-08-19 12:01:05,2020-08-18,HFBL,Barber David,SVP Mortgage Lending ***,S - Sale+OE,23.5,-459,10927,-4%,-10787.0,,,,,HFBL
8,D,2019-11-07 14:55:13,2019-11-06,HFBL,Colquitt Walter T III,Dir,S - Sale+OE,34.0,-88,11132,-1%,-2992.0,,,,,HFBL
9,DM,2019-08-22 17:36:08,2019-08-21,HFBL,Barlow James R,"Pres, CEO***",P - Purchase,32.35,730,60330,+1%,23617.0,,,,,HFBL
10,DM,2018-12-18 15:34:06,2018-11-27,HFBL,Wilhite Timothy W.,Dir,S - Sale+OE,31.95,-2800,18748,-13%,-89463.0,,,,,HFBL
11,D,2018-09-20 12:34:53,2018-09-19,HFBL,Barlow James R,"Pres, CEO***",S - Sale+OE,34.5,-2619,60643,-4%,-90356.0,,,,,HFBL
12,DM,2018-08-13 17:52:20,2018-08-09,HFBL,Barlow James R,"Pres, CEO***",S - Sale+OE,33.76,-1999,63179,-3%,-67484.0,,,,,HFBL
