,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-04-08 21:46:05,2022-04-06,CRTD,Weisberg Laurie,CEO,P - Purchase,0.0,50000,114249,+78%,50.0,,,,,LILM
1,D,2022-04-08 21:45:12,2022-04-06,CRTD,Pullano Chelsea,CFO,P - Purchase,0.01,35000,44818,+356%,350.0,,,,,LILM
2,D,2022-04-08 21:44:33,2022-04-06,CRTD,Maury Justin Fontaine,"COO, Pres",P - Purchase,0.01,50000,159060,+46%,500.0,,,,,LILM
3,D,2022-04-08 21:43:45,2022-04-06,CRTD,Frommer Jeremy,Exec COB,P - Purchase,0.0,50000,634669,+9%,50.0,,,,,LILM
4,,2022-04-08 09:51:42,2022-04-07,CRTD,Frommer Jeremy,Exec COB,P - Purchase,1.04,1203,584669,0%,1251.0,,,,,LILM
5,,2022-04-07 09:27:48,2022-04-06,CRTD,Frommer Jeremy,Exec COB,P - Purchase,1.01,5741,583466,+1%,5819.0,,,,,LILM
6,D,2022-03-10 09:36:23,2022-03-09,CRTD,Weisberg Laurie,CEO,P - Purchase,1.74,5714,64249,+10%,9942.0,,,,,LILM
7,D,2022-03-10 09:35:57,2022-03-09,CRTD,Pullano Chelsea,CFO,P - Purchase,1.74,571,9818,+6%,994.0,,,,,LILM
8,D,2022-03-10 09:35:37,2022-03-09,CRTD,Maury Justin Fontaine,"COO, Pres",P - Purchase,1.74,1429,109060,+1%,2486.0,,,,,LILM
9,D,2022-03-10 09:35:14,2022-03-09,CRTD,Frommer Jeremy,Exec COB,P - Purchase,1.74,14286,577725,+3%,24858.0,,,,,LILM
10,D,2022-03-03 15:00:49,2022-03-01,CRTD,Weisberg Laurie,CEO,P - Purchase,1.75,28571,58535,+95%,49999.0,,,,,LILM
11,D,2022-03-03 14:58:09,2022-03-01,CRTD,Maury Justin Fontaine,"COO, Pres",P - Purchase,1.75,5714,107631,+6%,10000.0,,,,,LILM
12,D,2022-03-03 14:56:40,2022-03-01,CRTD,Frommer Jeremy,Dir,P - Purchase,1.75,180000,563439,+47%,315000.0,,,,,LILM
13,D,2022-03-03 14:55:12,2022-03-01,CRTD,Pullano Chelsea,CFO,P - Purchase,1.75,1429,9247,+18%,2501.0,,,,,LILM
14,,2022-01-25 10:57:13,2022-01-24,CRTD,Frommer Jeremy,Co-CEO,P - Purchase,1.7,5903,383439,+2%,10014.0,,,,,LILM
15,,2022-01-24 16:45:40,2022-01-24,CRTD,Weisberg Laurie,Co-CEO,P - Purchase,1.68,2000,29964,+7%,3360.0,,,,,LILM
16,,2022-01-20 18:30:28,2022-01-20,CRTD,Maury Justin Fontaine,"COO, Pres",P - Purchase,2.06,500,101917,0%,1030.0,,,,,LILM
17,M,2022-01-19 14:48:12,2022-01-18,CRTD,Frommer Jeremy,Co-CEO,P - Purchase,2.02,2472,377536,+1%,5004.0,,,,,LILM
18,,2022-01-14 16:53:42,2022-01-14,CRTD,Frommer Jeremy,Co-CEO,P - Purchase,1.95,2568,375064,+1%,5006.0,,,,,LILM
19,,2022-01-14 13:22:33,2022-01-14,CRTD,Frommer Jeremy,Co-CEO,P - Purchase,2.0,3251,372550,+1%,6510.0,,,,,LILM
