,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2022-04-07 18:39:52,2022-04-05,LOVE,McLallen Walter Field,Dir,P - Purchase,49.56,5000,8891,+129%,247815.0,,,,,LOVE
1,,2022-04-07 10:04:39,2022-04-05,LOVE,Nelson Shawn David,CEO,S - Sale,49.43,-7000,224518,-3%,-346007.0,,,,,LOVE
2,,2022-01-18 16:19:41,2022-01-14,LOVE,Krause Albert Jack,Chief Strategy Officer,S - Sale,55.06,-2500,105328,-2%,-137640.0,,,,,LOVE
3,,2022-01-03 17:02:18,2021-12-30,LOVE,Heyer Andrew R,Dir,S - Sale,66.5,-19623,404975,-5%,-1304930.0,,,,,LOVE
4,M,2021-12-29 19:03:01,2021-12-27,LOVE,Heyer Andrew R,Dir,S - Sale,67.99,-20366,424598,-5%,-1384734.0,,,,,LOVE
5,,2021-12-16 16:51:56,2021-12-15,LOVE,Romig Shirley,Dir,S - Sale,69.7,-2500,8116,-24%,-174260.0,,,,,LOVE
6,M,2021-12-16 16:28:25,2021-12-14,LOVE,McLallen Walter Field,Dir,S - Sale,71.45,-1626,3891,-29%,-116185.0,,,,,LOVE
7,,2021-12-15 17:24:57,2021-12-14,LOVE,Fox Mary,"Pres, COO",S - Sale,70.45,-4868,4126,-54%,-342926.0,,,,,LOVE
8,,2021-12-14 21:00:15,2021-12-10,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,85.03,-598,465203,0%,-50848.0,,,,,LOVE
9,,2021-11-24 17:22:07,2021-11-22,LOVE,Heyer Andrew R,Dir,S - Sale,85.31,-20148,444964,-4%,-1718826.0,,,,,LOVE
10,M,2021-11-22 19:59:18,2021-11-18,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,85.43,-72289,465801,-13%,-6175321.0,,,,,LOVE
11,M,2021-11-19 20:03:41,2021-11-17,LOVE,Heyer Andrew R,Dir,S - Sale,85.38,-42910,465112,-8%,-3663450.0,,,,,LOVE
12,M,2021-11-16 21:37:03,2021-11-12,LOVE,Heyer Andrew R,Dir,S - Sale,85.12,-44407,508022,-8%,-3779707.0,,,,,LOVE
13,M,2021-11-16 20:09:02,2021-11-12,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,85.14,-32167,538090,-6%,-2738760.0,,,,,LOVE
14,,2021-11-08 20:41:44,2021-11-04,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,82.13,-70100,570257,-11%,-5757256.0,,,,,LOVE
15,,2021-11-08 16:11:09,2021-11-04,LOVE,Heyer Andrew R,Dir,S - Sale,85.0,-1592,200765,-1%,-135320.0,,,,,LOVE
16,M,2021-11-03 21:32:55,2021-11-01,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,80.46,-129600,640357,-17%,-10427029.0,,,,,LOVE
17,,2021-10-27 19:12:35,2021-10-25,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,80.03,-1400,769957,0%,-112042.0,,,,,LOVE
18,,2021-10-25 19:45:00,2021-10-21,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,80.06,-49000,771357,-6%,-3922940.0,,,,,LOVE
19,,2021-10-21 16:11:10,2021-10-19,LOVE,Heyer Andrew R,Dir,S - Sale,75.0,-10965,554021,-2%,-822375.0,,,,,LOVE
20,,2021-10-19 16:01:14,2021-10-18,LOVE,Nelson Shawn David,CEO,S - Sale,67.72,-6000,82145,-7%,-406327.0,,,,,LOVE
21,,2021-09-29 20:27:34,2021-09-27,LOVE,Heyer Andrew R,Dir,S - Sale,75.51,-43443,564986,-7%,-3280429.0,,,,,LOVE
22,M,2021-09-27 17:21:15,2021-09-23,LOVE,Heyer Andrew R,Dir,S - Sale,75.29,-96000,608429,-14%,-7227420.0,,,,,LOVE
23,M,2021-09-23 18:41:53,2021-09-21,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,71.54,-69290,820357,-8%,-4956672.0,,,,,LOVE
24,,2021-09-14 18:38:01,2021-09-10,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,70.0,-15710,889647,-2%,-1099700.0,,,,,LOVE
25,,2021-07-20 16:02:29,2021-07-19,LOVE,Nelson Shawn David,CEO,S - Sale,57.31,-6000,88145,-6%,-343873.0,,,,,LOVE
26,,2021-07-16 16:32:47,2021-07-14,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,65.73,-5900,905357,-1%,-387783.0,,,,,LOVE
27,,2021-07-15 16:02:24,2021-07-14,LOVE,Krause Albert Jack,"Pres, COO",S - Sale,63.7,-25000,107828,-19%,-1592500.0,,,,,LOVE
28,M,2021-07-14 19:45:34,2021-07-12,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,66.92,-36000,911257,-4%,-2409115.0,,,,,LOVE
29,,2021-07-07 20:55:12,2021-07-02,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,76.68,-915,947257,0%,-70160.0,,,,,LOVE
30,M,2021-07-01 21:17:34,2021-06-29,LOVE,"Satori Capital, LLC",Affiliate of reporting person,S - Sale,79.19,-84364,948172,-8%,-6680664.0,,,,,LOVE
31,,2021-07-01 16:02:17,2021-06-30,LOVE,Dellomo Donna,"EVP, CFO",S - Sale,80.04,-3275,73002,-4%,-262131.0,,,,,LOVE
32,M,2021-07-01 11:52:37,2021-06-29,LOVE,Heyer Andrew R,Dir,S - Sale,80.24,-69749,704429,-9%,-5596536.0,,,,,LOVE
