,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-02 18:20:12,2022-03-01,MSFT,Nadella Satya,CEO,S - Sale,296.53,-7931,809645,-1%,-2351736.0,,,,,MSFT
1,,2022-02-09 18:16:05,2022-02-08,MSFT,Smith Bradford L,"Pres, Vice Chair",S - Sale,304.64,-27860,622460,-4%,-8487170.0,,,,,MSFT
2,M,2022-02-01 18:15:17,2022-01-28,MSFT,Walmsley Emma N,Dir,P - Purchase,303.26,3300,8818,+60%,1000761.0,,,,,MSFT
3,D,2021-12-08 17:59:22,2021-12-07,MSFT,List Teri,Dir,S - Sale+OE,334.9,-1650,1654,-50%,-552578.0,,,,,MSFT
4,M,2021-11-24 18:02:23,2021-11-22,MSFT,Nadella Satya,CEO,S - Sale,340.26,-838584,830791,-50%,-285338535.0,,,,,MSFT
5,,2021-11-03 18:13:01,2021-11-02,MSFT,Althoff Judson,"EVP, Chief Commercial Officer",S - Sale,332.28,-54757,139586,-28%,-18194837.0,,,,,MSFT
6,,2021-11-02 18:03:55,2021-11-01,MSFT,Smith Bradford L,"Pres, Vice Chair",S - Sale,328.6,-55000,654820,-8%,-18073050.0,,,,,MSFT
7,,2021-09-13 18:05:14,2021-09-10,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,298.68,-20000,183988,-10%,-5973540.0,,,,,MSFT
8,,2021-09-13 18:03:54,2021-09-10,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,298.82,-10000,97023,-9%,-2988176.0,,,,,MSFT
9,,2021-09-03 18:05:42,2021-09-01,MSFT,Hood Amy,"EVP, CFO",S - Sale,303.08,-60000,463259,-11%,-18184980.0,,,,,MSFT
10,,2021-09-01 20:12:28,2021-09-01,MSFT,Nadella Satya,CEO,S - Sale,303.28,-75573,1669375,-4%,-22920037.0,,,,,MSFT
11,M,2021-05-14 18:09:23,2021-05-12,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,243.01,-3914,87897,-4%,-951151.0,,,,,MSFT
12,,2021-05-11 18:02:45,2021-05-10,MSFT,Smith Bradford L,Pres,S - Sale,250.27,-8000,646408,-1%,-2002161.0,,,,,MSFT
13,,2021-05-10 18:09:59,2021-05-07,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,252.66,-6086,91811,-6%,-1537711.0,,,,,MSFT
14,,2021-03-11 18:04:46,2021-03-10,MSFT,Walmsley Emma N,Dir,P - Purchase,236.8,4300,5026,+592%,1018240.0,,,,,MSFT
15,,2021-03-03 18:09:52,2021-03-02,MSFT,Nadella Satya,CEO,S - Sale,234.81,-278694,1504329,-16%,-65440051.0,,,,,MSFT
16,,2021-02-01 18:05:30,2021-01-28,MSFT,Courtois Jean Philippe,EVP,S - Sale,239.6,-18358,900697,-2%,-4398520.0,,,,,MSFT
17,,2020-12-11 18:17:05,2020-12-09,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,212.43,-30000,189064,-14%,-6372801.0,,,,,MSFT
18,,2020-11-06 17:54:29,2020-11-05,MSFT,Nadella Satya,CEO,S - Sale,222.52,-104500,1392573,-7%,-23253330.0,,,,,MSFT
19,,2020-11-06 17:52:12,2020-11-05,MSFT,Smith Bradford L,Pres,S - Sale,222.58,-200000,708501,-22%,-44515472.0,,,,,MSFT
20,M,2020-09-11 18:05:11,2020-09-09,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,209.8,-30000,98943,-23%,-6294048.0,,,,,MSFT
21,,2020-09-09 18:23:23,2020-09-08,MSFT,Walmsley Emma N,Dir,S - Sale,206.51,-42,414,-9%,-8673.0,,,,,MSFT
22,A,2020-09-08 14:12:29,2020-09-01,MSFT,Nadella Satya,CEO,S - Sale,226.13,-83572,1463818,-5%,-18898358.0,,,,,MSFT
23,,2020-09-04 17:49:16,2020-09-03,MSFT,Hood Amy,"EVP, CFO",S - Sale,218.14,-80000,452720,-15%,-17451200.0,,,,,MSFT
24,E,2020-09-02 17:31:34,2020-09-01,MSFT,Nadella Satya,CEO,S - Sale,27.06,-83572,1463818,-5%,-2261327.0,,,,,MSFT
25,,2020-08-26 18:02:42,2020-08-25,MSFT,Courtois Jean Philippe,EVP,S - Sale,213.59,-15014,852266,-2%,-3206771.0,,,,,MSFT
26,,2020-08-18 17:58:08,2020-08-17,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,209.9,-30871,176,-99%,-6479764.0,,,,,MSFT
27,,2020-08-07 17:55:50,2020-08-06,MSFT,Courtois Jean Philippe,EVP,S - Sale,215.0,-15140,867280,-2%,-3255100.0,,,,,MSFT
28,,2020-06-08 18:38:01,2020-06-08,MSFT,Walmsley Emma N,Dir,S - Sale,186.05,-49,293,-14%,-9117.0,,,,,MSFT
29,,2020-05-04 18:00:50,2020-05-01,MSFT,Johnson Margaret L,"EVP, Business Development",S - Sale,176.08,-35000,306193,-10%,-6162800.0,,,,,MSFT
30,,2020-05-04 17:58:27,2020-05-01,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,176.94,-3000,57136,-5%,-530811.0,,,,,MSFT
31,,2020-03-04 18:23:25,2020-03-03,MSFT,Walmsley Emma N,Dir,S - Sale,164.58,-54,151,-26%,-8887.0,,,,,MSFT
32,,2020-03-04 18:18:53,2020-03-03,MSFT,Nadella Satya,CEO,S - Sale,168.47,-280174,1349105,-17%,-47200996.0,,,,,MSFT
33,,2020-03-04 18:03:45,2020-03-03,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,173.8,-5000,60136,-8%,-869000.0,,,,,MSFT
34,,2020-02-04 18:17:27,2020-02-04,MSFT,Courtois Jean Philippe,EVP,S - Sale,179.55,-18000,889292,-2%,-3231810.0,,,,,MSFT
35,,2019-12-09 18:12:28,2019-12-05,MSFT,Johnson Margaret L,"EVP, Business Development",S - Sale,150.01,-35000,345150,-9%,-5250462.0,,,,,MSFT
36,,2019-12-02 18:26:32,2019-08-01,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,138.06,-3372,133317,-2%,-465542.0,,,,,MSFT
37,M,2019-11-07 17:59:55,2019-11-06,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,144.58,-10000,111444,-8%,-1445771.0,,,,,MSFT
38,M,2019-11-05 17:59:21,2019-11-04,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,144.59,-5000,121444,-4%,-722925.0,,,,,MSFT
39,M,2019-10-30 18:05:58,2019-10-29,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,143.73,-10000,126444,-7%,-1437291.0,,,,,MSFT
40,M,2019-10-28 18:04:06,2019-10-25,MSFT,Courtois Jean Philippe,EVP,S - Sale,142.89,-24419,907292,-3%,-3489152.0,,,,,MSFT
41,,2019-09-11 18:16:31,2019-09-10,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,135.58,-9000,119579,-7%,-1220217.0,,,,,MSFT
42,,2019-09-11 18:14:21,2019-09-10,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,135.25,-40000,198042,-17%,-5409972.0,,,,,MSFT
43,M,2019-09-06 18:23:52,2019-09-05,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,139.93,-18500,128579,-13%,-2588616.0,,,,,MSFT
44,,2019-09-05 18:36:44,2019-09-04,MSFT,Nadella Satya,CEO,S - Sale,137.2,-99837,1114086,-8%,-13697323.0,,,,,MSFT
45,,2019-09-05 18:34:01,2019-09-04,MSFT,Hood Amy,"EVP, CFO",S - Sale,137.26,-123769,433940,-22%,-16988657.0,,,,,MSFT
46,,2019-09-05 18:29:32,2019-09-05,MSFT,Courtois Jean Philippe,EVP,S - Sale,140.0,-11779,904509,-1%,-1649060.0,,,,,MSFT
47,,2019-09-05 18:23:50,2019-09-05,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,139.36,-12500,147079,-8%,-1741938.0,,,,,MSFT
48,,2019-09-05 18:20:59,2019-09-04,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,137.17,-4000,54306,-7%,-548680.0,,,,,MSFT
49,,2019-08-14 18:30:22,2019-08-13,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,138.15,-7000,122817,-5%,-967050.0,,,,,MSFT
50,,2019-08-12 18:06:26,2019-08-08,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,138.0,-3500,129817,-3%,-483006.0,,,,,MSFT
51,,2019-08-05 18:04:52,2019-08-01,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,138.06,-3372,133317,-2%,-465542.0,,,,,MSFT
52,,2019-07-30 18:39:25,2019-07-29,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,141.05,-4000,64152,-6%,-564216.0,,,,,MSFT
53,,2019-06-11 18:03:00,2019-06-10,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,133.17,-15947,202518,-7%,-2123654.0,,,,,MSFT
54,M,2019-05-15 17:55:22,2019-05-14,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,126.02,-5000,141934,-3%,-630099.0,,,,,MSFT
55,,2019-05-07 18:20:04,2019-05-03,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,128.87,-3000,148534,-2%,-386620.0,,,,,MSFT
56,,2019-05-02 18:08:00,2019-04-30,MSFT,Smith Bradford L,Pres,S - Sale,130.34,-192300,754442,-20%,-25064209.0,,,,,MSFT
57,M,2019-03-11 18:17:34,2019-03-08,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,111.48,-10500,151366,-6%,-1170543.0,,,,,MSFT
58,,2019-03-01 18:34:57,2019-03-01,MSFT,Nadella Satya,CEO,S - Sale,112.31,-15334,1089598,-1%,-1722189.0,,,,,MSFT
59,,2019-03-01 18:17:32,2019-02-28,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,112.76,-7220,45849,-14%,-814127.0,,,,,MSFT
