,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-04-04 16:25:00,2022-03-31,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.1,13,1407681,0%,131.0,,,,,NSYS
1,,2022-03-30 18:26:18,2020-12-24,NSYS,Jones Christopher Dean,CFO,P - Purchase,6.02,5803,50000,+13%,34913.0,,,,,NSYS
2,M,2022-03-30 18:25:15,2022-03-28,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.1,4752,1407668,0%,47982.0,,,,,NSYS
3,M,2022-03-25 17:34:20,2022-03-23,NSYS,Kunin David B,"Dir, 10%",P - Purchase,9.91,2232,1402916,0%,22126.0,,,,,NSYS
4,,2022-03-01 17:16:05,2022-02-25,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.15,845,1397684,0%,8576.0,,,,,NSYS
5,M,2022-02-25 16:50:53,2022-02-23,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.03,1612,1448767,0%,16175.0,,,,,NSYS
6,M,2022-02-22 18:08:11,2022-02-17,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.05,1683,1445543,0%,16913.0,,,,,NSYS
7,M,2022-02-15 16:02:11,2022-02-11,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.02,2443,1393544,0%,24481.0,,,,,NSYS
8,,2022-02-10 17:01:33,2022-02-08,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.0,767,1391101,0%,7670.0,,,,,NSYS
9,M,2022-02-07 14:55:54,2022-02-03,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.17,1762,1390334,0%,17922.0,,,,,NSYS
10,M,2022-02-02 16:44:21,2022-01-31,NSYS,Kunin David B,"Dir, 10%",P - Purchase,10.13,2985,1388572,0%,30247.0,,,,,NSYS
