,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,DM,2021-12-03 21:57:59,2021-12-02,RESN,Kelly Dylan,COO,S - Sale+OE,1.84,-43500,174197,-20%,-79972.0,,,,,RESN
1,DM,2021-12-03 21:43:21,2021-12-02,RESN,Fenzi Neal,CTO,S - Sale+OE,1.84,-14995,584769,-3%,-27567.0,,,,,RESN
2,DM,2021-12-03 21:28:50,2021-12-02,RESN,Holmes George B,CEO,S - Sale+OE,1.84,-66201,500436,-12%,-121706.0,,,,,RESN
3,DM,2021-12-03 21:12:40,2021-12-02,RESN,Wolf Lisa G,Chief Accounting Officer,S - Sale+OE,1.84,-17859,170608,-9%,-32832.0,,,,,RESN
4,M,2021-11-19 18:17:03,2021-11-17,RESN,Wolf Lisa G,Chief Accounting Officer,S - Sale,2.27,-4902,148781,-3%,-11123.0,,,,,RESN
5,M,2021-11-19 17:49:37,2021-11-17,RESN,McDermut Martin S,CFO,S - Sale,2.27,-4479,192050,-2%,-10163.0,,,,,RESN
6,M,2021-11-19 17:39:00,2021-11-17,RESN,Fenzi Neal,CTO,S - Sale,2.27,-3880,558736,-1%,-8804.0,,,,,RESN
7,M,2021-11-19 17:16:05,2021-11-17,RESN,Kelly Dylan,COO,S - Sale,2.27,-3884,98643,-4%,-8813.0,,,,,RESN
8,,2021-08-19 18:41:03,2021-08-18,RESN,Fenzi Neal,CTO,S - Sale,2.59,-2540,552299,0%,-6579.0,,,,,RESN
9,,2021-08-19 18:34:15,2021-08-18,RESN,McDermut Martin S,CFO,S - Sale,2.58,-2964,184611,-2%,-7647.0,,,,,RESN
10,,2021-08-19 18:29:48,2021-08-18,RESN,Wolf Lisa G,Chief Accounting Officer,S - Sale,2.57,-3567,143085,-2%,-9156.0,,,,,RESN
11,,2021-08-19 18:24:34,2021-08-18,RESN,Kelly Dylan,COO,S - Sale,2.59,-2287,92199,-2%,-5924.0,,,,,RESN
12,,2021-05-21 20:18:25,2021-05-19,RESN,Wolf Lisa G,Chief Accounting Officer,S - Sale,2.76,-4746,140306,-3%,-13078.0,,,,,RESN
13,,2021-05-21 19:51:01,2021-05-19,RESN,McDermut Martin S,CFO,S - Sale,2.81,-3713,179460,-2%,-10445.0,,,,,RESN
14,,2021-05-21 19:45:39,2021-05-19,RESN,Fenzi Neal,CTO,S - Sale,2.77,-2647,547887,0%,-7334.0,,,,,RESN
15,,2021-05-21 19:40:29,2021-05-19,RESN,Kelly Dylan,COO,S - Sale,2.8,-2606,88225,-3%,-7297.0,,,,,RESN
16,,2021-05-21 19:35:56,2021-05-19,RESN,Carberry Marybeth,EVP of Business Operations,S - Sale,2.76,-4929,78692,-6%,-13613.0,,,,,RESN
17,,2021-05-20 16:01:21,2021-05-18,RESN,Howe Alan B,Dir,P - Purchase,2.87,5000,42736,+13%,14370.0,,,,,RESN
18,,2021-05-18 21:37:57,2021-05-14,RESN,Wolf Lisa G,Chief Accounting Officer,S - Sale,2.54,-6655,145052,-4%,-16904.0,,,,,RESN
19,,2021-05-17 21:10:42,2021-05-14,RESN,McDermut Martin S,CFO,S - Sale,2.55,-2560,183173,-1%,-6528.0,,,,,RESN
20,,2021-05-17 21:06:06,2021-05-14,RESN,Fenzi Neal,CTO,S - Sale,2.54,-2134,550534,0%,-5420.0,,,,,RESN
21,,2021-05-17 21:01:34,2021-05-14,RESN,Kelly Dylan,COO,S - Sale,2.6,-2509,90831,-3%,-6511.0,,,,,RESN
22,,2021-05-17 20:12:52,2021-05-14,RESN,Carberry Marybeth,EVP of Business Operations,S - Sale,2.58,-6513,83621,-7%,-16774.0,,,,,RESN
23,,2021-04-02 16:27:08,2021-04-01,RESN,Carberry Marybeth,EVP of Business Operations,S - Sale,4.36,-4000,68877,-5%,-17445.0,,,,,RESN
24,,2021-01-07 17:38:27,2021-01-05,RESN,Carberry Marybeth,EVP of Business Operations,S - Sale,4.0,-4000,72877,-5%,-16000.0,,,,,RESN
25,D,2020-12-03 21:01:20,2020-12-02,RESN,Holmes George B,CEO,S - Sale+OE,2.17,-55750,426796,-12%,-121033.0,,,,,RESN
26,D,2020-12-03 20:27:46,2020-12-02,RESN,Carberry Marybeth,EVP of Business Operations,S - Sale+OE,2.19,-25311,76877,-25%,-55325.0,,,,,RESN
27,D,2020-12-03 19:28:21,2020-12-02,RESN,Fenzi Neal,CTO,S - Sale+OE,2.17,-12945,539006,-2%,-28091.0,,,,,RESN
28,D,2020-12-03 19:02:02,2020-12-02,RESN,McDermut Martin S,CFO,S - Sale+OE,2.17,-22022,167964,-12%,-47871.0,,,,,RESN
29,D,2020-12-03 18:45:08,2020-12-02,RESN,Kelly Dylan,COO,S - Sale+OE,2.18,-36670,78622,-32%,-79908.0,,,,,RESN
30,,2020-11-18 21:45:02,2020-11-17,RESN,McDermut Martin S,CFO,S - Sale,2.29,-4965,129546,-4%,-11384.0,,,,,RESN
31,,2020-11-18 21:24:20,2020-11-17,RESN,Fenzi Neal,CTO,S - Sale,2.29,-4360,516561,-1%,-9963.0,,,,,RESN
32,,2020-11-18 21:17:57,2020-11-17,RESN,Carberry Marybeth,EVP of Business Operations,S - Sale,2.29,-6256,57395,-10%,-14313.0,,,,,RESN
