,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-11-03 21:36:48,2021-11-03,SCHN,Henderson Michael R,"SVP, Pres, Operations",S - Sale,52.11,-7721,120755,-6%,-402341.0,,,,,SCHN
1,,2021-11-03 21:33:02,2021-11-03,SCHN,Saba Peter B,"SVP, GC, Corp. Secretary",S - Sale,51.6,-6038,60433,-9%,-311561.0,,,,,SCHN
2,,2021-11-03 21:29:18,2021-11-03,SCHN,Heiskell Steven,"SVP, Products, Services",S - Sale,52.26,-7908,111386,-7%,-413272.0,,,,,SCHN
3,,2021-11-03 21:28:41,2021-11-02,SCHN,Gaggini Stefano R.,"VP, Deputy CFO, CAO",S - Sale,51.34,-4577,50479,-8%,-234983.0,,,,,SCHN
4,,2021-05-05 20:47:05,2021-05-04,SCHN,Saba Peter B,"SVP, GC, Corp. Secretary",S - Sale,50.6,-1149,62842,-2%,-58139.0,,,,,SCHN
5,,2021-05-05 20:46:01,2021-05-05,SCHN,Peach Richard,"EVP, CFO",S - Sale,53.86,-16319,186807,-8%,-878941.0,,,,,SCHN
6,,2021-05-05 20:43:37,2021-05-04,SCHN,Henderson Michael R,"SVP, Pres, Operations",S - Sale,52.37,-1625,125695,-1%,-85101.0,,,,,SCHN
7,,2021-05-05 20:42:57,2021-05-04,SCHN,Heiskell Steven,"SVP, Products, Services",S - Sale,52.13,-1649,116140,-1%,-85962.0,,,,,SCHN
8,,2021-05-05 20:41:47,2021-05-04,SCHN,Gaggini Stefano R.,"VP, Deputy CFO, CAO",S - Sale,51.4,-1026,51709,-2%,-52736.0,,,,,SCHN
9,,2020-11-12 20:21:39,2020-11-12,SCHN,Carter John D,Dir,S - Sale,22.24,-4416,90474,-5%,-98212.0,,,,,SCHN
10,,2020-11-04 21:31:44,2020-11-03,SCHN,Saba Peter B,"SVP, GC, Corp. Secretary",S - Sale,21.52,-9049,53262,-15%,-194734.0,,,,,SCHN
11,,2020-11-04 21:29:34,2020-11-03,SCHN,Henderson Michael R,"SVP, Pres of Operations",S - Sale,21.52,-10630,111425,-9%,-228758.0,,,,,SCHN
12,,2020-11-04 21:28:49,2020-11-03,SCHN,Heiskell Steven,"SVP, Pres Svcs, Products",S - Sale,21.39,-10549,101843,-9%,-225643.0,,,,,SCHN
13,,2020-11-04 21:27:49,2020-11-03,SCHN,Gaggini Stefano R.,"VP, Deputy CFO, CAO",S - Sale,21.4,-3975,42476,-9%,-85065.0,,,,,SCHN
14,,2019-11-05 21:20:52,2019-11-04,SCHN,Saba Peter B,"SVP, GC, Corp. Secretary",S - Sale,22.14,-9333,39592,-19%,-206633.0,,,,,SCHN
15,,2019-11-05 21:20:11,2019-11-05,SCHN,Peach Richard,"SVP, CFO",S - Sale,21.86,-24090,138896,-15%,-526607.0,,,,,SCHN
16,M,2019-11-05 21:18:22,2019-11-04,SCHN,Henderson Michael R,"SVP, Co-Pres of AMR, CSS",S - Sale,22.19,-15231,88759,-15%,-338001.0,,,,,SCHN
17,,2019-11-05 21:14:01,2019-11-04,SCHN,Heiskell Steven,"SVP, Co-Pres, AMR",S - Sale,22.13,-14379,79263,-15%,-318207.0,,,,,SCHN
18,,2019-11-05 21:13:08,2019-11-04,SCHN,Gaggini Stefano R.,"VP, Deputy CFO, CAO",S - Sale,22.25,-4806,28155,-15%,-106934.0,,,,,SCHN
19,,2019-04-29 19:02:42,2019-04-26,SCHN,Dyck Jeffery,"SVP, Co-Pres, CSS",S - Sale,23.94,-5337,85956,-6%,-127768.0,,,,,SCHN
20,,2018-11-08 18:03:43,2018-11-06,SCHN,Heiskell Steven,"SVP, Co-Pres, AMR",S - Sale,27.26,-13316,65556,-17%,-362994.0,,,,,SCHN
21,,2018-11-08 18:03:19,2018-11-06,SCHN,Peach Richard,"SVP, CFO",S - Sale,27.29,-18067,128666,-12%,-492965.0,,,,,SCHN
22,,2018-11-02 20:13:14,2018-11-02,SCHN,Gaggini Stefano R.,"VP, Deputy CFO, CAO",S - Sale,26.75,-4401,21640,-17%,-117727.0,,,,,SCHN
23,,2018-11-02 20:11:16,2018-11-02,SCHN,Henderson Michael R,"SVP, Co-Pres of AMR, CSS",S - Sale,27.03,-14311,76375,-16%,-386826.0,,,,,SCHN
24,,2018-11-02 20:09:57,2018-11-02,SCHN,Saba Peter B,"SVP, GC, Corp. Secretary",S - Sale,26.64,-7356,29448,-20%,-195964.0,,,,,SCHN
25,,2018-10-30 19:32:13,2018-10-26,SCHN,Peach Richard,"SVP, CFO",S - Sale,27.56,-6030,131298,-4%,-166187.0,,,,,SCHN
26,,2018-07-11 17:37:30,2018-07-10,SCHN,Carter John D,Dir,S - Sale,37.02,-13676,130390,-9%,-506286.0,,,,,SCHN
