,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,1.75,1.873333,1.686667,1.873333,1.873333,14700,ACMR
1,2018-01-03,1.866667,1.874,1.733667,1.766667,1.766667,28800,ACMR
2,2018-01-04,1.756667,1.82,1.715333,1.771667,1.771667,9300,ACMR
3,2018-01-05,1.766667,1.842667,1.766667,1.836667,1.836667,8400,ACMR
4,2018-01-08,1.85,1.85,1.726667,1.746667,1.746667,78900,ACMR
5,2018-01-09,1.738,1.813,1.736667,1.746667,1.746667,33600,ACMR
6,2018-01-10,1.843,1.85,1.72,1.73,1.73,46800,ACMR
7,2018-01-11,1.746667,1.798333,1.74,1.746667,1.746667,6600,ACMR
8,2018-01-12,1.756667,1.793333,1.676667,1.723333,1.723333,38400,ACMR
9,2018-01-16,1.733333,1.743333,1.603333,1.646667,1.646667,96600,ACMR
10,2018-01-17,1.603333,1.69,1.603333,1.666667,1.666667,50100,ACMR
11,2018-01-18,1.666667,1.675,1.653333,1.653333,1.653333,9900,ACMR
12,2018-01-19,1.606667,1.676667,1.6,1.663333,1.663333,90900,ACMR
13,2018-01-22,1.666667,1.672,1.581333,1.583333,1.583333,100800,ACMR
14,2018-01-23,1.666667,1.989667,1.666667,1.886667,1.886667,913800,ACMR
15,2018-01-24,1.906667,2.116667,1.766667,1.81,1.81,506400,ACMR
16,2018-01-25,1.83,1.903333,1.766667,1.77,1.77,312600,ACMR
17,2018-01-26,1.766667,1.8,1.75,1.766667,1.766667,125700,ACMR
18,2018-01-29,1.851,1.851,1.783333,1.813333,1.813333,54900,ACMR
19,2018-01-30,1.82,1.821667,1.703333,1.703333,1.703333,99900,ACMR
20,2018-01-31,1.713333,1.84,1.713333,1.79,1.79,200700,ACMR
21,2018-02-01,1.766667,2.096667,1.766667,2.0,2.0,467400,ACMR
22,2018-02-02,2.003333,2.096667,1.955,2.036667,2.036667,110100,ACMR
23,2018-02-05,2.063333,2.278333,2.06,2.25,2.25,194400,ACMR
24,2018-02-06,2.11,2.276667,2.04,2.276667,2.276667,136200,ACMR
25,2018-02-07,2.26,2.306667,2.203333,2.26,2.26,25800,ACMR
26,2018-02-08,2.26,2.26,2.11,2.146667,2.146667,44100,ACMR
27,2018-02-09,2.15,2.309,2.149,2.166667,2.166667,154500,ACMR
28,2018-02-12,2.15,2.193333,2.15,2.193333,2.193333,14700,ACMR
29,2018-02-13,2.272,2.272,2.14,2.173333,2.173333,51900,ACMR
30,2018-02-14,2.176667,2.2,2.066667,2.08,2.08,69600,ACMR
31,2018-02-15,2.076667,2.216667,2.076667,2.136667,2.136667,177600,ACMR
32,2018-02-16,2.2,2.2,2.133333,2.16,2.16,73200,ACMR
33,2018-02-20,2.171333,2.218,2.171333,2.186667,2.186667,8100,ACMR
34,2018-02-21,2.216667,2.48,2.2,2.283333,2.283333,106500,ACMR
35,2018-02-22,2.333333,2.386667,2.321667,2.336667,2.336667,24600,ACMR
36,2018-02-23,2.403333,2.46,2.333333,2.386667,2.386667,108600,ACMR
37,2018-02-26,2.416667,2.441667,2.323333,2.33,2.33,46200,ACMR
38,2018-02-27,2.346667,2.363333,2.33,2.363333,2.363333,109800,ACMR
39,2018-02-28,2.333333,2.35,2.24,2.266667,2.266667,83400,ACMR
40,2018-03-01,2.236667,2.325333,2.196667,2.24,2.24,13200,ACMR
41,2018-03-02,2.253333,2.413333,2.21,2.413333,2.413333,108600,ACMR
42,2018-03-05,2.666667,2.813333,2.500333,2.618333,2.618333,497700,ACMR
43,2018-03-06,2.68,4.396667,2.653333,3.666667,3.666667,3630300,ACMR
44,2018-03-07,3.733333,4.243,3.49,3.996667,3.996667,879900,ACMR
45,2018-03-08,4.036667,4.58,4.036667,4.486667,4.486667,751200,ACMR
46,2018-03-09,4.566667,4.566667,4.223333,4.376667,4.376667,481200,ACMR
47,2018-03-12,4.346667,4.833,4.344667,4.566667,4.566667,311400,ACMR
