,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,3.12,3.29,3.11,3.2,3.2,29100,ALJJ
1,2018-01-03,3.2,3.23,3.16,3.2,3.2,13200,ALJJ
2,2018-01-04,3.24,3.3,3.11,3.15,3.15,71700,ALJJ
3,2018-01-05,3.18,3.29,3.18,3.2,3.2,10700,ALJJ
4,2018-01-08,3.25,3.58,3.25,3.55,3.55,35700,ALJJ
5,2018-01-09,3.46,3.54,3.42,3.46,3.46,24700,ALJJ
6,2018-01-10,3.47,3.54,3.4,3.47,3.47,47600,ALJJ
7,2018-01-11,3.51,3.58,3.49,3.55,3.55,48200,ALJJ
8,2018-01-12,3.59,3.63,3.57,3.59,3.59,27500,ALJJ
9,2018-01-16,3.67,3.74,3.5,3.57,3.57,28700,ALJJ
10,2018-01-17,3.6,3.6,3.53,3.58,3.58,13300,ALJJ
11,2018-01-18,3.56,3.57,3.52,3.52,3.52,20900,ALJJ
12,2018-01-19,3.52,3.53,3.43,3.43,3.43,22300,ALJJ
13,2018-01-22,3.48,3.48,3.4,3.42,3.42,8300,ALJJ
14,2018-01-23,3.42,3.43,3.41,3.43,3.43,5200,ALJJ
15,2018-01-24,3.43,3.47,3.38,3.41,3.41,26000,ALJJ
16,2018-01-25,3.4,3.47,3.4,3.4,3.4,52700,ALJJ
17,2018-01-26,3.43,3.49,3.27,3.39,3.39,105200,ALJJ
18,2018-01-29,3.35,3.38,3.29,3.29,3.29,38300,ALJJ
19,2018-01-30,3.29,3.31,3.27,3.28,3.28,23400,ALJJ
20,2018-01-31,3.28,3.29,3.11,3.16,3.16,37600,ALJJ
21,2018-02-01,3.18,3.19,3.07,3.09,3.09,78300,ALJJ
22,2018-02-02,3.1,3.12,3.07,3.08,3.08,17400,ALJJ
23,2018-02-05,3.09,3.16,3.05,3.08,3.08,71600,ALJJ
24,2018-02-06,3.1,3.12,3.03,3.04,3.04,48700,ALJJ
25,2018-02-07,3.06,3.1,3.04,3.05,3.05,62100,ALJJ
26,2018-02-08,3.1,3.1,2.97,2.98,2.98,97000,ALJJ
27,2018-02-09,3.01,3.03,2.93,3.0,3.0,37100,ALJJ
28,2018-02-12,2.94,3.09,2.94,2.99,2.99,7100,ALJJ
29,2018-02-13,3.05,3.06,3.03,3.06,3.06,6200,ALJJ
30,2018-02-14,3.05,3.09,2.97,3.0,3.0,64100,ALJJ
31,2018-02-15,3.02,3.02,2.38,2.41,2.41,583500,ALJJ
32,2018-02-16,2.45,2.47,2.26,2.31,2.31,155400,ALJJ
33,2018-02-20,2.38,2.38,2.1,2.32,2.32,596600,ALJJ
34,2018-02-21,2.4,2.59,2.39,2.53,2.53,108400,ALJJ
35,2018-02-22,2.53,2.53,2.4,2.41,2.41,52700,ALJJ
36,2018-02-23,2.42,2.48,2.35,2.39,2.39,14200,ALJJ
37,2018-02-26,2.4,2.48,2.24,2.29,2.29,89900,ALJJ
38,2018-02-27,2.28,2.33,2.25,2.3,2.3,13600,ALJJ
39,2018-02-28,2.29,2.34,2.25,2.32,2.32,45200,ALJJ
40,2018-03-01,2.32,2.39,2.32,2.34,2.34,21400,ALJJ
41,2018-03-02,2.33,2.36,2.29,2.33,2.33,28200,ALJJ
42,2018-03-05,2.32,2.4,2.27,2.29,2.29,55300,ALJJ
43,2018-03-06,2.3,2.39,2.3,2.3,2.3,41300,ALJJ
44,2018-03-07,2.29,2.37,2.29,2.35,2.35,44000,ALJJ
45,2018-03-08,2.34,2.5,2.29,2.3,2.3,31300,ALJJ
46,2018-03-09,2.31,2.31,2.27,2.27,2.27,15700,ALJJ
47,2018-03-12,2.27,2.29,2.09,2.14,2.14,160600,ALJJ
48,2018-03-13,2.15,2.24,2.09,2.09,2.09,96400,ALJJ
49,2018-03-14,2.1,2.11,1.82,1.93,1.93,376100,ALJJ
50,2018-03-15,1.94,2.17,1.94,2.1,2.1,185000,ALJJ
51,2018-03-16,2.08,2.23,2.07,2.23,2.23,54800,ALJJ
52,2018-03-19,2.28,2.28,2.21,2.22,2.22,31900,ALJJ
53,2018-03-20,2.26,2.26,2.09,2.11,2.11,23100,ALJJ
54,2018-03-21,2.09,2.13,2.08,2.12,2.12,7600,ALJJ
55,2018-03-22,2.13,2.14,2.06,2.07,2.07,22500,ALJJ
