,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,2.16,2.45,2.1,2.38,2.38,1199200,AQMS
1,2018-01-03,2.39,2.4,2.17,2.25,2.25,486000,AQMS
2,2018-01-04,2.25,2.3,2.14,2.21,2.21,349700,AQMS
3,2018-01-05,2.21,2.23,2.15,2.18,2.18,166200,AQMS
4,2018-01-08,2.16,2.22,2.1,2.12,2.12,344900,AQMS
5,2018-01-09,2.15,2.15,1.75,1.83,1.83,1771700,AQMS
6,2018-01-10,1.84,1.93,1.78,1.89,1.89,308300,AQMS
7,2018-01-11,1.88,1.99,1.81,1.96,1.96,337500,AQMS
8,2018-01-12,1.98,2.02,1.89,1.94,1.94,312200,AQMS
9,2018-01-16,1.94,2.05,1.88,1.96,1.96,478300,AQMS
10,2018-01-17,1.98,2.14,1.948,2.03,2.03,520000,AQMS
11,2018-01-18,2.04,2.06,1.987,2.02,2.02,156300,AQMS
12,2018-01-19,2.04,2.1,1.981,2.07,2.07,139000,AQMS
13,2018-01-22,2.05,2.05,1.9,1.92,1.92,377500,AQMS
14,2018-01-23,1.97,1.99,1.87,1.98,1.98,238300,AQMS
15,2018-01-24,1.96,1.97,1.86,1.92,1.92,268500,AQMS
16,2018-01-25,1.95,1.975,1.88,1.93,1.93,151600,AQMS
17,2018-01-26,1.94,1.96,1.9,1.96,1.96,145600,AQMS
18,2018-01-29,1.97,1.97,1.801,1.85,1.85,282500,AQMS
19,2018-01-30,1.86,1.93,1.7,1.87,1.87,276700,AQMS
20,2018-01-31,1.89,1.89,1.79,1.82,1.82,156800,AQMS
21,2018-02-01,1.82,1.82,1.7,1.79,1.79,353100,AQMS
22,2018-02-02,1.8,1.84,1.72,1.81,1.81,368400,AQMS
23,2018-02-05,1.76,1.87,1.749,1.78,1.78,386300,AQMS
24,2018-02-06,1.74,1.89,1.7,1.77,1.77,391700,AQMS
25,2018-02-07,1.77,1.82,1.66,1.69,1.69,301000,AQMS
26,2018-02-08,1.7,1.75,1.58,1.59,1.59,271300,AQMS
27,2018-02-09,1.6,1.64,1.42,1.62,1.62,450200,AQMS
28,2018-02-12,2.04,2.35,1.9,2.2,2.2,4280000,AQMS
29,2018-02-13,2.18,3.24,2.04,3.0,3.0,14267300,AQMS
30,2018-02-14,2.97,3.23,2.6,2.79,2.79,3769000,AQMS
31,2018-02-15,2.8,2.8,2.53,2.68,2.68,815800,AQMS
32,2018-02-16,2.68,3.05,2.68,3.0,3.0,1943800,AQMS
33,2018-02-20,3.0,3.16,2.7,2.77,2.77,1886300,AQMS
34,2018-02-21,2.76,2.96,2.7,2.87,2.87,640800,AQMS
35,2018-02-22,2.87,2.9,2.59,2.62,2.62,751000,AQMS
36,2018-02-23,2.61,2.7,2.56,2.6,2.6,522600,AQMS
37,2018-02-26,2.6,2.67,2.49,2.64,2.64,629400,AQMS
38,2018-02-27,2.65,2.7,2.36,2.385,2.385,571100,AQMS
39,2018-02-28,2.39,2.42,2.29,2.31,2.31,266100,AQMS
40,2018-03-01,2.3,2.38,2.2,2.22,2.22,501400,AQMS
41,2018-03-02,2.21,2.31,2.14,2.3,2.3,278300,AQMS
42,2018-03-05,2.35,2.49,2.08,2.4,2.4,1936400,AQMS
43,2018-03-06,2.44,2.6,2.3,2.35,2.35,695600,AQMS
44,2018-03-07,2.33,2.45,2.29,2.43,2.43,424500,AQMS
45,2018-03-08,2.44,2.7,2.4,2.65,2.65,469600,AQMS
46,2018-03-09,2.68,2.74,2.51,2.63,2.63,630700,AQMS
47,2018-03-12,2.62,2.89,2.43,2.82,2.82,653800,AQMS
48,2018-03-13,2.87,3.12,2.75,2.91,2.91,1024000,AQMS
49,2018-03-14,2.96,3.07,2.68,2.69,2.69,883300,AQMS
50,2018-03-15,2.69,2.751,2.55,2.6,2.6,499000,AQMS
51,2018-03-16,2.58,3.14,2.11,2.875,2.875,2648500,AQMS
52,2018-03-19,2.85,2.864,2.65,2.72,2.72,454100,AQMS
53,2018-03-20,2.71,2.75,2.6,2.62,2.62,412800,AQMS
54,2018-03-21,2.63,2.95,2.55,2.74,2.74,569300,AQMS
55,2018-03-22,2.71,2.75,2.57,2.61,2.61,448600,AQMS
