,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-05-03,5.51,6.8,5.25,5.87,5.87,609500,BBIG
1,2018-05-04,5.77,6.325,5.61,5.72,5.72,118200,BBIG
2,2018-05-07,5.89,6.0,5.6,5.826,5.826,102600,BBIG
3,2018-05-08,5.91,5.91,5.41,5.41,5.41,48800,BBIG
4,2018-05-09,5.46,6.5,5.401,6.3,6.3,106400,BBIG
5,2018-05-10,6.49,7.587,5.916,6.794,6.794,389900,BBIG
6,2018-05-11,6.22,7.35,6.2,6.8,6.8,133200,BBIG
7,2018-05-14,7.28,7.28,6.51,6.65,6.65,40100,BBIG
8,2018-05-15,6.26,7.15,6.25,6.77,6.77,100700,BBIG
9,2018-05-16,6.87,6.98,6.36,6.53,6.53,59300,BBIG
10,2018-05-17,6.6,6.8,6.25,6.52,6.52,59300,BBIG
11,2018-05-18,6.5,7.1,6.5,6.99,6.99,55500,BBIG
12,2018-05-21,7.25,7.25,6.89,7.08,7.08,39700,BBIG
13,2018-05-22,6.7,8.05,6.495,7.75,7.75,326900,BBIG
14,2018-05-23,8.05,9.18,7.8,7.95,7.95,365400,BBIG
15,2018-05-24,8.09,8.09,7.295,7.5,7.5,71400,BBIG
16,2018-05-25,7.48,7.48,7.21,7.33,7.33,46500,BBIG
17,2018-05-29,7.26,7.3,7.0,7.0,7.0,54500,BBIG
18,2018-05-30,7.0,7.035,6.5,6.79,6.79,105000,BBIG
19,2018-05-31,6.84,7.832,6.84,6.96,6.96,30000,BBIG
20,2018-06-01,7.045,7.325,7.045,7.1,7.1,15400,BBIG
21,2018-06-04,7.1,7.1,6.13,6.958,6.958,58200,BBIG
22,2018-06-05,6.9,7.73,6.34,6.86,6.86,100200,BBIG
23,2018-06-06,6.6,6.949,6.5,6.79,6.79,40900,BBIG
24,2018-06-07,6.72,6.819,6.3,6.75,6.75,38200,BBIG
25,2018-06-08,6.8,7.0,6.604,6.815,6.815,30300,BBIG
26,2018-06-11,6.78,7.5,6.78,7.46,7.46,93300,BBIG
27,2018-06-12,7.46,7.633,6.922,7.19,7.19,22500,BBIG
28,2018-06-13,7.06,7.45,6.91,7.45,7.45,31600,BBIG
29,2018-06-14,7.5,7.699,7.068,7.15,7.15,41800,BBIG
30,2018-06-15,7.16,8.15,7.16,7.56,7.56,96800,BBIG
31,2018-06-18,7.94,11.63,7.9,8.69,8.69,1031400,BBIG
32,2018-06-19,8.53,8.53,7.966,8.03,8.03,84400,BBIG
33,2018-06-20,8.08,8.88,8.05,8.29,8.29,72900,BBIG
34,2018-06-21,8.32,8.79,8.12,8.4,8.4,50500,BBIG
35,2018-06-22,8.3,11.12,8.13,9.408,9.408,417700,BBIG
36,2018-06-25,9.31,9.63,8.615,8.91,8.91,75300,BBIG
37,2018-06-26,9.05,9.63,8.9,9.31,9.31,55500,BBIG
38,2018-06-27,9.31,9.31,8.28,8.37,8.37,120600,BBIG
39,2018-06-28,8.4,8.78,7.75,7.81,7.81,82700,BBIG
40,2018-06-29,7.75,8.4,7.38,7.77,7.77,53300,BBIG
41,2018-07-02,8.78,8.9,7.95,7.97,7.97,203800,BBIG
42,2018-07-03,8.03,8.647,7.25,7.89,7.89,100500,BBIG
43,2018-07-05,7.82,8.238,6.55,6.92,6.92,181500,BBIG
44,2018-07-06,6.86,7.23,6.64,6.82,6.82,55800,BBIG
45,2018-07-09,6.87,7.1,6.5,6.62,6.62,58000,BBIG
46,2018-07-10,6.57,6.935,6.308,6.5,6.5,13500,BBIG
47,2018-07-11,6.46,6.68,6.361,6.524,6.524,9300,BBIG
48,2018-07-12,6.537,6.675,6.51,6.66,6.66,15600,BBIG
49,2018-07-13,6.68,6.94,6.53,6.719,6.719,19600,BBIG
50,2018-07-16,6.558,6.67,6.35,6.35,6.35,5800,BBIG
51,2018-07-17,6.3,6.86,6.3,6.49,6.49,14900,BBIG
52,2018-07-18,6.5,6.514,6.23,6.3,6.3,26500,BBIG
53,2018-07-19,6.395,6.5,6.395,6.4,6.4,2900,BBIG
54,2018-07-20,6.703,6.703,6.3,6.63,6.63,7200,BBIG
55,2018-07-23,6.75,6.75,6.33,6.33,6.33,10300,BBIG
56,2018-07-24,6.33,6.57,6.0,6.0,6.0,14500,BBIG
57,2018-07-25,5.94,6.37,5.623,5.75,5.75,16500,BBIG
58,2018-07-26,5.79,6.379,5.727,6.266,6.266,16600,BBIG
59,2018-07-27,6.281,6.32,5.9,5.95,5.95,10000,BBIG
60,2018-07-30,5.91,6.057,5.52,5.85,5.85,10500,BBIG
61,2018-07-31,6.057,6.057,5.538,5.9,5.9,9300,BBIG
62,2018-08-01,5.8,5.8,5.71,5.71,5.71,7200,BBIG
63,2018-08-02,5.705,5.8,5.547,5.8,5.8,8400,BBIG
64,2018-08-03,5.705,5.96,5.51,5.87,5.87,15100,BBIG
65,2018-08-06,5.795,6.09,5.711,5.85,5.85,31700,BBIG
66,2018-08-07,5.83,5.922,5.59,5.71,5.71,37000,BBIG
67,2018-08-08,5.58,5.879,5.58,5.85,5.85,5800,BBIG
68,2018-08-09,5.55,5.89,5.51,5.71,5.71,2100,BBIG
69,2018-08-10,5.807,5.9,5.68,5.75,5.75,19600,BBIG
70,2018-08-13,5.9,5.9,5.66,5.778,5.778,9900,BBIG
71,2018-08-14,5.92,5.92,5.78,5.85,5.85,8200,BBIG
72,2018-08-15,5.669,5.84,5.45,5.45,5.45,9700,BBIG
73,2018-08-16,5.68,5.7,4.56,5.25,5.25,69000,BBIG
74,2018-08-17,4.929,5.251,4.929,5.1,5.1,12300,BBIG
75,2018-08-20,5.02,5.05,4.9,5.05,5.05,23800,BBIG
76,2018-08-21,5.04,5.327,5.0,5.32,5.32,7900,BBIG
77,2018-08-22,5.42,5.7,5.4,5.7,5.7,2300,BBIG
78,2018-08-23,5.91,6.26,5.58,5.665,5.665,82200,BBIG
79,2018-08-24,5.71,6.222,5.71,6.09,6.09,12900,BBIG
80,2018-08-27,6.33,6.75,6.08,6.68,6.68,46800,BBIG
81,2018-08-28,5.9,6.824,5.9,6.41,6.41,13200,BBIG
82,2018-08-29,6.47,6.6,6.47,6.6,6.6,4700,BBIG
83,2018-08-30,6.182,6.6,6.182,6.444,6.444,4000,BBIG
84,2018-08-31,6.182,6.45,6.156,6.44,6.44,1600,BBIG
85,2018-09-04,6.3,6.75,6.3,6.75,6.75,9800,BBIG
86,2018-09-05,6.182,6.758,6.182,6.521,6.521,8300,BBIG
87,2018-09-06,6.57,6.724,6.535,6.65,6.65,4800,BBIG
88,2018-09-07,6.357,6.79,6.357,6.79,6.79,4800,BBIG
89,2018-09-10,6.69,6.767,6.5,6.5,6.5,8100,BBIG
90,2018-09-11,6.54,6.71,6.073,6.5,6.5,6300,BBIG
91,2018-09-12,6.317,6.72,6.3,6.72,6.72,4500,BBIG
92,2018-09-13,6.51,7.27,6.51,7.171,7.171,9300,BBIG
93,2018-09-14,7.18,7.31,6.8,7.06,7.06,12000,BBIG
94,2018-09-17,7.31,7.52,7.139,7.4,7.4,20100,BBIG
95,2018-09-18,7.251,7.55,7.002,7.45,7.45,14900,BBIG
96,2018-09-19,7.61,7.61,7.1,7.3,7.3,13100,BBIG
97,2018-09-20,7.316,7.47,6.95,7.47,7.47,37000,BBIG
98,2018-09-21,7.313,7.55,6.95,7.05,7.05,16100,BBIG
99,2018-09-24,7.0,7.17,6.53,7.17,7.17,24400,BBIG
100,2018-09-25,7.02,7.268,6.79,7.186,7.186,21600,BBIG
101,2018-09-26,7.18,7.18,6.562,7.009,7.009,5900,BBIG
102,2018-09-27,7.0,7.17,6.789,7.023,7.023,4100,BBIG
103,2018-09-28,6.572,7.52,6.53,7.49,7.49,10400,BBIG
104,2018-10-01,7.49,7.83,7.186,7.39,7.39,10400,BBIG
105,2018-10-02,7.45,7.45,7.45,7.45,7.45,800,BBIG
106,2018-10-03,7.16,7.163,6.814,7.15,7.15,4200,BBIG
107,2018-10-04,7.03,7.065,6.914,6.931,6.931,2100,BBIG
108,2018-10-05,7.12,7.12,6.834,6.967,6.967,2000,BBIG
109,2018-10-08,6.7,7.1,6.5,7.1,7.1,7100,BBIG
110,2018-10-09,6.63,7.05,6.5,6.75,6.75,8800,BBIG
111,2018-10-10,6.81,6.916,5.88,6.209,6.209,6900,BBIG
112,2018-10-11,6.0,6.85,5.7,6.17,6.17,28200,BBIG
113,2018-10-12,6.35,6.7,5.9,6.47,6.47,19600,BBIG
114,2018-10-15,6.27,7.12,5.02,6.44,6.44,11600,BBIG
115,2018-10-16,6.45,6.45,5.9,6.2,6.2,3100,BBIG
116,2018-10-17,5.928,6.719,5.886,6.1,6.1,14300,BBIG
117,2018-10-18,5.779,6.182,5.779,6.182,6.182,1600,BBIG
118,2018-10-19,6.2,6.4,6.0,6.25,6.25,7000,BBIG
119,2018-10-22,6.09,6.219,5.76,6.219,6.219,1800,BBIG
120,2018-10-23,5.85,6.29,5.779,6.12,6.12,3800,BBIG
121,2018-10-24,6.0,6.0,5.12,6.0,6.0,4800,BBIG
122,2018-10-25,5.6,6.3,5.55,6.219,6.219,14900,BBIG
123,2018-10-26,5.74,6.47,5.18,6.05,6.05,19000,BBIG
124,2018-10-29,5.85,6.0,5.68,5.99,5.99,4600,BBIG
125,2018-10-30,6.28,6.367,5.97,6.3,6.3,6200,BBIG
126,2018-10-31,6.29,7.36,5.95,6.1,6.1,19800,BBIG
127,2018-11-01,6.1,6.1,5.464,6.1,6.1,7800,BBIG
128,2018-11-02,5.96,6.24,5.53,5.88,5.88,11600,BBIG
129,2018-11-05,5.91,6.289,5.6,5.8,5.8,6400,BBIG
130,2018-11-06,6.1,6.1,5.7,6.08,6.08,16200,BBIG
131,2018-11-07,6.06,7.4,5.51,6.4,6.4,23300,BBIG
132,2018-11-08,6.3,6.3,6.3,6.3,6.3,2700,BBIG
133,2018-11-09,6.46,6.49,5.74,5.74,5.74,3700,BBIG
134,2018-11-12,5.92,6.4,5.92,6.4,6.4,2000,BBIG
135,2018-11-13,6.47,6.51,6.47,6.51,6.51,1100,BBIG
136,2018-11-14,5.857,6.43,5.79,6.43,6.43,18900,BBIG
137,2018-11-15,6.055,6.53,6.05,6.53,6.53,6300,BBIG
138,2018-11-16,6.25,6.25,6.25,6.25,6.25,800,BBIG
139,2018-11-19,6.18,6.87,6.0,6.5,6.5,12600,BBIG
140,2018-11-20,6.25,6.395,5.9,6.15,6.15,9700,BBIG
141,2018-11-21,5.99,6.33,5.64,6.33,6.33,4600,BBIG
