,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-11-04,9.7,9.85,9.7,9.85,9.85,863000,BMAQ
1,2021-11-05,9.85,9.85,9.72,9.76,9.76,240900,BMAQ
2,2021-11-08,9.78,9.9,9.73,9.74,9.74,640600,BMAQ
3,2021-11-09,9.785,9.785,9.75,9.78,9.78,233500,BMAQ
4,2021-11-10,9.78,9.78,9.76,9.76,9.76,184700,BMAQ
5,2021-11-11,9.76,9.78,9.75,9.76,9.76,452200,BMAQ
6,2021-11-12,9.75,9.78,9.74,9.776,9.776,71200,BMAQ
7,2021-11-15,9.78,9.78,9.75,9.78,9.78,48500,BMAQ
8,2021-11-16,9.75,9.78,9.75,9.78,9.78,17200,BMAQ
9,2021-11-17,9.78,9.78,9.75,9.78,9.78,11300,BMAQ
10,2021-11-18,9.79,9.8,9.78,9.79,9.79,322300,BMAQ
11,2021-11-19,9.8,9.85,9.78,9.81,9.81,83000,BMAQ
12,2021-11-22,9.81,9.82,9.78,9.78,9.78,74400,BMAQ
13,2021-11-23,9.79,9.79,9.78,9.79,9.79,17100,BMAQ
14,2021-11-24,9.81,9.81,9.78,9.78,9.78,3700,BMAQ
15,2021-11-26,9.78,9.79,9.78,9.79,9.79,8500,BMAQ
16,2021-11-29,9.81,9.81,9.78,9.79,9.79,3000,BMAQ
17,2021-11-30,9.79,9.795,9.78,9.78,9.78,74600,BMAQ
18,2021-12-01,9.79,9.79,9.78,9.79,9.79,13600,BMAQ
19,2021-12-02,9.79,9.79,9.77,9.775,9.775,216400,BMAQ
20,2021-12-03,9.772,9.82,9.76,9.79,9.79,118100,BMAQ
21,2021-12-06,9.789,9.8,9.77,9.79,9.79,21800,BMAQ
22,2021-12-07,9.79,9.85,9.79,9.85,9.85,1400,BMAQ
23,2021-12-08,9.86,9.889,9.81,9.81,9.81,3400,BMAQ
24,2021-12-09,9.82,9.83,9.8,9.83,9.83,43100,BMAQ
25,2021-12-10,9.82,9.82,9.78,9.8,9.8,24500,BMAQ
26,2021-12-13,9.79,9.79,9.76,9.772,9.772,67300,BMAQ
27,2021-12-14,9.77,9.78,9.76,9.78,9.78,12000,BMAQ
28,2021-12-15,9.77,9.813,9.77,9.77,9.77,3700,BMAQ
29,2021-12-16,9.769,9.77,9.74,9.77,9.77,10700,BMAQ
30,2021-12-17,9.77,9.78,9.75,9.78,9.78,6200,BMAQ
31,2021-12-20,9.74,9.754,9.73,9.75,9.75,3400,BMAQ
32,2021-12-21,9.75,9.75,9.75,9.75,9.75,900,BMAQ
33,2021-12-22,9.84,9.84,9.745,9.75,9.75,20900,BMAQ
34,2021-12-23,9.8,9.8,9.79,9.79,9.79,1100,BMAQ
35,2021-12-27,9.81,9.81,9.77,9.8,9.8,10300,BMAQ
36,2021-12-28,9.79,9.8,9.79,9.8,9.8,2500,BMAQ
37,2021-12-29,9.79,9.79,9.76,9.76,9.76,5300,BMAQ
38,2021-12-30,9.76,9.76,9.76,9.76,9.76,0,BMAQ
39,2021-12-31,9.74,9.74,9.74,9.74,9.74,200,BMAQ
