,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,26.950001,27.4,26.6,26.75,26.75,158900,BNFT
1,2018-01-03,26.75,26.75,25.879999,26.1,26.1,219700,BNFT
2,2018-01-04,26.25,27.299999,25.950001,27.15,27.15,232500,BNFT
3,2018-01-05,27.15,27.200001,26.35,26.6,26.6,151400,BNFT
4,2018-01-08,26.6,26.700001,25.950001,26.4,26.4,173600,BNFT
5,2018-01-09,26.5,26.75,26.0,26.65,26.65,131000,BNFT
6,2018-01-10,26.5,26.5,25.200001,25.5,25.5,243700,BNFT
7,2018-01-11,25.5,26.1,25.0,25.950001,25.950001,165200,BNFT
8,2018-01-12,25.950001,26.049999,25.6,25.75,25.75,102700,BNFT
9,2018-01-16,25.85,26.0,25.200001,25.200001,25.200001,135900,BNFT
10,2018-01-17,25.25,25.4,25.0,25.15,25.15,154100,BNFT
11,2018-01-18,25.0,25.4,24.950001,25.1,25.1,101800,BNFT
12,2018-01-19,25.049999,25.6,25.049999,25.549999,25.549999,124700,BNFT
13,2018-01-22,25.5,25.6,25.1,25.35,25.35,89000,BNFT
14,2018-01-23,25.25,25.75,25.200001,25.6,25.6,89700,BNFT
15,2018-01-24,25.700001,25.85,25.049999,25.200001,25.200001,175300,BNFT
16,2018-01-25,25.299999,25.549999,25.1,25.4,25.4,229200,BNFT
17,2018-01-26,25.5,25.75,25.15,25.4,25.4,170800,BNFT
18,2018-01-29,25.4,25.9,25.15,25.5,25.5,111700,BNFT
19,2018-01-30,25.299999,25.5,25.15,25.35,25.35,90800,BNFT
20,2018-01-31,25.450001,25.5,25.049999,25.200001,25.200001,106200,BNFT
21,2018-02-01,25.15,25.23,24.85,25.0,25.0,178000,BNFT
22,2018-02-02,25.0,25.08,24.25,24.25,24.25,124300,BNFT
23,2018-02-05,24.1,24.4,23.65,23.65,23.65,192600,BNFT
24,2018-02-06,23.299999,24.5,23.299999,24.35,24.35,314000,BNFT
25,2018-02-07,24.35,24.35,23.700001,24.1,24.1,151300,BNFT
26,2018-02-08,24.15,24.51,23.549999,23.799999,23.799999,133700,BNFT
27,2018-02-09,24.0,24.049999,23.5,23.9,23.9,216100,BNFT
28,2018-02-12,23.950001,23.950001,22.6,22.65,22.65,193900,BNFT
29,2018-02-13,22.6,23.549999,22.35,23.450001,23.450001,150700,BNFT
30,2018-02-14,23.299999,24.25,23.299999,23.75,23.75,126400,BNFT
31,2018-02-15,23.950001,24.5,23.549999,24.299999,24.299999,85200,BNFT
32,2018-02-16,24.35,25.5,24.299999,25.1,25.1,147300,BNFT
33,2018-02-20,25.049999,25.75,25.049999,25.299999,25.299999,159900,BNFT
34,2018-02-21,25.35,26.049999,25.35,25.700001,25.700001,102600,BNFT
35,2018-02-22,25.799999,25.9,25.0,25.049999,25.049999,71700,BNFT
36,2018-02-23,25.200001,25.200001,24.85,25.1,25.1,109300,BNFT
37,2018-02-26,25.200001,25.4,24.85,25.4,25.4,92500,BNFT
38,2018-02-27,25.4,25.950001,24.65,25.299999,25.299999,150300,BNFT
39,2018-02-28,25.4,25.4,24.15,24.200001,24.200001,100000,BNFT
40,2018-03-01,24.200001,25.129999,23.549999,23.950001,23.950001,127100,BNFT
41,2018-03-02,23.75,24.35,23.6,24.15,24.15,180400,BNFT
42,2018-03-05,24.0,24.700001,23.5,24.65,24.65,187900,BNFT
43,2018-03-06,24.75,25.15,24.4,24.65,24.65,157400,BNFT
44,2018-03-07,24.5,25.6,24.5,24.950001,24.950001,261000,BNFT
45,2018-03-08,25.049999,25.68,24.9,25.0,25.0,116600,BNFT
46,2018-03-09,25.15,25.700001,24.9,25.0,25.0,206000,BNFT
47,2018-03-12,25.0,25.450001,24.5,25.0,25.0,159100,BNFT
48,2018-03-13,25.1,25.450001,24.5,24.65,24.65,133700,BNFT
49,2018-03-14,24.799999,25.25,24.0,24.799999,24.799999,262800,BNFT
50,2018-03-15,23.5,25.0,21.75,23.549999,23.549999,1073200,BNFT
51,2018-03-16,23.35,24.700001,23.07,24.450001,24.450001,303600,BNFT
52,2018-03-19,24.5,24.5,23.9,23.950001,23.950001,291800,BNFT
53,2018-03-20,23.9,24.799999,23.799999,24.75,24.75,333500,BNFT
54,2018-03-21,24.700001,27.15,24.65,26.85,26.85,354400,BNFT
55,2018-03-22,26.75,27.0,26.35,26.700001,26.700001,250800,BNFT
56,2018-03-23,26.75,26.799999,25.85,26.299999,26.299999,242500,BNFT
57,2018-03-26,26.75,26.950001,26.0,26.25,26.25,119400,BNFT
58,2018-03-27,26.4,26.4,25.1,25.15,25.15,270600,BNFT
59,2018-03-28,25.15,25.200001,23.9,24.200001,24.200001,333300,BNFT
60,2018-03-29,24.200001,25.049999,23.549999,24.4,24.4,354000,BNFT
61,2018-04-02,24.25,24.25,22.75,23.299999,23.299999,355200,BNFT
62,2018-04-03,23.6,24.0,23.25,23.5,23.5,242100,BNFT
63,2018-04-04,23.1,23.9,22.879999,23.5,23.5,202500,BNFT
64,2018-04-05,23.75,24.450001,23.299999,24.35,24.35,279300,BNFT
65,2018-04-06,24.25,25.1,24.200001,24.65,24.65,169500,BNFT
66,2018-04-09,24.75,25.049999,23.450001,23.5,23.5,128000,BNFT
67,2018-04-10,23.700001,24.65,23.299999,24.549999,24.549999,179100,BNFT
68,2018-04-11,24.5,25.549999,24.35,25.200001,25.200001,163600,BNFT
69,2018-04-12,25.4,25.6,24.950001,25.4,25.4,122700,BNFT
70,2018-04-13,25.549999,26.1,25.25,26.049999,26.049999,149300,BNFT
71,2018-04-16,26.15,27.549999,26.0,27.1,27.1,212900,BNFT
72,2018-04-17,27.15,28.35,27.1,27.9,27.9,240400,BNFT
73,2018-04-18,28.1,28.1,27.5,27.700001,27.700001,147400,BNFT
74,2018-04-19,27.549999,28.0,26.9,27.1,27.1,123100,BNFT
75,2018-04-20,27.049999,27.43,26.6,26.85,26.85,127400,BNFT
76,2018-04-23,26.799999,27.450001,26.799999,27.200001,27.200001,142500,BNFT
77,2018-04-24,27.25,28.200001,27.25,27.9,27.9,156800,BNFT
78,2018-04-25,27.85,27.85,26.9,27.75,27.75,162100,BNFT
79,2018-04-26,28.049999,30.200001,28.049999,29.5,29.5,326300,BNFT
