,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,5.01,5.01,5.01,5.01,5.01,400,BOXL
1,2018-01-03,5.31,5.75,5.3,5.74,5.74,6300,BOXL
2,2018-01-04,6.0,6.0,5.76,5.8,5.8,4100,BOXL
3,2018-01-05,5.95,6.0,5.95,6.0,6.0,500,BOXL
4,2018-01-08,6.0,6.0,5.75,6.0,6.0,5700,BOXL
5,2018-01-09,5.85,6.0,5.85,6.0,6.0,2400,BOXL
6,2018-01-10,6.0,6.0,5.81,5.86,5.86,16500,BOXL
7,2018-01-11,5.87,6.49,5.75,6.45,6.45,1900,BOXL
8,2018-01-12,7.0,7.0,6.907,6.971,6.971,2100,BOXL
9,2018-01-16,6.37,6.37,6.026,6.026,6.026,300,BOXL
10,2018-01-17,5.76,5.8,5.5,5.5,5.5,1800,BOXL
11,2018-01-18,5.52,6.5,5.52,6.1,6.1,2600,BOXL
12,2018-01-19,5.773,5.773,5.6,5.618,5.618,1100,BOXL
13,2018-01-22,6.08,6.08,6.08,6.08,6.08,200,BOXL
14,2018-01-23,6.07,6.07,6.0,6.01,6.01,2200,BOXL
15,2018-01-24,6.0,6.0,6.0,6.0,6.0,400,BOXL
16,2018-01-25,6.0,6.0,6.0,6.0,6.0,0,BOXL
17,2018-01-26,5.691,5.691,5.691,5.691,5.691,100,BOXL
18,2018-01-29,5.691,5.691,5.691,5.691,5.691,0,BOXL
19,2018-01-30,5.691,5.691,5.691,5.691,5.691,0,BOXL
20,2018-01-31,5.691,5.691,5.691,5.691,5.691,0,BOXL
21,2018-02-01,5.65,5.65,5.5,5.637,5.637,1200,BOXL
22,2018-02-02,5.637,5.637,5.637,5.637,5.637,0,BOXL
23,2018-02-05,5.5,5.5,5.0,5.03,5.03,1800,BOXL
24,2018-02-06,4.95,5.45,4.95,5.45,5.45,600,BOXL
25,2018-02-07,5.45,5.45,5.45,5.45,5.45,0,BOXL
26,2018-02-08,4.42,4.42,4.42,4.42,4.42,400,BOXL
27,2018-02-09,5.4,5.4,5.0,5.0,5.0,1200,BOXL
28,2018-02-12,5.0,5.0,5.0,5.0,5.0,0,BOXL
29,2018-02-13,5.4,5.4,5.4,5.4,5.4,400,BOXL
30,2018-02-14,5.4,5.4,5.4,5.4,5.4,0,BOXL
31,2018-02-15,4.55,5.0,4.36,5.0,5.0,1300,BOXL
32,2018-02-16,5.0,5.0,5.0,5.0,5.0,0,BOXL
33,2018-02-20,4.71,4.71,4.71,4.71,4.71,300,BOXL
34,2018-02-21,4.71,4.71,4.71,4.71,4.71,0,BOXL
35,2018-02-22,4.7,4.7,4.0,4.0,4.0,2200,BOXL
36,2018-02-23,4.0,4.0,4.0,4.0,4.0,0,BOXL
37,2018-02-26,4.0,4.0,4.0,4.0,4.0,0,BOXL
38,2018-02-27,4.0,4.0,4.0,4.0,4.0,0,BOXL
39,2018-02-28,4.0,4.0,4.0,4.0,4.0,0,BOXL
40,2018-03-01,4.2,4.2,4.2,4.2,4.2,1100,BOXL
41,2018-03-02,5.0,5.0,4.2,4.2,4.2,3700,BOXL
42,2018-03-05,4.088,4.6,4.0,4.6,4.6,1600,BOXL
43,2018-03-06,4.74,4.8,4.44,4.8,4.8,2100,BOXL
44,2018-03-07,4.32,4.35,4.271,4.35,4.35,500,BOXL
45,2018-03-08,4.35,4.35,4.35,4.35,4.35,0,BOXL
46,2018-03-09,4.35,4.35,4.35,4.35,4.35,0,BOXL
47,2018-03-12,4.35,4.35,4.35,4.35,4.35,0,BOXL
48,2018-03-13,4.35,4.35,4.35,4.35,4.35,0,BOXL
49,2018-03-14,4.0,4.0,4.0,4.0,4.0,400,BOXL
50,2018-03-15,4.0,4.0,4.0,4.0,4.0,0,BOXL
51,2018-03-16,3.99,4.0,3.97,4.0,4.0,2400,BOXL
52,2018-03-19,4.0,4.0,4.0,4.0,4.0,0,BOXL
53,2018-03-20,4.0,4.0,4.0,4.0,4.0,1000,BOXL
54,2018-03-21,4.2,4.2,4.2,4.2,4.2,800,BOXL
55,2018-03-22,3.08,3.5,3.08,3.5,3.5,300,BOXL
56,2018-03-23,3.5,3.5,3.5,3.5,3.5,0,BOXL
57,2018-03-26,3.18,3.18,3.0,3.0,3.0,600,BOXL
58,2018-03-27,4.0,4.0,3.66,3.98,3.98,1700,BOXL
59,2018-03-28,4.185,4.19,4.032,4.06,4.06,1100,BOXL
60,2018-03-29,4.06,4.06,4.06,4.06,4.06,0,BOXL
61,2018-04-02,4.59,5.0,4.41,4.755,4.755,4900,BOXL
62,2018-04-03,4.34,4.44,4.1,4.36,4.36,3200,BOXL
63,2018-04-04,4.172,4.172,4.172,4.172,4.172,300,BOXL
64,2018-04-05,3.44,3.54,3.184,3.53,3.53,9100,BOXL
65,2018-04-06,3.606,3.64,3.57,3.57,3.57,7200,BOXL
66,2018-04-09,3.27,3.27,3.27,3.27,3.27,200,BOXL
67,2018-04-10,3.3,3.3,3.3,3.3,3.3,200,BOXL
68,2018-04-11,3.99,4.39,3.76,4.2,4.2,8300,BOXL
69,2018-04-12,3.69,3.95,3.34,3.75,3.75,1700,BOXL
70,2018-04-13,3.6,3.945,3.6,3.945,3.945,1000,BOXL
71,2018-04-16,4.06,4.06,3.61,3.79,3.79,1300,BOXL
72,2018-04-17,3.736,3.736,3.736,3.736,3.736,200,BOXL
73,2018-04-18,3.7,3.7,3.624,3.624,3.624,1000,BOXL
74,2018-04-19,3.624,3.624,3.624,3.624,3.624,0,BOXL
75,2018-04-20,3.624,3.624,3.624,3.624,3.624,0,BOXL
76,2018-04-23,3.96,3.99,3.75,3.75,3.75,800,BOXL
77,2018-04-24,3.65,3.65,3.65,3.65,3.65,200,BOXL
78,2018-04-25,3.55,3.55,3.52,3.55,3.55,2100,BOXL
79,2018-04-26,3.51,3.6,3.51,3.6,3.6,800,BOXL
80,2018-04-27,3.9,3.9,3.9,3.9,3.9,800,BOXL
81,2018-04-30,3.55,3.55,3.55,3.55,3.55,200,BOXL
82,2018-05-01,3.55,3.803,3.55,3.803,3.803,1300,BOXL
83,2018-05-02,3.781,13.911,3.781,7.42,7.42,641200,BOXL
84,2018-05-03,11.5,17.4,8.0,8.33,8.33,2010800,BOXL
85,2018-05-04,7.0,8.5,5.75,6.45,6.45,520600,BOXL
86,2018-05-07,5.81,7.51,5.25,6.3,6.3,288100,BOXL
87,2018-05-08,6.31,6.499,5.5,5.71,5.71,127500,BOXL
88,2018-05-09,5.52,5.98,5.1,5.58,5.58,105100,BOXL
89,2018-05-10,5.75,5.75,5.101,5.15,5.15,44100,BOXL
90,2018-05-11,5.27,7.0,5.0,6.669,6.669,512100,BOXL
91,2018-05-14,6.86,12.4,6.165,11.8,11.8,8342600,BOXL
92,2018-05-15,10.25,11.98,8.83,9.62,9.62,1683100,BOXL
93,2018-05-16,8.49,10.7,8.42,9.84,9.84,975200,BOXL
94,2018-05-17,9.76,10.5,8.5,8.66,8.66,1043500,BOXL
95,2018-05-18,8.59,8.763,7.1,7.24,7.24,300200,BOXL
96,2018-05-21,9.15,9.68,7.62,7.86,7.86,1661400,BOXL
97,2018-05-22,7.76,7.795,6.13,6.6,6.6,346100,BOXL
98,2018-05-23,6.61,7.6,6.61,7.2,7.2,577500,BOXL
99,2018-05-24,7.35,7.5,6.9,7.1,7.1,230600,BOXL
100,2018-05-25,7.06,7.06,6.3,6.7,6.7,208000,BOXL
101,2018-05-29,6.58,6.89,6.5,6.59,6.59,97200,BOXL
102,2018-05-30,6.61,6.899,6.12,6.24,6.24,144300,BOXL
103,2018-05-31,6.19,7.95,6.19,7.48,7.48,1682500,BOXL
104,2018-06-01,7.62,7.75,6.75,7.04,7.04,458100,BOXL
105,2018-06-04,7.04,7.24,6.75,6.89,6.89,210900,BOXL
106,2018-06-05,6.87,7.011,6.5,6.66,6.66,221500,BOXL
107,2018-06-06,6.66,7.02,6.26,6.31,6.31,294500,BOXL
108,2018-06-07,6.28,6.44,6.01,6.06,6.06,129000,BOXL
109,2018-06-08,5.85,5.99,5.61,5.77,5.77,170600,BOXL
110,2018-06-11,5.73,5.805,5.52,5.61,5.61,98500,BOXL
111,2018-06-12,5.701,5.799,5.5,5.51,5.51,89400,BOXL
112,2018-06-13,5.55,5.913,5.4,5.53,5.53,158200,BOXL
113,2018-06-14,5.5,6.0,5.5,5.79,5.79,267800,BOXL
114,2018-06-15,5.96,6.66,5.75,5.76,5.76,768400,BOXL
115,2018-06-18,5.75,5.99,5.51,5.53,5.53,203500,BOXL
116,2018-06-19,5.53,5.6,5.25,5.25,5.25,176100,BOXL
117,2018-06-20,5.34,5.53,5.045,5.14,5.14,115100,BOXL
118,2018-06-21,5.09,7.4,5.051,5.87,5.87,2736800,BOXL
119,2018-06-22,5.82,5.9,5.42,5.8,5.8,330200,BOXL
120,2018-06-25,5.94,5.997,5.27,5.45,5.45,437200,BOXL
121,2018-06-26,5.45,5.6,5.101,5.37,5.37,168700,BOXL
122,2018-06-27,5.39,5.463,5.22,5.39,5.39,68400,BOXL
123,2018-06-28,5.36,5.489,5.15,5.22,5.22,91700,BOXL
124,2018-06-29,5.23,5.335,5.1,5.11,5.11,91300,BOXL
125,2018-07-02,5.15,5.18,4.541,4.8,4.8,188500,BOXL
126,2018-07-03,4.84,5.02,4.82,4.93,4.93,30700,BOXL
127,2018-07-05,4.78,4.82,4.17,4.47,4.47,131700,BOXL
128,2018-07-06,4.45,4.78,4.4,4.465,4.465,54300,BOXL
129,2018-07-09,4.45,4.639,4.0,4.12,4.12,129200,BOXL
130,2018-07-10,4.12,4.2,4.017,4.085,4.085,64600,BOXL
131,2018-07-11,4.1,4.43,4.0,4.18,4.18,148700,BOXL
132,2018-07-12,4.06,4.352,4.06,4.16,4.16,69500,BOXL
133,2018-07-13,4.16,4.184,4.03,4.16,4.16,79300,BOXL
134,2018-07-16,4.18,4.25,4.02,4.16,4.16,89400,BOXL
135,2018-07-17,4.14,4.449,4.104,4.26,4.26,65500,BOXL
136,2018-07-18,4.24,4.34,4.08,4.11,4.11,69800,BOXL
137,2018-07-19,4.1,4.197,4.05,4.1,4.1,56900,BOXL
138,2018-07-20,4.08,4.161,4.05,4.11,4.11,21100,BOXL
