,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-12-18,12.8,14.0,12.501,13.0,13.0,505800,CLVR
1,2020-12-21,12.33,12.48,10.19,11.41,11.41,1098600,CLVR
2,2020-12-22,11.0,11.7,10.58,10.9,10.9,1193600,CLVR
3,2020-12-23,10.999,12.4,10.63,11.2,11.2,1865200,CLVR
4,2020-12-24,11.99,11.99,11.21,11.49,11.49,428000,CLVR
5,2020-12-28,11.06,11.31,10.87,10.95,10.95,504900,CLVR
6,2020-12-29,10.82,10.95,10.131,10.41,10.41,619500,CLVR
7,2020-12-30,10.5,10.8,9.83,9.86,9.86,584400,CLVR
8,2020-12-31,10.05,10.21,8.76,8.9,8.9,2292700,CLVR
9,2021-01-04,8.85,8.93,8.02,8.89,8.89,898600,CLVR
10,2021-01-05,8.89,9.26,8.55,8.97,8.97,429100,CLVR
11,2021-01-06,9.7,10.1,9.3,9.6,9.6,1570400,CLVR
12,2021-01-07,10.09,10.4,9.74,9.8,9.8,633500,CLVR
13,2021-01-08,9.85,9.86,8.72,8.83,8.83,1047700,CLVR
14,2021-01-11,8.84,9.2,8.58,8.74,8.74,608000,CLVR
15,2021-01-12,9.73,9.74,8.86,9.24,9.24,856600,CLVR
16,2021-01-13,9.11,10.85,9.03,10.72,10.72,1562200,CLVR
17,2021-01-14,10.83,11.07,10.04,10.31,10.31,1579600,CLVR
18,2021-01-15,11.11,11.44,10.0,10.04,10.04,1989300,CLVR
19,2021-01-19,10.25,10.7,9.92,10.2,10.2,824100,CLVR
20,2021-01-20,10.22,10.3,9.6,9.98,9.98,804900,CLVR
21,2021-01-21,9.82,10.29,9.24,10.21,10.21,1269000,CLVR
22,2021-01-22,10.13,10.62,9.35,9.82,9.82,1594500,CLVR
23,2021-01-25,10.0,10.0,9.25,9.33,9.33,1089600,CLVR
24,2021-01-26,9.5,9.928,9.1,9.29,9.29,1141100,CLVR
25,2021-01-27,9.0,9.3,8.55,8.8,8.8,1076500,CLVR
26,2021-01-28,8.92,9.38,8.6,9.11,9.11,640600,CLVR
27,2021-01-29,8.95,9.6,8.659,8.9,8.9,969600,CLVR
28,2021-02-01,8.98,9.1,8.63,9.03,9.03,492700,CLVR
29,2021-02-02,8.96,10.97,8.96,10.48,10.48,3108900,CLVR
30,2021-02-03,11.254,12.15,10.75,11.04,11.04,2248700,CLVR
31,2021-02-04,11.22,11.4,10.24,10.55,10.55,1031600,CLVR
32,2021-02-05,10.85,11.49,10.34,11.01,11.01,1317100,CLVR
33,2021-02-08,11.73,11.75,11.22,11.75,11.75,1037400,CLVR
34,2021-02-09,12.699,13.7,11.714,12.93,12.93,2607100,CLVR
35,2021-02-10,15.139,19.299999,14.9,18.17,18.17,9246400,CLVR
36,2021-02-11,17.26,17.48,14.9,15.82,15.82,4565700,CLVR
37,2021-02-12,15.45,19.459999,15.08,17.959999,17.959999,5249200,CLVR
38,2021-02-16,18.98,19.4,17.700001,19.200001,19.200001,2394700,CLVR
39,2021-02-17,18.190001,18.870001,17.059999,17.219999,17.219999,1335700,CLVR
40,2021-02-18,16.99,17.454,15.56,16.15,16.15,968500,CLVR
41,2021-02-19,16.35,17.49,16.02,16.059999,16.059999,841800,CLVR
42,2021-02-22,15.5,15.66,14.41,14.75,14.75,1215300,CLVR
43,2021-02-23,13.5,14.34,12.85,14.3,14.3,1216100,CLVR
44,2021-02-24,14.33,15.25,14.078,14.2,14.2,782100,CLVR
45,2021-02-25,14.4,14.89,13.256,13.83,13.83,706100,CLVR
46,2021-02-26,13.5,13.97,12.245,13.2,13.2,2364400,CLVR
47,2021-03-01,13.671,14.25,13.1,13.82,13.82,1029900,CLVR
48,2021-03-02,13.89,14.87,13.8,14.4,14.4,939000,CLVR
49,2021-03-03,14.58,14.75,13.05,13.27,13.27,1159600,CLVR
50,2021-03-04,13.14,13.21,11.25,12.0,12.0,1878800,CLVR
51,2021-03-05,12.32,12.32,10.35,12.16,12.16,976400,CLVR
52,2021-03-08,12.15,12.69,11.23,11.66,11.66,949500,CLVR
53,2021-03-09,12.16,12.79,11.85,12.45,12.45,708500,CLVR
54,2021-03-10,12.6,12.85,11.83,12.36,12.36,801400,CLVR
55,2021-03-11,12.56,13.615,12.14,13.33,13.33,1005900,CLVR
56,2021-03-12,12.88,13.18,12.51,12.63,12.63,863600,CLVR
57,2021-03-15,12.86,13.5,12.61,13.47,13.47,856300,CLVR
58,2021-03-16,13.54,13.82,12.6,12.92,12.92,559600,CLVR
59,2021-03-17,12.98,14.0,12.68,13.98,13.98,1180800,CLVR
60,2021-03-18,13.42,14.17,13.257,13.42,13.42,497200,CLVR
61,2021-03-19,13.28,14.03,13.11,13.8,13.8,1281700,CLVR
62,2021-03-22,13.84,13.99,13.52,13.87,13.87,245700,CLVR
63,2021-03-23,13.54,13.54,12.54,12.72,12.72,554700,CLVR
64,2021-03-24,12.75,12.75,11.87,12.31,12.31,559800,CLVR
65,2021-03-25,11.98,12.63,11.69,12.3,12.3,403200,CLVR
66,2021-03-26,12.43,12.62,11.86,12.33,12.33,224500,CLVR
67,2021-03-29,12.33,12.61,11.84,12.27,12.27,427600,CLVR
68,2021-03-30,12.18,12.2,11.538,11.77,11.77,523300,CLVR
69,2021-03-31,11.344,11.6,10.12,10.29,10.29,1460400,CLVR
70,2021-04-01,10.6,10.96,10.34,10.82,10.82,432400,CLVR
