,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,15.0,15.95,15.0,15.95,15.95,105800,CYBE
1,2018-01-03,15.95,16.6,15.95,16.5,16.5,71400,CYBE
2,2018-01-04,16.549999,17.049999,16.35,16.950001,16.950001,82800,CYBE
3,2018-01-05,17.0,17.129999,16.700001,16.9,16.9,89400,CYBE
4,2018-01-08,16.85,16.9,16.15,16.6,16.6,59800,CYBE
5,2018-01-09,16.65,16.9,15.8,16.049999,16.049999,98200,CYBE
6,2018-01-10,15.95,15.95,15.6,15.75,15.75,30400,CYBE
7,2018-01-11,15.3,16.4,15.3,15.95,15.95,66500,CYBE
8,2018-01-12,15.9,16.15,15.7,15.85,15.85,62300,CYBE
9,2018-01-16,15.95,16.65,15.8,16.0,16.0,96500,CYBE
10,2018-01-17,16.15,16.85,16.120001,16.6,16.6,129100,CYBE
11,2018-01-18,16.65,17.0,16.6,16.700001,16.700001,49300,CYBE
12,2018-01-19,16.700001,17.4,16.65,17.15,17.15,81600,CYBE
13,2018-01-22,17.25,17.299999,16.5,16.799999,16.799999,130000,CYBE
14,2018-01-23,16.799999,17.07,16.700001,16.799999,16.799999,53800,CYBE
15,2018-01-24,16.700001,16.799999,15.9,16.0,16.0,65100,CYBE
16,2018-01-25,16.200001,16.200001,15.55,16.0,16.0,63000,CYBE
17,2018-01-26,16.049999,16.75,16.049999,16.5,16.5,57700,CYBE
18,2018-01-29,16.4,16.6,15.8,16.0,16.0,68400,CYBE
19,2018-01-30,15.8,16.1,15.55,15.75,15.75,43600,CYBE
20,2018-01-31,15.85,15.85,15.25,15.25,15.25,73900,CYBE
21,2018-02-01,15.25,15.75,15.05,15.3,15.3,63700,CYBE
22,2018-02-02,15.2,15.4,14.55,15.3,15.3,86000,CYBE
23,2018-02-05,15.1,15.16,13.75,13.8,13.8,144200,CYBE
24,2018-02-06,13.5,14.4,13.5,13.9,13.9,99900,CYBE
25,2018-02-07,13.85,14.45,13.6,13.7,13.7,58600,CYBE
26,2018-02-08,13.8,14.1,13.1,13.15,13.15,168900,CYBE
