,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,14.2,14.25,13.65,14.05,14.05,97000,EIGR
1,2018-01-03,14.2,14.7,14.055,14.35,14.35,195700,EIGR
2,2018-01-04,14.5,14.84,13.6,14.5,14.5,126300,EIGR
3,2018-01-05,14.45,15.0,13.1,13.7,13.7,251500,EIGR
4,2018-01-08,13.75,13.75,12.875,13.3,13.3,125900,EIGR
5,2018-01-09,13.55,14.3,12.773,14.2,14.2,177400,EIGR
6,2018-01-10,14.0,14.9,13.6,14.7,14.7,186600,EIGR
7,2018-01-11,14.9,15.45,14.75,15.35,15.35,200000,EIGR
8,2018-01-12,15.2,16.200001,15.2,16.0,16.0,205500,EIGR
9,2018-01-16,9.6,9.65,8.05,8.1,8.1,2667900,EIGR
10,2018-01-17,8.25,8.65,7.9,8.45,8.45,599900,EIGR
11,2018-01-18,8.6,9.05,8.25,8.9,8.9,475400,EIGR
12,2018-01-19,9.25,9.25,8.7,8.85,8.85,180800,EIGR
13,2018-01-22,9.0,9.1,8.7,8.75,8.75,149900,EIGR
14,2018-01-23,8.85,9.0,8.75,8.9,8.9,108000,EIGR
15,2018-01-24,9.0,9.1,8.75,9.1,9.1,188400,EIGR
16,2018-01-25,8.95,9.45,8.95,9.35,9.35,269500,EIGR
17,2018-01-26,9.35,9.35,8.805,9.0,9.0,137000,EIGR
18,2018-01-29,8.95,9.25,8.16,9.1,9.1,165000,EIGR
19,2018-01-30,9.05,9.25,8.65,9.05,9.05,84800,EIGR
20,2018-01-31,9.2,9.2,8.55,8.65,8.65,100400,EIGR
21,2018-02-01,8.65,8.8,8.385,8.5,8.5,100600,EIGR
22,2018-02-02,8.4,8.75,8.15,8.2,8.2,99600,EIGR
23,2018-02-05,8.15,8.7,8.15,8.5,8.5,125300,EIGR
24,2018-02-06,8.35,8.6,8.15,8.4,8.4,92900,EIGR
25,2018-02-07,8.4,8.95,8.4,8.9,8.9,67200,EIGR
26,2018-02-08,8.95,9.0,8.35,8.5,8.5,88000,EIGR
