,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-12-09,9.85,9.85,9.828,9.85,9.85,1900,FNVT
1,2021-12-10,9.85,9.89,9.75,9.76,9.76,101100,FNVT
2,2021-12-13,9.79,9.8,9.762,9.79,9.79,60600,FNVT
3,2021-12-14,9.79,9.85,9.79,9.85,9.85,642000,FNVT
4,2021-12-15,9.85,9.85,9.83,9.83,9.83,462600,FNVT
5,2021-12-16,9.81,9.85,9.78,9.81,9.81,1400,FNVT
6,2021-12-17,9.81,9.81,9.81,9.81,9.81,0,FNVT
7,2021-12-20,9.82,9.82,9.82,9.82,9.82,200,FNVT
8,2021-12-21,9.82,9.845,9.78,9.82,9.82,65100,FNVT
9,2021-12-22,9.82,9.82,9.82,9.82,9.82,0,FNVT
10,2021-12-23,9.88,9.88,9.77,9.79,9.79,552600,FNVT
11,2021-12-27,9.81,9.86,9.81,9.86,9.86,62500,FNVT
12,2021-12-28,9.81,9.81,9.81,9.81,9.81,1000,FNVT
13,2021-12-29,9.82,9.86,9.82,9.84,9.84,12200,FNVT
14,2021-12-30,9.83,9.86,9.83,9.83,9.83,12900,FNVT
15,2021-12-31,9.84,9.88,9.84,9.88,9.88,32100,FNVT
