,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-09-29,3.45,4.15,3.25,3.96,3.96,1693500,GFAI
1,2021-09-30,4.0,4.0,3.5,3.96,3.96,175600,GFAI
2,2021-10-01,3.85,4.13,3.628,3.93,3.93,578400,GFAI
3,2021-10-04,3.6,3.72,3.4,3.51,3.51,1821700,GFAI
4,2021-10-05,3.33,3.51,3.2,3.5,3.5,380300,GFAI
5,2021-10-06,3.37,3.71,3.25,3.66,3.66,281200,GFAI
6,2021-10-07,3.66,3.87,3.6,3.7,3.7,250200,GFAI
7,2021-10-08,3.75,3.75,3.5,3.62,3.62,40800,GFAI
8,2021-10-11,3.59,3.6,3.26,3.44,3.44,38900,GFAI
9,2021-10-12,3.389,3.48,3.24,3.28,3.28,57200,GFAI
10,2021-10-13,3.29,3.435,3.14,3.18,3.18,34100,GFAI
11,2021-10-14,3.18,3.27,3.11,3.21,3.21,22400,GFAI
12,2021-10-15,3.16,3.47,3.12,3.47,3.47,52300,GFAI
13,2021-10-18,3.45,3.45,2.86,2.9,2.9,102500,GFAI
14,2021-10-19,2.89,2.9,2.62,2.75,2.75,81900,GFAI
15,2021-10-20,2.55,2.65,2.32,2.4,2.4,208100,GFAI
16,2021-10-21,2.48,2.581,2.42,2.46,2.46,32700,GFAI
17,2021-10-22,2.42,2.455,2.16,2.26,2.26,145000,GFAI
18,2021-10-25,2.37,2.54,2.27,2.29,2.29,106600,GFAI
19,2021-10-26,2.31,2.45,2.21,2.38,2.38,126600,GFAI
20,2021-10-27,2.4,2.48,2.33,2.42,2.42,70100,GFAI
21,2021-10-28,2.429,2.48,2.33,2.42,2.42,109900,GFAI
22,2021-10-29,3.73,4.4,2.71,3.05,3.05,110989800,GFAI
23,2021-11-01,2.88,2.91,2.53,2.64,2.64,3328200,GFAI
24,2021-11-02,2.62,2.64,2.194,2.23,2.23,1389500,GFAI
25,2021-11-03,2.56,2.64,2.36,2.48,2.48,9037000,GFAI
26,2021-11-04,2.43,2.53,2.31,2.36,2.36,705800,GFAI
27,2021-11-05,2.31,2.41,2.215,2.28,2.28,334000,GFAI
28,2021-11-08,2.28,2.29,2.19,2.21,2.21,392700,GFAI
29,2021-11-09,2.2,2.21,1.98,2.03,2.03,591500,GFAI
30,2021-11-10,2.05,2.05,1.88,1.88,1.88,239500,GFAI
31,2021-11-11,1.91,1.92,1.71,1.765,1.765,406100,GFAI
32,2021-11-12,1.78,1.84,1.732,1.74,1.74,182700,GFAI
33,2021-11-15,1.75,2.15,1.71,1.91,1.91,1219300,GFAI
34,2021-11-16,1.91,1.91,1.76,1.82,1.82,179700,GFAI
35,2021-11-17,1.764,1.813,1.73,1.747,1.747,92400,GFAI
36,2021-11-18,1.75,1.85,1.68,1.7,1.7,378800,GFAI
37,2021-11-19,1.7,1.75,1.65,1.65,1.65,98700,GFAI
38,2021-11-22,1.64,1.67,1.41,1.46,1.46,246500,GFAI
39,2021-11-23,1.48,1.78,1.46,1.66,1.66,1035600,GFAI
40,2021-11-24,1.63,1.67,1.52,1.6,1.6,167300,GFAI
41,2021-11-26,1.57,1.6,1.52,1.53,1.53,73300,GFAI
42,2021-11-29,1.45,1.53,1.4,1.45,1.45,442900,GFAI
43,2021-11-30,1.74,2.28,1.571,1.74,1.74,22784800,GFAI
44,2021-12-01,1.57,1.83,1.55,1.81,1.81,1860200,GFAI
45,2021-12-02,1.67,1.88,1.555,1.78,1.78,1076900,GFAI
46,2021-12-03,1.75,1.75,1.612,1.7,1.7,383000,GFAI
47,2021-12-06,1.61,1.62,1.45,1.54,1.54,515000,GFAI
48,2021-12-07,1.53,1.75,1.46,1.65,1.65,730300,GFAI
49,2021-12-08,1.61,1.62,1.51,1.55,1.55,363900,GFAI
50,2021-12-09,1.57,1.59,1.44,1.49,1.49,1596100,GFAI
51,2021-12-10,1.47,1.482,1.34,1.39,1.39,457100,GFAI
52,2021-12-13,1.4,1.4,1.16,1.24,1.24,704000,GFAI
53,2021-12-14,1.23,1.282,1.2,1.24,1.24,213000,GFAI
54,2021-12-15,1.23,1.23,1.1,1.21,1.21,570900,GFAI
55,2021-12-16,1.22,1.245,1.13,1.15,1.15,153600,GFAI
56,2021-12-17,1.12,1.15,1.105,1.11,1.11,114100,GFAI
57,2021-12-20,1.09,1.13,1.07,1.078,1.078,113800,GFAI
58,2021-12-21,1.1,1.18,1.04,1.18,1.18,469400,GFAI
59,2021-12-22,1.13,1.2,1.11,1.16,1.16,189600,GFAI
60,2021-12-23,1.16,1.4,1.131,1.36,1.36,1095900,GFAI
61,2021-12-27,1.28,1.28,1.16,1.2,1.2,308300,GFAI
62,2021-12-28,1.23,1.23,1.01,1.21,1.21,404100,GFAI
63,2021-12-29,1.19,1.23,1.15,1.21,1.21,113000,GFAI
64,2021-12-30,1.19,1.2,1.131,1.16,1.16,95300,GFAI
65,2021-12-31,1.16,1.18,1.06,1.08,1.08,194700,GFAI
