,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,9.95,9.95,9.88,9.91,9.91,2700,GTYH
1,2018-01-03,9.9,9.9,9.9,9.9,9.9,100,GTYH
2,2018-01-04,9.89,9.95,9.88,9.94,9.94,5700,GTYH
3,2018-01-05,9.9,9.95,9.89,9.95,9.95,3405900,GTYH
4,2018-01-08,9.93,9.94,9.93,9.94,9.94,1400,GTYH
5,2018-01-09,9.92,9.95,9.91,9.94,9.94,248800,GTYH
6,2018-01-10,9.95,9.95,9.95,9.95,9.95,1300,GTYH
7,2018-01-11,9.95,9.95,9.91,9.93,9.93,7200,GTYH
8,2018-01-12,9.91,9.97,9.91,9.96,9.96,23000,GTYH
9,2018-01-16,9.93,9.94,9.93,9.94,9.94,5700,GTYH
10,2018-01-17,9.93,9.96,9.9,9.93,9.93,1800,GTYH
11,2018-01-18,9.92,9.96,9.91,9.95,9.95,1700,GTYH
12,2018-01-19,9.91,9.96,9.91,9.96,9.96,4200,GTYH
13,2018-01-22,9.92,9.96,9.91,9.96,9.96,7000,GTYH
14,2018-01-23,9.94,9.96,9.94,9.96,9.96,7300,GTYH
15,2018-01-24,9.95,9.95,9.95,9.95,9.95,800,GTYH
16,2018-01-25,9.95,9.95,9.95,9.95,9.95,300,GTYH
17,2018-01-26,9.91,9.96,9.91,9.96,9.96,73700,GTYH
18,2018-01-29,9.96,9.96,9.96,9.96,9.96,0,GTYH
19,2018-01-30,9.94,9.97,9.9,9.96,9.96,26600,GTYH
20,2018-01-31,9.93,9.96,9.93,9.93,9.93,7700,GTYH
21,2018-02-01,9.949,9.97,9.949,9.97,9.97,1600,GTYH
22,2018-02-02,9.953,9.97,9.95,9.95,9.95,2700,GTYH
23,2018-02-05,9.93,9.95,9.93,9.95,9.95,50400,GTYH
24,2018-02-06,9.97,9.97,9.93,9.97,9.97,53300,GTYH
25,2018-02-07,9.92,9.95,9.91,9.92,9.92,5400,GTYH
26,2018-02-08,9.92,9.92,9.92,9.92,9.92,0,GTYH
27,2018-02-09,9.94,9.94,9.94,9.94,9.94,400,GTYH
28,2018-02-12,9.92,9.95,9.91,9.92,9.92,27300,GTYH
29,2018-02-13,9.929,9.94,9.92,9.94,9.94,1200,GTYH
30,2018-02-14,9.95,9.96,9.91,9.92,9.92,232700,GTYH
31,2018-02-15,9.92,9.92,9.92,9.92,9.92,0,GTYH
32,2018-02-16,9.92,9.93,9.92,9.92,9.92,23700,GTYH
33,2018-02-20,9.92,9.92,9.92,9.92,9.92,32000,GTYH
34,2018-02-21,9.92,9.92,9.91,9.91,9.91,22400,GTYH
35,2018-02-22,9.92,9.94,9.92,9.92,9.92,2000,GTYH
36,2018-02-23,9.92,9.92,9.92,9.92,9.92,0,GTYH
37,2018-02-26,9.92,9.92,9.91,9.92,9.92,14400,GTYH
38,2018-02-27,9.92,9.93,9.92,9.92,9.92,5200,GTYH
39,2018-02-28,9.93,9.93,9.92,9.92,9.92,900,GTYH
40,2018-03-01,9.92,9.92,9.92,9.92,9.92,3000,GTYH
41,2018-03-02,9.92,9.92,9.92,9.92,9.92,13500,GTYH
