,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-03-16,11.7,11.7,10.76,11.1,11.1,9200,LMACA
1,2021-03-17,11.7,11.7,11.111,11.24,11.24,8300,LMACA
2,2021-03-18,11.19,11.422,11.01,11.422,11.422,18400,LMACA
3,2021-03-19,11.42,11.42,10.75,10.75,10.75,20900,LMACA
4,2021-03-22,10.8,10.8,10.52,10.6,10.6,74100,LMACA
5,2021-03-23,10.44,10.536,10.31,10.31,10.31,65400,LMACA
6,2021-03-24,10.3,10.49,10.12,10.12,10.12,227300,LMACA
7,2021-03-25,10.22,10.22,10.01,10.15,10.15,58700,LMACA
8,2021-03-26,10.03,10.48,10.02,10.2,10.2,134900,LMACA
9,2021-03-29,10.26,10.26,10.09,10.13,10.13,117800,LMACA
10,2021-03-30,10.1,10.195,10.1,10.155,10.155,77900,LMACA
11,2021-03-31,10.18,10.26,10.05,10.11,10.11,300900,LMACA
12,2021-04-01,10.15,10.3,10.11,10.19,10.19,28500,LMACA
13,2021-04-05,10.23,10.25,10.11,10.2,10.2,21100,LMACA
14,2021-04-06,10.177,10.39,10.16,10.22,10.22,8600,LMACA
15,2021-04-07,10.3,10.46,10.11,10.2,10.2,178000,LMACA
16,2021-04-08,10.16,10.38,10.16,10.25,10.25,443200,LMACA
17,2021-04-09,10.17,10.3,10.11,10.15,10.15,147400,LMACA
18,2021-04-12,10.24,10.24,10.15,10.18,10.18,14900,LMACA
19,2021-04-13,10.21,10.55,10.154,10.34,10.34,38200,LMACA
20,2021-04-14,10.21,10.54,10.21,10.32,10.32,27500,LMACA
21,2021-04-15,10.28,10.35,10.2,10.21,10.21,17900,LMACA
22,2021-04-16,10.19,10.266,10.19,10.21,10.21,30500,LMACA
23,2021-04-19,10.15,10.26,10.15,10.24,10.24,50500,LMACA
24,2021-04-20,10.2,10.28,10.2,10.25,10.25,31100,LMACA
25,2021-04-21,10.26,10.26,10.19,10.25,10.25,65300,LMACA
26,2021-04-22,10.22,10.25,10.2,10.25,10.25,330600,LMACA
27,2021-04-23,10.23,10.515,10.22,10.44,10.44,79400,LMACA
28,2021-04-26,10.44,10.44,10.2,10.29,10.29,117000,LMACA
29,2021-04-27,10.26,10.3,10.2,10.22,10.22,61400,LMACA
30,2021-04-28,10.3,10.3,10.2,10.21,10.21,135900,LMACA
31,2021-04-29,10.21,10.25,10.19,10.22,10.22,62900,LMACA
32,2021-04-30,10.21,10.28,10.2,10.28,10.28,27600,LMACA
33,2021-05-03,10.28,10.326,10.2,10.21,10.21,224900,LMACA
34,2021-05-04,10.25,10.275,10.2,10.24,10.24,53200,LMACA
35,2021-05-05,10.24,10.26,10.2,10.2,10.2,106500,LMACA
36,2021-05-06,10.2,10.23,10.2,10.21,10.21,173200,LMACA
37,2021-05-07,10.3,10.3,10.2,10.2,10.2,205800,LMACA
38,2021-05-10,10.21,10.23,10.16,10.22,10.22,508200,LMACA
39,2021-05-11,10.2,10.27,10.18,10.22,10.22,336700,LMACA
40,2021-05-12,10.2,10.22,10.14,10.15,10.15,166500,LMACA
41,2021-05-13,10.15,10.16,10.12,10.15,10.15,176000,LMACA
42,2021-05-14,10.13,10.21,10.13,10.16,10.16,476900,LMACA
43,2021-05-17,10.16,10.21,10.16,10.205,10.205,45500,LMACA
44,2021-05-18,10.2,10.21,10.15,10.15,10.15,252000,LMACA
45,2021-05-19,10.13,10.19,10.13,10.15,10.15,39000,LMACA
46,2021-05-20,10.15,10.22,10.146,10.2,10.2,57600,LMACA
47,2021-05-21,10.18,10.21,10.11,10.15,10.15,95400,LMACA
48,2021-05-24,10.19,10.19,10.05,10.15,10.15,91500,LMACA
49,2021-05-25,10.16,10.2,10.13,10.16,10.16,18100,LMACA
50,2021-05-26,10.15,10.2,10.15,10.17,10.17,42900,LMACA
51,2021-05-27,10.2,10.2,10.144,10.2,10.2,136700,LMACA
52,2021-05-28,10.15,10.21,10.15,10.2,10.2,251300,LMACA
53,2021-06-01,10.22,10.22,10.16,10.2,10.2,35400,LMACA
54,2021-06-02,10.22,10.26,10.2,10.22,10.22,398600,LMACA
55,2021-06-03,10.24,10.275,10.15,10.15,10.15,324300,LMACA
56,2021-06-04,10.19,10.26,10.11,10.19,10.19,204000,LMACA
