,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,24.200001,24.6,24.1,24.6,22.21328,7000,MBCN
1,2018-01-03,24.705,24.924999,23.799999,23.799999,21.490898,2400,MBCN
2,2018-01-04,24.0,24.625,24.0,24.225,21.874668,13600,MBCN
3,2018-01-05,24.575001,24.575001,23.975,24.450001,22.077833,8800,MBCN
4,2018-01-08,24.299999,24.299999,23.83,23.83,21.517988,2400,MBCN
5,2018-01-09,24.325001,24.5,24.125,24.125,21.78437,2000,MBCN
6,2018-01-10,23.825001,24.25,23.825001,24.25,21.897243,4400,MBCN
7,2018-01-11,24.125,24.475,23.65,24.475,22.100409,3200,MBCN
8,2018-01-12,24.35,24.700001,24.35,24.700001,22.303583,2400,MBCN
9,2018-01-16,24.0,24.950001,24.0,24.5,22.122992,6000,MBCN
10,2018-01-17,24.450001,24.924999,24.450001,24.924999,22.50675,7400,MBCN
11,2018-01-18,24.525,24.625,24.450001,24.450001,22.077833,2400,MBCN
12,2018-01-19,24.375,24.975,24.299999,24.975,22.551901,8800,MBCN
13,2018-01-22,24.725,24.725,24.639999,24.639999,22.249397,2400,MBCN
14,2018-01-23,24.674999,24.674999,24.415001,24.415001,22.046232,3600,MBCN
15,2018-01-24,24.5,24.525,24.5,24.525,22.145557,1000,MBCN
16,2018-01-25,24.75,24.75,24.75,24.75,22.348732,10400,MBCN
17,2018-01-26,24.975,24.975,24.975,24.975,22.551901,600,MBCN
18,2018-01-29,24.955,24.955,24.65,24.65,22.258429,2800,MBCN
19,2018-01-30,24.75,24.975,24.75,24.950001,22.529327,2600,MBCN
20,2018-01-31,25.0,25.0,24.85,24.85,22.439032,2600,MBCN
21,2018-02-01,24.825001,25.1,24.825001,25.025,22.59705,5200,MBCN
22,2018-02-02,25.1,25.625,24.775,24.775,22.3713,13200,MBCN
23,2018-02-05,25.1,25.475,24.75,24.950001,22.529327,21200,MBCN
24,2018-02-06,24.799999,25.049999,24.75,24.975,22.551901,14600,MBCN
25,2018-02-07,24.35,24.875,24.35,24.875,22.461599,10600,MBCN
26,2018-02-08,24.965,24.965,24.674999,24.674999,22.281006,15000,MBCN
27,2018-02-09,24.75,24.950001,24.725,24.75,22.348732,20200,MBCN
28,2018-02-12,24.775,24.950001,24.75,24.950001,22.529327,7000,MBCN
29,2018-02-13,24.85,24.875,24.5,24.5,22.122992,4000,MBCN
30,2018-02-14,24.5,24.700001,24.025,24.125,21.78437,10600,MBCN
31,2018-02-15,24.4,24.4,23.625,23.75,21.445747,5400,MBCN
32,2018-02-16,23.375,24.799999,23.375,24.5,22.122992,6800,MBCN
33,2018-02-20,24.15,24.424999,23.875,23.875,21.558626,5600,MBCN
34,2018-02-21,23.950001,24.25,23.875,23.950001,21.626348,23800,MBCN
35,2018-02-22,23.549999,23.950001,23.549999,23.625,21.332876,2600,MBCN
36,2018-02-23,23.549999,23.950001,23.549999,23.950001,21.626348,11400,MBCN
37,2018-02-26,23.525,24.5,23.525,24.475,22.100409,28200,MBCN
38,2018-02-27,24.475,24.475,24.450001,24.450001,22.10041,2200,MBCN
39,2018-02-28,24.25,24.34,24.0,24.0,21.693653,5000,MBCN
40,2018-03-01,24.155001,24.155001,23.975,24.025,21.716253,2400,MBCN
41,2018-03-02,23.825001,24.475,23.790001,24.424999,22.077812,6600,MBCN
42,2018-03-05,24.125,24.475,24.125,24.424999,22.077812,3400,MBCN
43,2018-03-06,24.424999,24.975,24.4,24.875,22.48457,13800,MBCN
44,2018-03-07,24.625,24.975,24.450001,24.5,22.145605,9600,MBCN
45,2018-03-08,24.5,24.5,24.375,24.375,22.032618,10600,MBCN
46,2018-03-09,24.049999,24.299999,23.125,24.1,21.784048,15600,MBCN
47,2018-03-12,24.174999,24.299999,24.0,24.125,21.806644,9000,MBCN
48,2018-03-13,24.225,24.875,24.225,24.375,22.032618,6400,MBCN
49,2018-03-14,24.200001,24.575001,24.075001,24.475,22.123009,5400,MBCN
50,2018-03-15,24.5,24.5,24.424999,24.424999,22.077812,800,MBCN
51,2018-03-16,24.25,24.950001,24.1,24.950001,22.552362,18400,MBCN
52,2018-03-19,24.5,24.975,24.5,24.9,22.507166,11200,MBCN
53,2018-03-20,24.725,25.0,24.6,24.6,22.235994,2600,MBCN
54,2018-03-21,24.65,24.975,24.575001,24.975,22.574963,5200,MBCN
55,2018-03-22,24.725,24.9,24.625,24.85,22.461971,4000,MBCN
56,2018-03-23,24.6,25.52,24.125,24.700001,22.326385,22600,MBCN
57,2018-03-26,24.575001,24.9,24.575001,24.85,22.461971,10600,MBCN
58,2018-03-27,24.6,24.75,24.424999,24.424999,22.077812,4600,MBCN
59,2018-03-28,24.5,24.725,24.275,24.424999,22.077812,8800,MBCN
60,2018-03-29,24.450001,24.674999,24.450001,24.549999,22.190802,13200,MBCN
61,2018-04-02,24.549999,25.049999,24.0,24.225,21.897036,17200,MBCN
62,2018-04-03,24.950001,24.950001,24.15,24.424999,22.077812,10200,MBCN
63,2018-04-04,24.475,25.174999,24.225,24.5,22.145605,31800,MBCN
64,2018-04-05,24.4,25.0,24.4,24.9,22.507166,16400,MBCN
65,2018-04-06,24.549999,25.0,24.5,24.875,22.48457,29600,MBCN
66,2018-04-09,24.825001,25.75,24.65,25.200001,22.778339,42000,MBCN
67,2018-04-10,25.225,25.575001,25.075001,25.225,22.800936,26800,MBCN
68,2018-04-11,24.9,25.75,24.9,25.299999,22.868727,15400,MBCN
69,2018-04-12,25.125,26.0,25.125,25.549999,23.094702,23200,MBCN
70,2018-04-13,25.424999,26.325001,25.424999,26.299999,23.772631,10200,MBCN
71,2018-04-16,26.174999,27.450001,26.0,26.950001,24.360167,23400,MBCN
72,2018-04-17,27.0,27.0,26.5,26.799999,24.224583,14600,MBCN
73,2018-04-18,26.5,26.799999,26.5,26.575001,24.021202,11600,MBCN
74,2018-04-19,26.424999,26.6,26.4,26.5,23.953411,6600,MBCN
75,2018-04-20,26.200001,26.5,25.75,26.275,23.750032,8400,MBCN
76,2018-04-23,26.25,26.25,25.85,25.85,23.365877,2400,MBCN
77,2018-04-24,25.475,26.6,25.475,25.975,23.478857,21400,MBCN
78,2018-04-25,25.625,26.0,25.625,26.0,23.501463,2200,MBCN
79,2018-04-26,25.875,26.549999,25.875,26.049999,23.546654,5200,MBCN
80,2018-04-27,25.75,25.799999,25.375,25.375,22.936523,8000,MBCN
81,2018-04-30,25.424999,26.264999,25.424999,25.65,23.185093,10200,MBCN
82,2018-05-01,25.475,26.389999,25.0,25.299999,22.868727,15600,MBCN
83,2018-05-02,25.35,25.65,24.875,25.4,22.959114,8600,MBCN
84,2018-05-03,25.325001,25.575001,25.25,25.575001,23.117302,2800,MBCN
85,2018-05-04,25.525,26.280001,25.275,26.25,23.727436,4400,MBCN
86,2018-05-07,26.075001,26.299999,24.93,26.299999,23.772631,9800,MBCN
87,2018-05-08,26.0,26.549999,25.9,26.174999,23.659643,16600,MBCN
88,2018-05-09,25.924999,26.365,25.775,26.125,23.614447,13200,MBCN
89,2018-05-10,25.950001,26.4,25.924999,26.375,23.840425,17600,MBCN
90,2018-05-11,26.475,26.475,25.674999,25.950001,23.456268,12400,MBCN
91,2018-05-14,26.075001,26.1,25.325001,25.325001,22.891327,8200,MBCN
92,2018-05-15,25.25,25.5,24.825001,25.35,22.913921,6800,MBCN
93,2018-05-16,25.25,25.620001,25.0,25.6,23.139894,11200,MBCN
94,2018-05-17,25.299999,25.6,25.025,25.450001,23.004313,10200,MBCN
95,2018-05-18,25.5,25.725,25.375,25.6,23.139894,14400,MBCN
96,2018-05-21,25.625,26.525,25.51,26.424999,23.885618,18800,MBCN
97,2018-05-22,26.275,26.424999,26.049999,26.15,23.637043,4000,MBCN
98,2018-05-23,26.4,26.5,26.049999,26.35,23.817823,11200,MBCN
99,2018-05-24,26.025,26.575001,25.875,26.575001,24.021202,8400,MBCN
100,2018-05-25,26.799999,27.174999,26.325001,26.65,24.088997,14400,MBCN
101,2018-05-29,26.475,26.85,26.35,26.775,24.201982,17600,MBCN
102,2018-05-30,26.575001,27.049999,26.575001,26.975,24.382767,8600,MBCN
103,2018-05-31,26.549999,26.875,26.424999,26.475,24.05566,22600,MBCN
104,2018-06-01,26.700001,26.700001,25.075001,25.15,22.851742,51000,MBCN
105,2018-06-04,25.375,25.514999,24.775,25.5,23.169758,14800,MBCN
106,2018-06-05,25.825001,25.924999,25.450001,25.924999,23.55592,11000,MBCN
107,2018-06-06,25.799999,26.25,25.790001,25.825001,23.465061,18000,MBCN
108,2018-06-07,26.0,26.15,25.674999,26.1,23.714931,17600,MBCN
109,2018-06-08,26.725,26.725,25.525,25.725,23.374199,15800,MBCN
110,2018-06-11,26.0,26.975,25.75,26.975,24.509975,16800,MBCN
111,2018-06-12,26.799999,27.215,26.370001,27.0,24.532688,26200,MBCN
112,2018-06-13,26.975,26.975,26.0,26.85,24.396397,20800,MBCN
113,2018-06-14,26.65,26.799999,26.65,26.75,24.305531,14600,MBCN
114,2018-06-15,26.625,26.950001,26.34,26.75,24.305531,66600,MBCN
115,2018-06-18,26.450001,26.875,26.275,26.674999,24.237389,18000,MBCN
116,2018-06-19,26.5,27.0,26.5,26.700001,24.260101,39200,MBCN
117,2018-06-20,26.799999,27.1,26.264999,26.799999,24.350964,53000,MBCN
