,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,9.99,10.13,9.95,10.0,8.738348,67600,MCBC
1,2018-01-03,9.98,10.0,9.9,9.92,8.668443,24100,MCBC
2,2018-01-04,9.9,9.98,9.9,9.91,8.659701,48900,MCBC
3,2018-01-05,9.9,10.01,9.89,9.93,8.677179,81100,MCBC
4,2018-01-08,9.88,9.98,9.86,9.9,8.650966,24200,MCBC
5,2018-01-09,9.9,9.96,9.88,9.9,8.650966,61100,MCBC
6,2018-01-10,9.89,10.09,9.85,10.09,8.816994,41500,MCBC
7,2018-01-11,10.08,10.22,10.03,10.2,8.913116,45400,MCBC
8,2018-01-12,10.21,10.22,10.15,10.21,8.921854,38300,MCBC
9,2018-01-16,10.17,10.28,9.71,10.21,8.921854,61800,MCBC
10,2018-01-17,10.19,10.29,10.13,10.25,8.956806,39000,MCBC
11,2018-01-18,10.2,10.25,10.2,10.21,8.921854,21600,MCBC
12,2018-01-19,10.16,10.33,10.16,10.3,9.000499,37800,MCBC
13,2018-01-22,10.24,10.39,10.23,10.32,9.017975,26300,MCBC
14,2018-01-23,10.26,10.4,10.23,10.38,9.070405,15000,MCBC
15,2018-01-24,10.31,10.34,10.27,10.3,9.000499,33600,MCBC
16,2018-01-25,10.32,10.38,10.27,10.34,9.035452,40000,MCBC
17,2018-01-26,10.32,10.32,10.27,10.32,9.017975,34600,MCBC
18,2018-01-29,10.28,10.33,10.19,10.3,9.000499,37800,MCBC
19,2018-01-30,10.3,10.4,10.27,10.36,9.052927,27600,MCBC
20,2018-01-31,10.36,10.4,10.24,10.36,9.052927,35900,MCBC
21,2018-02-01,10.32,10.4,10.3,10.4,9.087879,23500,MCBC
22,2018-02-02,10.38,10.4,10.32,10.35,9.044189,35200,MCBC
23,2018-02-05,10.3,10.38,9.88,9.96,8.703393,50000,MCBC
24,2018-02-06,9.83,10.12,9.83,10.05,8.78204,77200,MCBC
25,2018-02-07,9.99,10.1,9.99,10.05,8.78204,21700,MCBC
26,2018-02-08,10.0,10.03,9.74,9.75,8.519889,38900,MCBC
27,2018-02-09,9.85,10.1,9.57,9.93,8.677179,45000,MCBC
28,2018-02-12,9.89,10.05,9.72,9.94,8.738718,61400,MCBC
29,2018-02-13,9.85,9.98,9.85,9.92,8.721138,15300,MCBC
30,2018-02-14,9.85,10.08,9.85,10.06,8.844217,25700,MCBC
31,2018-02-15,10.02,10.11,10.0,10.04,8.826632,24400,MCBC
32,2018-02-16,9.96,10.15,9.96,10.09,8.870593,20200,MCBC
33,2018-02-20,10.01,10.1,9.99,10.0,8.791469,28300,MCBC
34,2018-02-21,10.0,10.15,10.0,10.04,8.826632,20200,MCBC
35,2018-02-22,10.11,10.11,9.92,10.0,8.791469,24400,MCBC
36,2018-02-23,10.05,10.05,9.94,10.03,8.817843,21400,MCBC
37,2018-02-26,10.13,10.13,10.02,10.12,8.896966,26000,MCBC
38,2018-02-27,10.08,10.25,10.0,10.02,8.809052,28800,MCBC
39,2018-02-28,10.12,10.23,9.88,9.89,8.694763,67100,MCBC
