,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,9.6,9.71,9.3,9.33,9.33,101600,MNTX
1,2018-01-03,9.4,9.48,9.15,9.3,9.3,29700,MNTX
2,2018-01-04,9.36,9.5,9.0,9.39,9.39,109300,MNTX
3,2018-01-05,9.43,9.67,9.18,9.52,9.52,52300,MNTX
4,2018-01-08,9.54,9.57,9.17,9.34,9.34,25200,MNTX
5,2018-01-09,9.3,9.98,9.25,9.7,9.7,49200,MNTX
6,2018-01-10,9.69,9.89,9.45,9.74,9.74,45100,MNTX
7,2018-01-11,9.72,10.2,9.72,9.96,9.96,148700,MNTX
8,2018-01-12,9.99,10.0,9.85,10.0,10.0,16500,MNTX
9,2018-01-16,9.95,10.05,9.37,9.52,9.52,42300,MNTX
10,2018-01-17,9.5,9.8,8.82,9.63,9.63,66000,MNTX
11,2018-01-18,9.63,9.94,9.41,9.63,9.63,125700,MNTX
12,2018-01-19,9.68,9.78,8.76,9.65,9.65,28800,MNTX
13,2018-01-22,9.56,9.87,9.24,9.63,9.63,66100,MNTX
14,2018-01-23,9.75,10.5,9.73,10.34,10.34,137100,MNTX
15,2018-01-24,10.5,10.52,10.14,10.29,10.29,71000,MNTX
16,2018-01-25,10.36,10.5,10.15,10.37,10.37,30100,MNTX
17,2018-01-26,10.36,10.5,10.22,10.5,10.5,29600,MNTX
18,2018-01-29,10.5,10.96,10.45,10.72,10.72,89100,MNTX
19,2018-01-30,10.65,11.23,10.07,10.24,10.24,62900,MNTX
20,2018-01-31,10.32,10.58,10.01,10.25,10.25,33200,MNTX
21,2018-02-01,10.25,10.51,10.2,10.43,10.43,44600,MNTX
22,2018-02-02,10.33,10.41,9.91,10.06,10.06,113700,MNTX
23,2018-02-05,9.96,10.58,9.15,9.96,9.96,102900,MNTX
24,2018-02-06,9.71,10.53,9.42,10.46,10.46,99500,MNTX
25,2018-02-07,10.46,11.7,10.01,11.68,11.68,216700,MNTX
26,2018-02-08,11.9,11.91,11.06,11.25,11.25,160100,MNTX
27,2018-02-09,11.44,11.78,11.09,11.35,11.35,107400,MNTX
28,2018-02-12,11.4,11.52,11.32,11.42,11.42,72200,MNTX
29,2018-02-13,11.35,11.39,11.15,11.2,11.2,72800,MNTX
30,2018-02-14,11.18,11.35,10.81,11.22,11.22,92500,MNTX
31,2018-02-15,11.34,11.34,10.83,11.2,11.2,120300,MNTX
32,2018-02-16,11.18,11.3,10.88,11.25,11.25,53300,MNTX
33,2018-02-20,11.19,11.3,10.88,11.02,11.02,71200,MNTX
34,2018-02-21,11.03,11.27,10.95,11.15,11.15,72600,MNTX
35,2018-02-22,11.19,11.23,10.84,10.91,10.91,63300,MNTX
36,2018-02-23,10.93,11.01,10.36,10.47,10.47,81400,MNTX
37,2018-02-26,10.49,10.77,10.13,10.65,10.65,70800,MNTX
38,2018-02-27,10.69,11.06,10.69,10.73,10.73,23900,MNTX
39,2018-02-28,10.74,10.89,10.45,10.49,10.49,31300,MNTX
40,2018-03-01,10.48,10.64,10.15,10.24,10.24,29200,MNTX
41,2018-03-02,10.13,10.48,10.06,10.3,10.3,22200,MNTX
42,2018-03-05,10.17,10.77,10.17,10.65,10.65,34100,MNTX
43,2018-03-06,10.65,11.19,10.57,11.14,11.14,60100,MNTX
44,2018-03-07,11.09,11.25,10.67,10.98,10.98,132200,MNTX
45,2018-03-08,11.0,11.67,11.0,11.55,11.55,151100,MNTX
46,2018-03-09,11.5,12.04,11.49,11.77,11.77,76100,MNTX
47,2018-03-12,11.8,11.8,11.26,11.27,11.27,31500,MNTX
48,2018-03-13,11.36,11.39,10.95,11.06,11.06,25200,MNTX
49,2018-03-14,11.11,11.11,10.18,10.82,10.82,126000,MNTX
50,2018-03-15,10.89,11.02,10.61,10.64,10.64,30300,MNTX
51,2018-03-16,10.61,10.88,10.45,10.64,10.64,63900,MNTX
52,2018-03-19,10.6,10.6,10.31,10.53,10.53,30800,MNTX
53,2018-03-20,10.57,10.97,10.54,10.72,10.72,19800,MNTX
54,2018-03-21,10.74,11.31,10.63,10.9,10.9,59800,MNTX
55,2018-03-22,10.85,11.2,10.57,10.69,10.69,76000,MNTX
56,2018-03-23,10.7,11.62,10.63,11.55,11.55,154100,MNTX
57,2018-03-26,11.8,12.02,11.43,12.02,12.02,59400,MNTX
58,2018-03-27,11.96,12.3,11.73,11.86,11.86,85800,MNTX
59,2018-03-28,11.83,12.23,11.77,11.86,11.86,66100,MNTX
60,2018-03-29,10.74,12.06,10.74,11.43,11.43,58500,MNTX
61,2018-04-02,11.62,11.72,10.96,11.24,11.24,49200,MNTX
62,2018-04-03,11.31,11.75,11.24,11.61,11.61,72500,MNTX
63,2018-04-04,11.32,11.78,11.31,11.58,11.58,40700,MNTX
64,2018-04-05,11.64,12.12,11.58,11.97,11.97,151400,MNTX
65,2018-04-06,11.88,12.22,11.59,11.77,11.77,72900,MNTX
66,2018-04-09,11.98,12.2,11.85,12.01,12.01,41500,MNTX
67,2018-04-10,12.02,12.37,11.62,11.78,11.78,290400,MNTX
68,2018-04-11,11.71,12.18,11.67,11.83,11.83,74100,MNTX
69,2018-04-12,11.85,12.1,11.64,11.89,11.89,29700,MNTX
70,2018-04-13,11.89,12.06,11.45,11.73,11.73,27300,MNTX
71,2018-04-16,11.66,12.12,11.66,11.99,11.99,61000,MNTX
72,2018-04-17,12.04,12.09,11.56,11.65,11.65,48700,MNTX
73,2018-04-18,11.68,11.95,11.59,11.86,11.86,25200,MNTX
74,2018-04-19,11.81,12.14,11.45,11.65,11.65,46500,MNTX
75,2018-04-20,11.55,11.71,11.33,11.52,11.52,38500,MNTX
76,2018-04-23,11.51,11.96,11.36,11.8,11.8,66600,MNTX
77,2018-04-24,11.79,11.79,10.56,10.79,10.79,118200,MNTX
78,2018-04-25,10.92,10.92,10.61,10.76,10.76,22800,MNTX
79,2018-04-26,10.75,10.9,10.51,10.63,10.63,39300,MNTX
80,2018-04-27,10.61,10.72,10.25,10.31,10.31,45900,MNTX
81,2018-04-30,10.21,10.45,10.21,10.29,10.29,24600,MNTX
82,2018-05-01,10.26,10.67,9.85,10.65,10.65,54400,MNTX
83,2018-05-02,10.54,10.84,10.54,10.6,10.6,24600,MNTX
84,2018-05-03,10.61,10.61,10.27,10.55,10.55,18200,MNTX
85,2018-05-04,10.42,10.77,10.38,10.68,10.68,28500,MNTX
86,2018-05-07,10.78,11.04,10.61,10.89,10.89,138700,MNTX
87,2018-05-08,10.95,11.04,10.61,10.9,10.9,36700,MNTX
88,2018-05-09,11.0,11.0,10.65,10.85,10.85,25000,MNTX
89,2018-05-10,10.89,11.96,10.78,11.79,11.79,71600,MNTX
90,2018-05-11,11.78,11.78,11.3,11.38,11.38,32200,MNTX
91,2018-05-14,11.37,11.58,11.1,11.25,11.25,50400,MNTX
92,2018-05-15,11.27,11.54,11.17,11.3,11.3,12600,MNTX
93,2018-05-16,11.29,11.56,11.11,11.34,11.34,90400,MNTX
94,2018-05-17,11.38,11.59,11.25,11.35,11.35,40100,MNTX
95,2018-05-18,11.59,11.6,11.14,11.2,11.2,42400,MNTX
96,2018-05-21,11.23,11.45,11.18,11.36,11.36,25100,MNTX
97,2018-05-22,11.37,11.48,11.06,11.07,11.07,25900,MNTX
98,2018-05-23,10.99,11.21,10.87,11.08,11.08,35800,MNTX
99,2018-05-24,11.08,11.35,11.08,11.25,11.25,22900,MNTX
100,2018-05-25,11.26,12.09,11.26,12.0,12.0,84800,MNTX
101,2018-05-29,12.0,12.24,11.55,11.93,11.93,50200,MNTX
102,2018-05-30,12.0,12.25,11.92,12.18,12.18,37500,MNTX
103,2018-05-31,12.19,12.25,11.43,11.64,11.64,101600,MNTX
104,2018-06-01,11.65,12.03,11.65,11.79,11.79,32400,MNTX
105,2018-06-04,11.76,12.25,11.44,11.65,11.65,86100,MNTX
106,2018-06-05,11.71,11.82,11.56,11.76,11.76,38200,MNTX
107,2018-06-06,11.75,12.1,11.68,11.91,11.91,42000,MNTX
108,2018-06-07,11.95,12.03,11.4,11.81,11.81,62000,MNTX
109,2018-06-08,11.87,11.92,11.57,11.67,11.67,49400,MNTX
110,2018-06-11,11.72,11.82,11.33,11.68,11.68,58500,MNTX
111,2018-06-12,11.68,11.96,11.34,11.92,11.92,230700,MNTX
112,2018-06-13,11.96,12.16,11.86,11.89,11.89,32500,MNTX
113,2018-06-14,11.95,12.05,11.64,11.81,11.81,59300,MNTX
114,2018-06-15,11.8,12.19,11.53,12.19,12.19,221700,MNTX
115,2018-06-18,11.94,12.3,11.72,12.0,12.0,104800,MNTX
116,2018-06-19,11.93,12.06,11.55,11.81,11.81,172300,MNTX
117,2018-06-20,11.84,12.21,11.56,11.66,11.66,41900,MNTX
118,2018-06-21,11.73,11.73,11.06,11.21,11.21,107400,MNTX
119,2018-06-22,11.31,11.98,11.01,11.82,11.82,1759400,MNTX
120,2018-06-25,11.8,11.97,11.55,11.89,11.89,76400,MNTX
121,2018-06-26,11.88,12.35,11.76,12.23,12.23,118000,MNTX
122,2018-06-27,12.26,12.83,12.26,12.3,12.3,122700,MNTX
123,2018-06-28,12.3,12.54,12.05,12.5,12.5,71200,MNTX
124,2018-06-29,12.54,12.86,12.43,12.48,12.48,51400,MNTX
125,2018-07-02,12.41,12.83,12.24,12.79,12.79,79700,MNTX
