,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,10.35,10.82,9.888,10.05,10.05,95300,NCNA
1,2018-01-03,10.1,10.48,9.579,10.04,10.04,59200,NCNA
2,2018-01-04,9.74,10.22,9.48,10.17,10.17,118700,NCNA
3,2018-01-05,9.94,11.61,9.85,11.01,11.01,34500,NCNA
4,2018-01-08,11.1,12.438,11.09,12.29,12.29,47600,NCNA
5,2018-01-09,12.25,13.49,12.2,12.72,12.72,96100,NCNA
6,2018-01-10,12.83,13.5,12.701,13.23,13.23,37300,NCNA
7,2018-01-11,13.73,13.8,13.01,13.72,13.72,131300,NCNA
8,2018-01-12,13.8,14.56,13.8,14.3,14.3,116300,NCNA
9,2018-01-16,14.4,14.8,12.7,13.32,13.32,60300,NCNA
10,2018-01-17,12.55,13.81,11.61,13.21,13.21,23400,NCNA
11,2018-01-18,13.99,14.8,13.98,14.49,14.49,25000,NCNA
12,2018-01-19,14.46,25.68,13.61,20.51,20.51,958300,NCNA
13,2018-01-22,20.950001,22.174999,18.870001,21.799999,21.799999,528000,NCNA
14,2018-01-23,21.469999,23.969999,20.802999,22.860001,22.860001,360500,NCNA
15,2018-01-24,23.01,24.452,22.34,24.219999,24.219999,491700,NCNA
16,2018-01-25,25.049999,29.07,24.174999,27.780001,27.780001,367800,NCNA
17,2018-01-26,27.879999,29.23,26.25,28.25,28.25,298400,NCNA
18,2018-01-29,28.450001,29.75,24.25,26.65,26.65,350800,NCNA
19,2018-01-30,26.5,27.166,23.983999,24.77,24.77,181300,NCNA
20,2018-01-31,24.76,25.190001,24.075001,24.51,24.51,114500,NCNA
21,2018-02-01,24.5,24.58,23.91,24.25,24.25,64600,NCNA
22,2018-02-02,23.9,24.197001,21.0,23.129999,23.129999,246400,NCNA
23,2018-02-05,22.77,24.194,22.245001,22.940001,22.940001,52900,NCNA
24,2018-02-06,22.07,25.27,22.049999,22.950001,22.950001,88600,NCNA
25,2018-02-07,23.280001,23.280001,21.24,22.02,22.02,56600,NCNA
26,2018-02-08,22.209999,22.209999,20.0,21.17,21.17,108700,NCNA
27,2018-02-09,21.620001,22.139999,20.1,20.559999,20.559999,168100,NCNA
28,2018-02-12,20.799999,21.139999,18.309999,18.950001,18.950001,153700,NCNA
29,2018-02-13,19.0,20.690001,19.0,20.01,20.01,147100,NCNA
30,2018-02-14,20.0,22.49,19.74,20.68,20.68,63200,NCNA
31,2018-02-15,20.700001,24.047001,19.0,19.860001,19.860001,118500,NCNA
32,2018-02-16,19.68,21.139,19.17,19.870001,19.870001,95400,NCNA
33,2018-02-20,19.84,20.938,19.475,19.98,19.98,58500,NCNA
34,2018-02-21,20.040001,20.558001,19.610001,20.27,20.27,83700,NCNA
35,2018-02-22,20.299999,21.360001,19.59,20.18,20.18,29200,NCNA
36,2018-02-23,20.52,20.969999,19.799999,20.780001,20.780001,65400,NCNA
37,2018-02-26,21.0,22.379999,19.35,20.15,20.15,134100,NCNA
38,2018-02-27,20.030001,21.09,19.700001,19.75,19.75,36300,NCNA
39,2018-02-28,19.950001,20.23,18.9,19.43,19.43,48900,NCNA
40,2018-03-01,19.549999,19.74,17.51,18.35,18.35,90000,NCNA
41,2018-03-02,18.280001,19.299999,18.280001,18.74,18.74,143100,NCNA
42,2018-03-05,18.52,19.5,18.110001,19.5,19.5,97100,NCNA
43,2018-03-06,19.459999,20.215,18.200001,18.549999,18.549999,90700,NCNA
44,2018-03-07,18.540001,19.805,17.75,18.27,18.27,129800,NCNA
45,2018-03-08,18.48,18.715,17.725,17.91,17.91,112200,NCNA
46,2018-03-09,18.139999,19.98,17.84,19.49,19.49,164500,NCNA
47,2018-03-12,19.68,21.91,19.0,20.0,20.0,356700,NCNA
48,2018-03-13,20.27,20.27,18.325001,19.5,19.5,143200,NCNA
49,2018-03-14,19.48,19.940001,18.0,18.09,18.09,201400,NCNA
50,2018-03-15,18.049999,19.5,18.049999,18.98,18.98,204200,NCNA
51,2018-03-16,18.75,19.615999,18.084999,18.74,18.74,52100,NCNA
52,2018-03-19,18.76,19.43,18.110001,18.200001,18.200001,64300,NCNA
53,2018-03-20,18.33,19.879,18.084999,19.24,19.24,43600,NCNA
54,2018-03-21,19.16,19.48,18.566999,19.0,19.0,60600,NCNA
55,2018-03-22,18.809999,19.305,17.4,17.43,17.43,118600,NCNA
56,2018-03-23,18.18,18.52,17.049999,17.690001,17.690001,45700,NCNA
57,2018-03-26,18.120001,18.120001,17.059999,17.5,17.5,82400,NCNA
58,2018-03-27,17.66,18.99,17.66,18.68,18.68,184500,NCNA
59,2018-03-28,18.92,19.780001,18.27,18.700001,18.700001,116100,NCNA
60,2018-03-29,18.4,19.393,18.0,18.92,18.92,150000,NCNA
61,2018-04-02,19.0,20.49,18.66,20.49,20.49,26200,NCNA
62,2018-04-03,20.49,21.49,20.32,21.17,21.17,43500,NCNA
63,2018-04-04,21.4,22.93,20.57,22.93,22.93,46200,NCNA
64,2018-04-05,23.709999,23.709999,21.209999,22.43,22.43,116500,NCNA
65,2018-04-06,22.195,26.299999,21.969999,26.23,26.23,617700,NCNA
66,2018-04-09,26.690001,28.530001,25.040001,27.4,27.4,370500,NCNA
67,2018-04-10,27.51,30.41,26.5,29.5,29.5,176100,NCNA
68,2018-04-11,28.98,28.98,24.209999,24.82,24.82,134500,NCNA
69,2018-04-12,24.73,26.999001,23.459999,23.83,23.83,129800,NCNA
70,2018-04-13,24.219999,29.110001,23.68,25.23,25.23,526900,NCNA
71,2018-04-16,25.75,26.785,22.540001,23.879999,23.879999,120100,NCNA
72,2018-04-17,24.780001,25.700001,22.16,22.51,22.51,64600,NCNA
73,2018-04-18,22.33,23.59,21.375,23.469999,23.469999,63200,NCNA
74,2018-04-19,23.469999,23.999001,22.18,22.83,22.83,70800,NCNA
75,2018-04-20,22.65,24.799999,21.52,23.639999,23.639999,60000,NCNA
76,2018-04-23,24.0,24.34,22.049999,22.99,22.99,51500,NCNA
77,2018-04-24,23.76,23.99,21.959999,22.200001,22.200001,71100,NCNA
78,2018-04-25,21.860001,24.620001,21.85,23.549999,23.549999,43900,NCNA
79,2018-04-26,23.41,24.4,22.58,23.76,23.76,21600,NCNA
80,2018-04-27,25.4,25.4,21.849001,23.0,23.0,43800,NCNA
81,2018-04-30,23.25,23.83,22.6,23.65,23.65,13800,NCNA
82,2018-05-01,24.1,25.1,22.75,24.26,24.26,223400,NCNA
83,2018-05-02,24.26,24.870001,23.51,23.51,23.51,36000,NCNA
84,2018-05-03,23.5,23.99,22.73,23.15,23.15,20200,NCNA
85,2018-05-04,23.790001,23.799999,22.5,22.59,22.59,29500,NCNA
86,2018-05-07,23.5,24.25,22.4,22.6,22.6,71200,NCNA
