,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-10-19,8.5,10.2,7.51,8.65,8.65,3414100,NIU
1,2018-10-22,8.7,8.94,7.9,8.3,8.3,697500,NIU
2,2018-10-23,7.9,7.98,7.6,7.7,7.7,349200,NIU
3,2018-10-24,7.87,7.87,7.14,7.2,7.2,469700,NIU
4,2018-10-25,7.16,7.4,6.32,6.56,6.56,512500,NIU
5,2018-10-26,6.51,7.75,6.32,7.48,7.48,670900,NIU
6,2018-10-29,7.43,7.43,7.05,7.23,7.23,135400,NIU
7,2018-10-30,7.21,7.21,6.8,6.99,6.99,97000,NIU
8,2018-10-31,7.2,7.78,7.02,7.73,7.73,101000,NIU
9,2018-11-01,7.7,8.2,7.43,8.2,8.2,207600,NIU
10,2018-11-02,8.31,9.36,7.8,9.2,9.2,411200,NIU
11,2018-11-05,8.8,9.35,8.56,8.64,8.64,225700,NIU
12,2018-11-06,8.61,9.09,7.84,9.09,9.09,646600,NIU
13,2018-11-07,9.18,9.18,8.65,8.91,8.91,410400,NIU
14,2018-11-08,8.88,9.15,8.57,9.12,9.12,248600,NIU
15,2018-11-09,9.1,9.1,8.65,8.71,8.71,218200,NIU
16,2018-11-12,8.55,8.55,8.03,8.2,8.2,312000,NIU
17,2018-11-13,8.4,8.44,8.3,8.31,8.31,218800,NIU
18,2018-11-14,8.16,8.42,8.05,8.33,8.33,157600,NIU
19,2018-11-15,8.3,8.37,7.7,8.13,8.13,320700,NIU
20,2018-11-16,7.88,8.02,7.7,7.75,7.75,164500,NIU
21,2018-11-19,7.77,8.0,7.66,7.68,7.68,205200,NIU
22,2018-11-20,7.95,8.0,7.7,7.81,7.81,300300,NIU
23,2018-11-21,7.81,8.38,7.81,8.13,8.13,205300,NIU
24,2018-11-23,8.22,8.29,8.02,8.15,8.15,74100,NIU
25,2018-11-26,8.2,8.3,8.05,8.12,8.12,80800,NIU
26,2018-11-27,8.05,8.25,7.54,7.8,7.8,140400,NIU
27,2018-11-28,7.88,8.02,7.88,8.0,8.0,286500,NIU
28,2018-11-29,8.49,8.5,7.76,8.15,8.15,228100,NIU
29,2018-11-30,7.98,8.2,7.91,8.01,8.01,192500,NIU
30,2018-12-03,8.16,8.46,8.04,8.2,8.2,153400,NIU
31,2018-12-04,8.2,8.22,7.85,8.0,8.0,105600,NIU
32,2018-12-06,7.78,7.95,7.71,7.85,7.85,117800,NIU
