,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,31.5,33.860001,31.5,32.700001,32.700001,1500,NNDM
1,2018-01-03,32.200001,34.299999,32.099998,33.099998,33.099998,1880,NNDM
2,2018-01-04,33.200001,33.5,32.43,32.799999,32.799999,1920,NNDM
3,2018-01-05,33.5,33.5,33.0,33.299999,33.299999,1420,NNDM
4,2018-01-08,33.299999,33.299999,32.0,32.200001,32.200001,1160,NNDM
5,2018-01-09,32.799999,34.0,32.799999,33.099998,33.099998,1090,NNDM
6,2018-01-10,33.5,33.5,32.799999,33.099998,33.099998,1820,NNDM
7,2018-01-11,33.700001,33.700001,32.0,32.400002,32.400002,790,NNDM
8,2018-01-12,33.0,33.0,31.1,32.0,32.0,3040,NNDM
9,2018-01-16,37.799999,38.900002,35.599998,37.299999,37.299999,8080,NNDM
10,2018-01-17,37.5,37.799999,35.810001,37.200001,37.200001,2150,NNDM
11,2018-01-18,36.700001,37.599998,34.799999,35.0,35.0,2220,NNDM
12,2018-01-19,37.599998,37.900002,35.700001,36.200001,36.200001,830,NNDM
13,2018-01-22,36.700001,37.700001,35.400002,36.700001,36.700001,2070,NNDM
14,2018-01-23,37.700001,38.799999,36.200001,37.099998,37.099998,4730,NNDM
15,2018-01-24,37.200001,37.200001,35.23,35.900002,35.900002,1260,NNDM
16,2018-01-25,36.200001,36.5,35.299999,35.299999,35.299999,850,NNDM
17,2018-01-26,35.099998,36.900002,35.099998,36.400002,36.400002,3000,NNDM
18,2018-01-29,36.599998,36.599998,35.009998,35.400002,35.400002,270,NNDM
19,2018-01-30,35.599998,35.900002,34.5,34.5,34.5,310,NNDM
20,2018-01-31,34.599998,34.599998,33.099998,33.299999,33.299999,1300,NNDM
21,2018-02-01,33.200001,34.040001,32.200001,32.599998,32.599998,850,NNDM
22,2018-02-02,32.900002,32.900002,31.799999,31.799999,31.799999,460,NNDM
23,2018-02-05,31.700001,34.200001,29.200001,29.200001,29.200001,970,NNDM
24,2018-02-06,28.700001,29.540001,28.1,29.1,29.1,2250,NNDM
25,2018-02-07,29.799999,31.9,28.200001,30.1,30.1,6870,NNDM
26,2018-02-08,29.200001,29.360001,27.6,28.25,28.25,1950,NNDM
27,2018-02-09,28.68,28.700001,26.5,27.200001,27.200001,2310,NNDM
28,2018-02-12,28.0,30.4,28.0,29.0,29.0,1400,NNDM
29,2018-02-13,28.5,30.0,27.0,29.299999,29.299999,5580,NNDM
30,2018-02-14,29.1,30.700001,29.0,30.639999,30.639999,490,NNDM
31,2018-02-15,30.6,34.700001,28.74,32.900002,32.900002,6130,NNDM
32,2018-02-16,19.9,23.5,19.6,23.0,23.0,135310,NNDM
33,2018-02-20,23.700001,23.9,22.01,23.200001,23.200001,29110,NNDM
34,2018-02-21,22.799999,22.799999,21.6,22.0,22.0,18270,NNDM
35,2018-02-22,22.4,23.08,21.299999,21.299999,21.299999,11780,NNDM
36,2018-02-23,21.5,22.1,21.4,22.1,22.1,6520,NNDM
37,2018-02-26,22.6,23.0,22.1,22.6,22.6,14690,NNDM
38,2018-02-27,22.6,23.0,21.6,22.0,22.0,6400,NNDM
39,2018-02-28,22.799999,22.9,21.700001,22.0,22.0,3460,NNDM
