,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-12-04,5.95,6.5,5.7,6.15,6.15,1001400,ONDS
1,2020-12-07,6.53,6.53,5.95,6.07,6.07,126300,ONDS
2,2020-12-08,6.18,6.18,5.95,6.0,6.0,80800,ONDS
3,2020-12-09,6.0,6.09,5.86,6.0,6.0,74300,ONDS
4,2020-12-10,6.01,6.06,5.9,6.0,6.0,82400,ONDS
5,2020-12-11,6.07,6.125,5.97,5.99,5.99,141900,ONDS
6,2020-12-14,6.09,6.15,5.9,6.0,6.0,258700,ONDS
7,2020-12-15,6.0,6.24,5.92,6.0,6.0,361900,ONDS
8,2020-12-16,5.99,6.25,5.95,6.2,6.2,287300,ONDS
9,2020-12-17,6.26,8.64,6.05,7.25,7.25,701800,ONDS
10,2020-12-18,7.5,7.69,6.26,6.79,6.79,318000,ONDS
11,2020-12-21,6.47,7.0,6.025,6.45,6.45,149900,ONDS
12,2020-12-22,6.46,8.0,6.45,6.92,6.92,172200,ONDS
13,2020-12-23,7.47,9.75,6.85,7.55,7.55,1975300,ONDS
14,2020-12-24,7.34,7.87,7.15,7.65,7.65,113300,ONDS
15,2020-12-28,7.89,8.75,7.25,8.59,8.59,396100,ONDS
16,2020-12-29,8.57,9.49,7.99,8.05,8.05,810200,ONDS
17,2020-12-30,8.12,10.74,8.0,9.5,9.5,481700,ONDS
18,2020-12-31,9.54,9.99,9.03,9.33,9.33,185400,ONDS
19,2021-01-04,9.49,9.85,8.544,8.81,8.81,224000,ONDS
20,2021-01-05,8.79,9.661,8.626,9.29,9.29,289300,ONDS
21,2021-01-06,9.5,9.52,8.66,8.79,8.79,252900,ONDS
22,2021-01-07,8.85,9.845,8.85,8.98,8.98,210900,ONDS
23,2021-01-08,8.85,9.379,8.85,9.25,9.25,112500,ONDS
24,2021-01-11,9.28,9.4,8.93,9.26,9.26,169600,ONDS
25,2021-01-12,9.24,10.0,8.86,9.82,9.82,411400,ONDS
26,2021-01-13,10.0,14.9,9.26,12.28,12.28,2881200,ONDS
27,2021-01-14,13.25,13.42,11.69,12.1,12.1,525700,ONDS
28,2021-01-15,12.49,14.25,12.02,12.68,12.68,983300,ONDS
29,2021-01-19,12.89,14.5,12.12,14.09,14.09,574500,ONDS
30,2021-01-20,14.18,14.25,12.75,13.5,13.5,392200,ONDS
31,2021-01-21,13.23,13.61,12.05,13.13,13.13,248700,ONDS
32,2021-01-22,12.95,13.49,11.89,12.06,12.06,422300,ONDS
33,2021-01-25,12.7,13.25,12.0,12.72,12.72,394100,ONDS
34,2021-01-26,12.54,14.25,12.409,13.02,13.02,1067500,ONDS
35,2021-01-27,12.31,13.416,12.3,12.32,12.32,323800,ONDS
36,2021-01-28,12.36,12.68,11.85,12.13,12.13,384000,ONDS
37,2021-01-29,12.81,13.2,11.95,12.12,12.12,561500,ONDS
38,2021-02-01,12.16,12.99,11.57,12.7,12.7,714400,ONDS
39,2021-02-02,12.8,12.8,12.15,12.49,12.49,288200,ONDS
40,2021-02-03,12.58,12.8,12.318,12.65,12.65,344300,ONDS
41,2021-02-04,12.795,13.79,12.21,12.7,12.7,765600,ONDS
42,2021-02-05,12.7,13.05,12.28,12.83,12.83,513100,ONDS
43,2021-02-08,12.99,14.12,12.407,13.25,13.25,914100,ONDS
44,2021-02-09,13.16,13.25,12.6,12.73,12.73,598300,ONDS
45,2021-02-10,12.93,13.489,12.0,13.09,13.09,950600,ONDS
46,2021-02-11,13.2,13.22,12.15,12.65,12.65,505000,ONDS
