,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2019-07-18,14.1,14.75,14.0,14.75,14.75,2281300,PBFS
1,2019-07-19,14.75,14.75,14.346,14.37,14.37,166000,PBFS
2,2019-07-22,14.39,14.45,14.22,14.35,14.35,335300,PBFS
3,2019-07-23,14.4,14.54,14.31,14.54,14.54,222700,PBFS
4,2019-07-24,14.55,14.55,14.22,14.25,14.25,214500,PBFS
5,2019-07-25,14.26,14.346,14.26,14.285,14.285,174700,PBFS
6,2019-07-26,14.35,14.35,14.25,14.32,14.32,247800,PBFS
7,2019-07-29,14.34,14.34,14.2,14.2,14.2,263300,PBFS
8,2019-07-30,14.2,14.3,14.2,14.24,14.24,111900,PBFS
9,2019-07-31,14.25,14.4,14.21,14.4,14.4,122600,PBFS
10,2019-08-01,14.4,14.4,14.27,14.29,14.29,34300,PBFS
11,2019-08-02,14.33,14.4,14.25,14.27,14.27,198600,PBFS
12,2019-08-05,14.27,14.3,14.04,14.045,14.045,160800,PBFS
13,2019-08-06,14.05,14.25,14.05,14.17,14.17,46400,PBFS
14,2019-08-07,14.17,14.3,14.02,14.14,14.14,69500,PBFS
15,2019-08-08,14.13,14.24,14.05,14.19,14.19,33000,PBFS
16,2019-08-09,14.14,14.22,14.07,14.21,14.21,55500,PBFS
17,2019-08-12,14.22,14.22,14.07,14.12,14.12,30400,PBFS
18,2019-08-13,14.05,14.13,14.02,14.13,14.13,88000,PBFS
19,2019-08-14,14.02,14.1,13.87,13.97,13.97,132200,PBFS
20,2019-08-15,14.0,14.05,13.9,14.0,14.0,114300,PBFS
21,2019-08-16,14.05,14.08,13.96,14.03,14.03,184800,PBFS
22,2019-08-19,14.03,14.04,14.0,14.03,14.03,26200,PBFS
23,2019-08-20,14.035,14.14,14.0,14.14,14.14,60800,PBFS
24,2019-08-21,14.09,14.19,14.03,14.13,14.13,22500,PBFS
25,2019-08-22,14.04,14.25,13.99,14.25,14.25,53500,PBFS
26,2019-08-23,14.07,14.22,14.0,14.12,14.12,19100,PBFS
27,2019-08-26,14.063,14.18,14.0,14.02,14.02,22600,PBFS
28,2019-08-27,14.03,14.105,14.013,14.05,14.05,16900,PBFS
29,2019-08-28,14.0,14.05,14.0,14.04,14.04,15300,PBFS
30,2019-08-29,14.05,14.05,14.02,14.05,14.05,33400,PBFS
31,2019-08-30,14.05,14.05,14.02,14.02,14.02,15800,PBFS
32,2019-09-03,14.05,14.5,14.05,14.49,14.49,186900,PBFS
33,2019-09-04,14.49,14.65,14.188,14.6,14.6,105100,PBFS
34,2019-09-05,14.52,14.71,14.52,14.69,14.69,50300,PBFS
35,2019-09-06,14.69,14.75,14.57,14.73,14.73,44800,PBFS
36,2019-09-09,14.75,14.91,14.49,14.79,14.79,124400,PBFS
