,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,6.25,6.37,6.21,6.34,6.34,8300,PTNR
1,2018-01-03,6.3,6.34,6.22,6.34,6.34,3100,PTNR
2,2018-01-04,6.32,6.48,6.25,6.46,6.46,11300,PTNR
3,2018-01-05,6.5,6.5,6.37,6.47,6.47,1500,PTNR
4,2018-01-08,6.4,6.49,6.4,6.49,6.49,4000,PTNR
5,2018-01-09,6.46,6.58,6.46,6.57,6.57,6300,PTNR
6,2018-01-10,6.51,6.52,6.44,6.52,6.52,500,PTNR
7,2018-01-11,6.53,6.56,6.41,6.56,6.56,3700,PTNR
8,2018-01-12,6.47,6.6,6.47,6.6,6.6,3200,PTNR
9,2018-01-16,6.14,6.28,6.06,6.13,6.13,22700,PTNR
10,2018-01-17,6.05,6.16,6.02,6.05,6.05,6400,PTNR
11,2018-01-18,6.01,6.09,5.9,5.9,5.9,2300,PTNR
12,2018-01-19,5.96,6.09,5.96,6.05,6.05,2100,PTNR
13,2018-01-22,6.13,6.2,6.1,6.11,6.11,4500,PTNR
14,2018-01-23,6.17,6.17,6.0,6.0,6.0,3100,PTNR
15,2018-01-24,5.96,5.96,5.76,5.78,5.78,13100,PTNR
16,2018-01-25,5.62,6.02,5.62,6.02,6.02,1300,PTNR
17,2018-01-26,6.02,6.02,6.02,6.02,6.02,400,PTNR
18,2018-01-29,5.78,5.78,5.6,5.6,5.6,11100,PTNR
19,2018-01-30,5.64,5.8,5.62,5.68,5.68,26100,PTNR
20,2018-01-31,5.66,5.67,5.6,5.6,5.6,16600,PTNR
21,2018-02-01,5.63,5.67,5.63,5.67,5.67,800,PTNR
22,2018-02-02,5.6,5.64,5.6,5.6,5.6,500,PTNR
23,2018-02-05,5.42,5.45,5.3,5.41,5.41,10200,PTNR
24,2018-02-06,5.2,5.26,5.13,5.25,5.25,16300,PTNR
25,2018-02-07,5.38,5.54,5.35,5.35,5.35,11300,PTNR
26,2018-02-08,5.14,5.43,5.14,5.2,5.2,2100,PTNR
27,2018-02-09,5.2,5.2,5.1,5.13,5.13,2400,PTNR
28,2018-02-12,5.1,5.29,5.1,5.1,5.1,4500,PTNR
29,2018-02-13,5.17,5.17,5.1,5.1,5.1,800,PTNR
30,2018-02-14,5.17,5.17,5.09,5.1,5.1,2100,PTNR
31,2018-02-15,5.2,5.22,5.1,5.22,5.22,24000,PTNR
32,2018-02-16,5.17,5.17,5.14,5.16,5.16,1000,PTNR
33,2018-02-20,5.13,5.13,5.13,5.13,5.13,200,PTNR
34,2018-02-21,5.13,5.13,5.12,5.13,5.13,1000,PTNR
35,2018-02-22,5.2,5.2,5.2,5.2,5.2,200,PTNR
36,2018-02-23,5.13,5.13,5.13,5.13,5.13,200,PTNR
37,2018-02-26,5.11,5.18,5.0,5.18,5.18,1500,PTNR
38,2018-02-27,5.18,5.18,5.18,5.18,5.18,0,PTNR
39,2018-02-28,5.18,5.2,5.16,5.16,5.16,1400,PTNR
40,2018-03-01,5.16,5.16,5.03,5.07,5.07,3000,PTNR
41,2018-03-02,5.13,5.19,5.03,5.08,5.08,4700,PTNR
42,2018-03-05,5.11,5.16,5.11,5.15,5.15,1200,PTNR
43,2018-03-06,5.15,5.15,5.09,5.09,5.09,1000,PTNR
44,2018-03-07,5.06,5.24,5.03,5.24,5.24,5700,PTNR
45,2018-03-08,5.0,5.06,4.95,4.95,4.95,5900,PTNR
46,2018-03-09,4.93,5.03,4.93,4.96,4.96,1400,PTNR
47,2018-03-12,4.91,5.04,4.79,4.85,4.85,10700,PTNR
48,2018-03-13,5.04,5.04,4.88,4.88,4.88,6000,PTNR
49,2018-03-14,4.85,4.85,4.85,4.85,4.85,200,PTNR
50,2018-03-15,4.85,4.85,4.83,4.83,4.83,200,PTNR
51,2018-03-16,4.83,4.83,4.77,4.78,4.78,2300,PTNR
52,2018-03-19,4.9,4.9,4.76,4.76,4.76,3400,PTNR
53,2018-03-20,5.05,5.07,4.96,5.04,5.04,2500,PTNR
54,2018-03-21,4.83,4.84,4.83,4.84,4.84,400,PTNR
55,2018-03-22,4.84,4.84,4.71,4.71,4.71,3200,PTNR
56,2018-03-23,4.64,4.7,4.64,4.67,4.67,1400,PTNR
57,2018-03-26,4.64,4.91,4.6,4.62,4.62,4800,PTNR
58,2018-03-27,4.61,4.86,4.6,4.6,4.6,5600,PTNR
59,2018-03-28,4.6,4.79,4.6,4.74,4.74,6400,PTNR
60,2018-03-29,4.65,4.65,4.59,4.59,4.59,400,PTNR
61,2018-04-02,4.59,4.59,4.59,4.59,4.59,0,PTNR
62,2018-04-03,4.36,4.48,4.25,4.3,4.3,15600,PTNR
63,2018-04-04,4.32,4.32,4.01,4.2,4.2,6600,PTNR
64,2018-04-05,4.26,4.26,4.11,4.13,4.13,2000,PTNR
65,2018-04-06,4.13,4.13,4.13,4.13,4.13,0,PTNR
66,2018-04-09,4.33,4.33,4.28,4.28,4.28,1200,PTNR
67,2018-04-10,4.41,4.42,4.29,4.29,4.29,700,PTNR
68,2018-04-11,4.19,4.32,4.19,4.3,4.3,1200,PTNR
69,2018-04-12,4.17,4.29,4.16,4.29,4.29,700,PTNR
70,2018-04-13,4.17,4.28,4.04,4.18,4.18,6700,PTNR
71,2018-04-16,4.46,4.59,4.37,4.59,4.59,9700,PTNR
72,2018-04-17,4.62,4.62,4.61,4.62,4.62,1700,PTNR
73,2018-04-18,4.53,4.73,4.5,4.73,4.73,2500,PTNR
74,2018-04-19,4.6,4.6,4.51,4.55,4.55,4300,PTNR
75,2018-04-20,4.57,4.57,4.5,4.54,4.54,3300,PTNR
76,2018-04-23,4.31,4.54,4.3,4.52,4.52,7500,PTNR
77,2018-04-24,4.48,4.58,4.42,4.5,4.5,3600,PTNR
78,2018-04-25,4.47,4.47,4.3,4.3,4.3,500,PTNR
79,2018-04-26,4.17,4.48,4.17,4.48,4.48,1200,PTNR
80,2018-04-27,4.49,4.49,4.32,4.37,4.37,10700,PTNR
81,2018-04-30,4.3,4.3,4.1,4.1,4.1,2800,PTNR
82,2018-05-01,4.06,4.09,3.83,4.0,4.0,14900,PTNR
83,2018-05-02,4.1,4.27,4.05,4.25,4.25,23500,PTNR
84,2018-05-03,4.17,4.4,4.11,4.14,4.14,7400,PTNR
85,2018-05-04,4.03,4.32,4.03,4.28,4.28,2000,PTNR
86,2018-05-07,4.18,4.21,4.03,4.15,4.15,73300,PTNR
87,2018-05-08,4.02,4.02,3.9,3.97,3.97,46000,PTNR
88,2018-05-09,3.91,4.01,3.8,3.89,3.89,71500,PTNR
89,2018-05-10,4.06,4.21,3.98,4.21,4.21,32000,PTNR
90,2018-05-11,4.2,4.2,4.02,4.12,4.12,5400,PTNR
91,2018-05-14,4.02,4.02,3.9,3.9,3.9,21700,PTNR
92,2018-05-15,3.88,3.88,3.8,3.81,3.81,10800,PTNR
93,2018-05-16,3.83,3.88,3.7,3.72,3.72,22600,PTNR
94,2018-05-17,3.7,3.96,3.7,3.78,3.78,5800,PTNR
95,2018-05-18,3.81,3.9,3.76,3.82,3.82,6800,PTNR
96,2018-05-21,3.9,3.9,3.82,3.9,3.9,9600,PTNR
97,2018-05-22,3.88,3.99,3.83,3.94,3.94,6300,PTNR
98,2018-05-23,3.91,3.91,3.86,3.88,3.88,500,PTNR
99,2018-05-24,3.92,3.99,3.87,3.9,3.9,3900,PTNR
100,2018-05-25,3.92,3.92,3.8,3.8,3.8,1300,PTNR
101,2018-05-29,3.76,3.83,3.71,3.78,3.78,3300,PTNR
102,2018-05-30,3.7,3.82,3.7,3.82,3.82,8900,PTNR
103,2018-05-31,4.06,4.06,3.88,4.02,4.02,9100,PTNR
104,2018-06-01,3.95,4.05,3.78,4.05,4.05,11600,PTNR
105,2018-06-04,3.96,4.08,3.96,4.08,4.08,2800,PTNR
106,2018-06-05,3.96,3.96,3.85,3.87,3.87,5300,PTNR
107,2018-06-06,3.9,3.94,3.81,3.86,3.86,5900,PTNR
108,2018-06-07,3.81,3.88,3.8,3.8,3.8,4600,PTNR
109,2018-06-08,3.76,3.87,3.76,3.8,3.8,3200,PTNR
110,2018-06-11,3.87,3.95,3.87,3.92,3.92,2700,PTNR
111,2018-06-12,3.89,3.89,3.81,3.84,3.84,15700,PTNR
112,2018-06-13,3.8,3.82,3.7,3.7,3.7,11100,PTNR
113,2018-06-14,3.7,3.79,3.64,3.65,3.65,6600,PTNR
114,2018-06-15,3.62,3.81,3.23,3.6,3.6,23300,PTNR
115,2018-06-18,3.49,3.55,3.49,3.5,3.5,4900,PTNR
116,2018-06-19,3.43,3.62,3.43,3.45,3.45,3400,PTNR
117,2018-06-20,3.54,3.73,3.54,3.73,3.73,13200,PTNR
118,2018-06-21,3.65,3.7,3.6,3.62,3.62,1900,PTNR
119,2018-06-22,3.62,3.64,3.61,3.64,3.64,4300,PTNR
120,2018-06-25,3.65,3.71,3.65,3.69,3.69,3800,PTNR
121,2018-06-26,3.64,3.77,3.64,3.77,3.77,1800,PTNR
