,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-10-22,9.85,9.88,9.85,9.88,9.88,500,REVE
1,2021-10-25,9.88,9.96,9.88,9.96,9.96,500,REVE
2,2021-10-26,9.833,9.833,9.833,9.833,9.833,1100,REVE
3,2021-10-27,9.833,9.833,9.833,9.833,9.833,0,REVE
4,2021-10-28,9.97,9.97,9.95,9.96,9.96,3500,REVE
5,2021-10-29,9.975,9.99,9.975,9.99,9.99,85000,REVE
6,2021-11-01,10.02,10.09,10.0,10.09,10.09,200100,REVE
7,2021-11-02,10.09,10.09,10.09,10.09,10.09,0,REVE
8,2021-11-03,10.09,10.09,10.09,10.09,10.09,0,REVE
9,2021-11-04,9.98,10.0,9.97,10.0,10.0,52900,REVE
10,2021-11-05,10.02,10.02,9.99,9.99,9.99,313900,REVE
11,2021-11-08,9.99,9.99,9.99,9.99,9.99,0,REVE
12,2021-11-09,10.02,10.1,10.02,10.05,10.05,3000,REVE
13,2021-11-10,10.05,10.05,10.05,10.05,10.05,0,REVE
14,2021-11-11,10.01,10.01,10.01,10.01,10.01,100,REVE
15,2021-11-12,10.0,10.0,10.0,10.0,10.0,600,REVE
16,2021-11-15,10.07,10.07,10.07,10.07,10.07,500,REVE
17,2021-11-16,10.07,10.07,10.07,10.07,10.07,0,REVE
18,2021-11-17,10.0,10.0,10.0,10.0,10.0,200,REVE
19,2021-11-18,10.0,10.0,10.0,10.0,10.0,0,REVE
20,2021-11-19,10.0,10.0,10.0,10.0,10.0,0,REVE
21,2021-11-22,10.0,10.02,10.0,10.02,10.02,66100,REVE
22,2021-11-23,10.09,10.09,10.08,10.09,10.09,3300,REVE
23,2021-11-24,10.09,10.09,10.09,10.09,10.09,0,REVE
24,2021-11-26,10.09,10.09,10.09,10.09,10.09,0,REVE
25,2021-11-29,10.0,10.0,10.0,10.0,10.0,1500,REVE
26,2021-11-30,10.1,10.1,10.0,10.0,10.0,302300,REVE
27,2021-12-01,10.04,10.05,10.0,10.01,10.01,274600,REVE
28,2021-12-02,10.0,10.0,10.0,10.0,10.0,300,REVE
29,2021-12-03,10.0,10.0,10.0,10.0,10.0,0,REVE
30,2021-12-06,10.0,10.0,10.0,10.0,10.0,0,REVE
31,2021-12-07,10.0,10.0,10.0,10.0,10.0,0,REVE
32,2021-12-08,10.0,10.0,10.0,10.0,10.0,0,REVE
33,2021-12-09,10.05,10.06,10.05,10.05,10.05,1600,REVE
34,2021-12-10,9.99,10.0,9.99,10.0,10.0,77400,REVE
35,2021-12-13,10.0,10.0,10.0,10.0,10.0,0,REVE
36,2021-12-14,10.0,10.0,10.0,10.0,10.0,0,REVE
37,2021-12-15,10.0,10.0,10.0,10.0,10.0,0,REVE
38,2021-12-16,10.0,10.0,10.0,10.0,10.0,0,REVE
39,2021-12-17,10.0,10.0,10.0,10.0,10.0,200,REVE
40,2021-12-20,10.01,10.01,10.0,10.0,10.0,2000,REVE
41,2021-12-21,10.0,10.0,10.0,10.0,10.0,100,REVE
42,2021-12-22,10.01,10.01,10.01,10.01,10.01,1200,REVE
43,2021-12-23,10.0,10.0,10.0,10.0,10.0,100,REVE
44,2021-12-27,10.0,10.0,10.0,10.0,10.0,0,REVE
45,2021-12-28,10.0,10.0,10.0,10.0,10.0,0,REVE
46,2021-12-29,10.0,10.0,10.0,10.0,10.0,3700,REVE
47,2021-12-30,10.01,10.01,10.01,10.01,10.01,200,REVE
48,2021-12-31,10.01,10.01,10.01,10.01,10.01,0,REVE
